330072b85d	dress
330142e016	පාලි සක්‍රිය භාෂාවක් මිස
3301dd1c4e	එයා යකෙක් තමයි
3302052865	එහි වාසිය ගිය
3302b10a4a	බුදු හාමුදුරුවෝ ලංකාවේ ඉපදුනා කියල කියයි.
33039f4914	මෙයාල රාත්‍රියේ නවාතැන් ගන්න
3303fbd275	බලතල බෙදා හදා ගැනීමට උනන්දු නොවීය.
33047a563a	දෙන්න බැරි උනා
33050cdcc7	එවිට ලාමක ගති ඇත්තන්
3305361c6b	මිනිසාට පිළිකා, දියවැඩියාව ස්නායු රෝග
330560a9b1	එටිසලාට් පාවිච්චි කරන මිතුරෙකුගෙන්ම තමයි අහන්න වෙන්නෙ
33057ba721	අපි කවදාවත් කියන්නෙ නෑනෙ
33058a2835	මුළු සර්වාංගයම වසාගෙන සිටින මුස්‌ලිම් කාන්තාවන්
3305c25fba	නුහුරු සභාවකට ඇමතීමේ කාර්යය
3305fefe76	අඟරුවාදට.අනික් දවස් වලට වෙලිලනං
33062c7d44	කෙනෙක් හඳුනා ගත හැක්කේ
330643e102	ගෙදර හිටවපු දෙයක් උයලා කනකොට
330684af65	ඒ තුලින් ඔබ දැකීමත්
3306b20b28	ඒ පිළිබඳ ව පුළුල් අවධානයට
33072fb2e1	Aluthgama
3307b9b962	ඔබට ටිකෙන් ටික පසක් වෙන්නට
33084f3113	තමන්ට පෙම්වතෙක්
33090ae6fa	අපගේ ගෞරවය පැහැරගෙන ඇත.
33094f721a	එය සකස් කැරුණේ
330963a297	කියන එක තමයි ඒකට බලපාන්නෙ.
330985ea77	ප්‍රබුද්ධ ප්‍රතිචාර දැක්වීමට
3309c05d8f	එය හැඳින්වීමට
3309d7bf9d	හැබැයි මේක
330a08156d	එදින පන්සිල් නොගත් මා
330a1b0088	අනික මගේ කෙනෙක්ව
330af2f351	gem
330bfe773e	පිට අතගාමින් ආදරයෙන් කතා කළා
330c771cff	ඇත්තෙන්ම මං දැන් හැසිරෙන්නේ හුදෙකලාවේමයි.
330d0b297e	ඒ වගේ
330d17d7c0	seo on the fly
330d1c566f	ඒකත් බලමු කෝ
330d44bd3d	මට මොනවා කළත් කමක් නැහැ.
330da62b48	අර පෙර කී කිඹුලන්
