ce00133978	ස්තුති සුභා
ce00cd19ca	වත්මන් ප්‍රධාන අමාත්‍ය ශෂින්ද්‍ර රාජපක්ෂය
ce01690005	එතකොට මට හිතුනා
ce018e16ef	දේශනා කොට තිබේ.
ce0212b7d1	සැරියුත් මුගලන් ධාතූන් වහන්සේලා ද
ce0272911e	ragama church
ce0445580c	එසේ කිරීමට අදහස් කරන නිසා නොවේ.
ce0461b3ba	එහෙත් ඔවුන්ගේ මුලික අරමුණ
ce04657cf4	මැසිවිලි හැමතින් ඇසේ
ce0486c696	මම නම් ඒ පැහැයට තමා ආස
ce05a69f4f	විචාරශීලි සමාජයක් නිර්මාණය වීමයි.
ce05b61fd9	තාත්තාගේ මාමණ්ඩි කියන්නේ
ce05baa97f	උගෙ මොකක් හරි වැරැද්දක් අල්ලං
ce0604a0d3	අන් අයට අමුතු දෙයක් වූයේ නැත
ce063f2d8a	පරීක්ෂණ ආරම්භ කෙරුණි.
ce06912b2d	එයා තමන්ගෙ කාලය වැය කරලා
ce06fc1ee9	පෘථිවි වර්ෂ දෙකකට සමානවේ.
ce075d92a8	ඉතා සාමාන්‍ය මූර්තියක් ලෙස
ce077654c0	ප්‍රභවය ලද්දකි.
ce08ccd1e2	එහෙම ප්‍රේක්ෂකයව අල්ල ගත්ත තැන
ce09af59b0	උපමා වලින් විතරයි.
ce09d4f292	ඒගොල්ලන්ට සාමාන්‍ය අයට වඩා
ce09f9f240	විවිධ රටවල්වලට ගිහින් ඉගෙන ගන්නවා.
ce0a7b0276	දාගැබක අනුරුවක් රැගත් මංජුසාවක්
ce0aa1e48d	උපන්දා සිට පොතේ තියනවා
ce0ae347d4	දෙන එකක් ඒකෙ නෑ.
ce0b24ee12	එලෙස කැඩී ගිය සලකුණු සහ දියවැල්
ce0b507d05	එතකොට ඊළඟ ජීවිතයේ විනාශය කරා යොදවන්න
ce0c7835f4	මොකද අවුරුදු තිස් පහක් හරක් මස් කෑමේ පාපය
ce0d21d673	ඉස්සර මගේ බර තිබුණේ කිලෝ ග්‍රෑම් පනස් නවයයි
ce0db65561	gomes
ce0dd687d9	බුදුපියාණන් වහන්සේගේ
ce0e131949	වැටිලා ඉන්නවා
ce0e2b8f50	අමතක වීම වැනි දේ
ce0ee8dea7	තව හේතුවක්.
ce0f410c42	මුදල් ගනුදෙනු පිළිබඳ කටයුතු කිරීම සුදුසුයි
ce0fb13473	ධර්මසිරිගේ පවු‍ලේ උදවිය
ce105eb81c	එවිට යමකු වැරදි පාරක යනවා
