f60008da27	ඒවා යොදා ගනිමින්
f601bada92	ගුණධර්ම දියුණු වෙනවා.
f601d13431	වෙන නමක් හොයාගනින්
f602058266	හරිම ලස්සනයි.
f6024e942f	නියම ෆිල්ම් එකක් වගේ
f6027d25ce	අපේ ඒවට වැඩිය ජනප්‍රියයි.
f6028601cf	දෑන් මේවා බලන්ඩ වෙලාවක් නෑ
f602b72a34	සුවය ලබා ගැනීමට හැකියාව පැවතීමත්
f602d51139	සැමට ආඩම්බර විය හැකි කරුණකි
f603ec3d1b	අර කිවූ තුන් ඈඳුතුව වගේම
f603ef038a	ජෝන්ගේ නරක පුරුද්ද.
f6040e63f5	කියන උත්තරය මේකයි
f6045620d6	පසුගිය සතියේදී කුරුණෑගලින්ද වාර්තා විය.
f604676412	මුදිත ස්වාමින් වහන්සේ
f604905ea7	අතුගාන්න නම් ලේසියි
f604ad1bc5	“චීරා ට්‍රිපාටි “
f604b57f0f	මම විතරක්වත් බලන්නම්.
f605553d62	වෛර හටගන්නා තුන්වෙනි කරුණෙහි යෙදීම හේතුවෙන්
f605588cae	ජීවිතය දිහා නැවත හැරී බලන්න
f605a74fc2	කඩන්නට නොදී සටන් කිරීම.
f60616b294	හොඳනම් එකකුත් දාගෙනම යන්න
f60666e30a	අපට අහිමි කළ නිදහස
f606a485db	මේ සඳහා කුලී නොගෙවිණ, ඉඩකඩම් ලැබිණි.
f607cdec0f	එහෙම නම් අග්ගඤ්ඤ සූත්‍රෙ ඉන්න ආභස්සර
f607dc5aff	ඔයාට සතුටු වෙන්න පුළුවන්
f607e0f134	ස්තුතියි චුටි මල්ලියා
f60826317e	රටේ නීති දෙකක් නැත තියෙන නිතිය හැමෝටම පොදුය.
f608e1155d	ඒක ඇත්තක් වෙන්න පුළුවන්
f609f51839	ඉතා අවඥාවෙන් ඉවත දැමූ
f60a38c8bb	tv channels pakistan
f60a51292b	අවබෝධයක් ලබාගෙනත් නැහැ.
f60aae3b9c	එක පාරටම මහා ශබ්දයක් නගමින්
f60ac0851c	දරුවන්ට තියෙන දරු ස්නේහය නිසාම
f60ae4fd91	තමන්ගෙ වත්කම් බැරකම් ප්‍රකාශනෙත්
f60b2e0f5c	මෙසේ සත්ත්වයන්ගෙන් තුන් දොරින් සිදුවන
f60b3a0d57	අනෙක් අතට යම් අඩවියක පලකරන
f60b9ae082	පියනේ වූ ජලය බිඳක් පානය කළේය
f60bb4a077	උපරිම ආයුෂ විඳින්නේ මැකිලිය පමණකි.
f60bd7ed75	දේවදත්ත සමත් වුනා.
f60bdbc5d3	එම උපදෙස් අනුව
f60c032db1	වෙළෙන්දාගේ අස්සයා ඉතුරු වෙනවා.
f60c3ef3c9	ඉතුරුවෙන මිනිසුන්
f60c8f3b17	බුලත රැගෙන ආවේ
