cd003370a5	ගමන්ම ප්‍රගීත්ට කියන්න තියෙන්නෙ
cd00a83dd7	ගුවන් හමුදා කඳවුරකටයි විරෝධතා කරුවන්
cd010af743	මටත් දැනෙන්නෙ
cd0122f4a8	ඒක ඉතින් ඔයාලට
cd020726c4	ඉවත් වෙන්න පමණයි
cd020aceca	ශෂීන්ද්‍ර රාජපක්‍ෂ මහතා විසින්
cd0230fba0	ඈතින් ඉර බැස යන අන්දම
cd02b66f6e	බේස් බෝල් සෙල්ලම් කරන කණ්ඩායමක දරුවන්ද
cd02b8e909	එයාට අයිති තැනට යයිද කියලා?
cd031f7604	අවස්ථා අඩු වෙනකොට තමයි
cd0383cdd1	යහපත හා අයහපත සමඟයි.
cd046a75bd	එකවර ලැබෙන අවස්ථාවක්ද වේ
cd06621fc1	එබැවින් උන්වහන්සේගේ ඉගැන්වීම් ක්‍රම කීපයක්
cd06e41b1b	පන්සල් යන්න තරුණ පිරිස් පුරුදු වුණා
cd07701bac	යෝජිත උතුරු අධිවේගී මාර්ගය
cd08628f75	පුද්ගලයා සසුන් පිළිවෙතට පිවිසීමත්,
cd08889c91	අත්හදා බැලීම සඳහා
cd08bbc1bf	එකී පංතියේ පූර්ණ රැකවරණය වෙනුවෙන්
cd08c7ba1f	අපි අතීතය ගැන අවංක වන
cd09b5f5d5	බුදුරජාණන් වහන්සේ නමක් පහළ වුණ කාරණය තමයි
cd09b7d2ca	පුක්කුසයෙනි ඒ පුරුෂයා හට මේ අදහස ඇතිවූයේ ය.
cd09d1c6b2	ඊට හේතුව එම ගම්මානවල ජනතාව
cd0a1bdbff	ඒත් කියන්ඩ බෑ
cd0a221b2a	එවකට අගමැතිව සිිටි රත්නසිරි වික්‍රමනායක මහතා
cd0a6194cc	කොටි ගැහුවා අම්පාරට
cd0a739cc0	ලොව ක්‍රියාකාරිත්වය නියාම ධර්ම පහක් අනුව සිදුවෙයි.
cd0ac9f689	අප ශාස්තෘන් වහන්සේ තුළ පැවැති ප්‍රබල ගුණයක් වන්නේ
cd0b80a27b	මේ ද්‍රෝහීන්ට යළිත් වරක්
cd0b971bf2	එයින්ම තේරුම් ගැනීමට පුළුවන්
cd0be9e590	ඕන කියල දන්න නිසා තමයි
cd0bfc2662	මෙසේ මරණය සිහිපත් කිරීම
cd0c2117c6	බොහොම රසවත්.
cd0c257202	මූල පණ්ණාසකය සූත්‍ර 50 කින් යුක්ත වේ.
cd0c28dc8d	යන්න පැහැදිලි වේ.
cd0cb14709	යුද්ධයක් නොතිබුණා නම්
cd0d022dc1	එබඳු පැහැදීමක් තිබුනොත්
cd0d14bf63	අපටම වැටහෙන්න පටන් ගන්නවා.
cd0d29e9e6	 ව ලොප් වෙලා.
cd0d71ff4f	ඒත් වැඩියෙන්ම
cd0da4f205	nirosha thalagala
cd0e64c1ad	එනම් පරිගණක ක්‍රිඩාවෙ විරුද්ධවාදියා
cd0eab5e2f	මම අකමැතියි.
cd0ef0ea07	ඔවුනට මම කතා කලෙමි
cd0f146c7a	නමුත් කිසිදු ප්‍රතිඵලයක් නැත.
cd0f235fcf	එවිට රෝගියා පවසා ඇත්තේ
cd0f5f8ac7	මේ රටේ පාර්ලිමේන්තු අමාත්‍යවරයකු ලෙස
cd0f975a61	shop online in sri lanka
cd10165c6d	සිරස ගිනිජාලා අතර
cd104b6bdb	එල අනික්වත් දෙමු
cd1077c158	ඍජු ආර්ය අෂ්ටාංගික මාර්ගය
cd119b3115	මෙම කරුණු විග්‍රහ කර බලන විට
cd11d5d91f	එය බුදු දහම තුළ දී
cd11e40897	බුදුදහමට කැමැති බවයි.
cd127fe933	මෙබදු සුවිශේෂී සත්ත්ව වාසස්ථානයක් මඟහැරීමෙනි
cd1292780f	ඉදිරිපත් කිරීම අවසානයේදී කිව්වා
cd13048312	ඒත් ඇනෝ එන්න
cd1309037b	නොදැන හිටි දේවල් ගොඩක් දැනගත්තා
cd136ba07b	තාත්තට හරක් ටික බේරල දෙනව.
cd13bb3c75	මුළු ලෝකයටම ආලෝකය විහිදෙනවා.
cd13f8c5af	දේවප්‍රිය පවතින
cd1404d480	හැම දෙයක්ම
cd14cc72ed	අවයව අතුරුදහන් වීමට
cd14fcd6d0	මුස්ලිම්ල ඕක පිටින් දාල
cd152a5837	උපසම්පත්තියෙන් වස්
cd153d9268	සෑදේ යැයි උපකල්පනය කර
cd1678d3ad	එවන් පුද්ගලයෝ තම අවශ්‍යතා
cd167a21ab	තිබහට බීමට හෝ ජලය නොමැති වීම
cd17413d9d	අනර්ඝ සිනමා කෘතියක් කිව්වොත් නිවැරදියි
cd1796846f	නර්තනයෙන් පුළුවනි.
cd17ca08d6	අහන්න එපා ! අහන්න එපා
cd1810614b	laptop reviews 2013
cd1815a7c9	ඊළාම් යුද්ධය සඳහා වියදම් කළ මුදල රුපියල් ට්‍රිලියන කි
cd189de56b	නිකන් හිටියා
cd18d7f5bf	බෝධිධර්ම හිමියන්ගෙන් පසු
cd18ec47cc	එක්සත් ජාතික පක්ෂයට හා ශ්‍රී ලංකා නිදහස් පක්ෂය එක්ක
cd1914a33f	දේශනා කරන ලද්දක් නොවේ.
cd191f7b40	දාසිය පිටත් කළා.
cd1a062bf3	ස්වාමීන් වහන්සේලා විමසා සිටියා
cd1a12db2f	විවාදයක් නෑ.
cd1b268fc0	අනෙක් එවාගේ ගතයුත්තක් තිබෙනවා
cd1b99df63	ගෝනි පඩංගු කෑලි රිංගවල
cd1b9f0957	එයාටම බඩගිනි වෙලා
cd1cbd0364	මොහු සමත් වෙන්නේ නැහැ.
cd1ccca95f	පාරේ හෝං ගැහුවත් වාහනේටමය් එන්නේ.
cd1d1c2fe1	සිල්වත් බැවින් මරණින් මතු සුගතියට යති.
cd1d86da60	සිය චෝදනා ප්‍රබල උද්ඝෝෂණාත්මක තලයක
cd1dec0b94	එබැවින් ඔහු ශාප් වෙත
cd1e28306d	මෙහෙම කාලයක් ඉඳලා
cd1e4b70bc	escape games 24
cd1eaa5dbb	මම කියලා
cd1eab04d7	ඒත දෙවියෝ සහ මනුෂ්‍යයෝ
cd1fbfc8d3	ධීවර ජනතාවගේ කටයුතු සහ භූමියේ අයිතිය
cd1fcf4f30	පසුව පොලිසියට හෙළිවී ඇත
cd1fd68750	ස්තූතියි! බොහොම ස්තුතියි
cd200e5e52	බොහෝ ඈතට ගොස් ඇති බව
cd205bd673	මහ මන්දිරේ
cd206e7eeb	ඒකත් හදලාම
cd20aa42e2	යෝධ වළාකුළු පොකුරක් නලියමින් තිබුණි.
cd21192c0c	එහි අගය වටහාගත හැකිවෙයි.
cd21efbc92	දැක ගන්නට පුළුවන
cd22a2ea54	විශාල වනාන්තර ප්‍රමාණයක්
cd22b1824f	බුදුරජාණන් වහන්සේ ප්‍රමුඛ භික්ෂූන් වහන්සේට
cd22b43693	හිතන්නත් පුළුවන්.
cd22d87171	මංමුළා වූ ලෝකයක සිටින අපට
cd234a0f2b	තෙමසකින් නිමාවට පත් කළහ.
cd23ddbe7c	එහෙත් දැන් වෙලා ඇත්තේ
cd24684edf	අපි කතාකල යුත්තේ
cd24b26fd7	හැබැයි පින් කියන්නෙ මොනාද කියලා මුලින් ඉගෙන ගන්න.
cd24dc7d5e	ඊජිප්තුවේ කයිරෝ අගනුවරත් ප්‍රචණ්ඩ උද්ඝෝෂණ
cd250e705f	මෙම ජීව විද්‍යාත්මක කරුණට සාධාරණයක් ඉටු කිරීමටය.
cd257beb4e	අපේ දරුවාට සාධාරණයක් ඉටු වෙනකල්
cd25f10bd4	උන්වහන්සේ බලවත් වේදනාවටත්
cd262f5194	ඒකාලෙ සමහර හාමුදුරුවො වගේම
cd2642381a	බුදුබණ යයි අත්තනෝමතික අදහස් ප්‍රකාශ කරන්නේ නම්
cd2691e4ba	ඇමේසන් වනය තුළ වෙසෙන ජගුවරයා ගස් නැගීමට දිවීමට මෙන්ම පිහිනීමටද සමතෙකි.
cd26a9bd9c	නිවෙස් වලින් පිට වෙනවා.
cd2713666f	වැරැදි සිදුවිය හැකි ය.
cd2765ebe4	මෙය වුවත්
cd27f44251	ඔබ දෙවියන්ගේ ගුණ සිහිකරමින්
cd2869441f	මෙම අම්බලමේ සිට
cd2a153807	එය ප්‍රධාන වශයෙන් තායිවානය, කොරියාව සහ
cd2a511358	හරකා බාන වතුපිටි සම්පූර්ණයෙන්
cd2ae1bc0a	ගැටලු ඇතිවුණා
cd2b2563f3	ඊට ලංවෙන
cd2b42ab21	තම වගකීම් නොපිරිහෙළා ඉටු කරන්නේ.
cd2baee531	පෙම්වතෙක් මුණ ගැසී ඇත
cd2bf1c5d1	වෙන්නෙ නම් නෑ.
cd2c25f01d	ඉතින් පලමුවර ඇයව ප්‍රතික්ෂේප කරනවා.
cd2c391603	පහවී යන බව පෙනී යයි.
cd2c713698	උදාරි පෑන්කේක් කන්න ආසයි
cd2cd2b738	මේ අවාසනාවන්ත තත්ත්වයෙන්
cd2d866c2c	මෙම නැරඹුම් මධ්‍යස්ථානයේ ඉහළට ගොඩ වූ විට අවට පරිසරය සිත් සේ නැරඹිය හැක.
cd2dff977c	මේ ක්‍රමයෙන් රාත්‍රියේ ප්‍රථම යාමයෙහි ම
cd2e0b8071	ධර්මයට තිබූ කැමැත්ත නිසාම
cd2e2fe8e2	ඉංග්‍රීසි දැන් සුද්දගෙ විතරක් නෙවෙයි ජාත්‍යන්තර භාෂාවක්
cd2e6bb3cd	හරිම නිස්කලංකයි.
cd2e6cadd4	බුදුරජාණන් වහන්සේ නමක්
cd2ea0fe65	හොඳම දැනුමෙ කොටසක්.
cd2ed1f494	සුදු කිරීමේ හෝ
cd2f9bf998	ඔහු පුදබිම දියුණු කළේ ය.
cd2fa4e054	එම ගැටලුවේ ස්වභාවය අනුව
cd2fabea63	මෙයට බලපාන්නට ඇති බවට අපට හැඟේ.
cd2ffdcc74	අපි ඒ සඳහා අවශ්‍ය පරීක්ෂණ සිදුකොට
cd3057a79f	ඒත් මේ සියලු අයට
cd305c9eb0	perada dutu desaka
cd30dfed86	පොලිස් නිලධාරීන්ට බැණ වැදී
cd3100fed6	එදින උදේ මා දුමින්ද සිල්වා මහතාගේ නිවසට පැමිණියා
cd3229e3b8	ළදරු වියේ සිට ක්‍රමයෙන් ජරාවට පත්වන
cd332e29ca	හෙට දිනය සුභ දිනයක් වන්නට තිබුණි.
cd338c59d7	සුවහසක් කැපකිරීම් නිසා තමයි
cd33d7d0a4	එනිසාම ලෝක සත්ත්වයා පිළිබඳව
cd344d1187	මොකක් හරි උනහාම
cd345135b9	ආයුෂය, වර්ණය, සැපය, බලය හා ප්‍රඥාව නොඅඩුව හිමිවේ.
cd345e8f96	මේක පිහිටලා තියෙන්න.
cd34693f2b	එසේ වීමට හේතුව කුලය
cd348ce008	ඉන් අනතුරුවයි ගමනාන්තය වන මිලාකකා ප්‍රදේශයට ලඟා වන්නේ
cd34c9218e	සිංහලෙන් අකුරු යද්දි
cd3500d64d	සකස් කරන සැලැසුම් හේතුවෙන්
cd3530fb2b	මොකක්ද එකෙන් වෙන්නේ කියලා
cd3686b438	electronic
cd36aee8e6	recondition cars for sale
cd36d0f9d0	මොකක් හරි අවශ්‍යයතාවයක විතරයි
cd389c3797	රැස් වෙනවා කියන්නේ ඇත්තක්ද?
cd39462b68	උත්සව ශ්‍රීයෙන් සැමරූ බවක්ද
cd3955a5fc	අපේ ගමේ කිසිම කෙනෙකු
cd39815389	එතැන් සිට ජීප් රථයක නංවාගත් ජෙයරත්නම්
cd3a099d08	එම සටන්කාමීත්වය
cd3a0ed9e0	පිට කසා ගැනීම කරගන්නේ.
cd3a7a8d1f	අපහාස කරන්න නේද තහනම්?
cd3a8ee5b8	අනුර බණ්ඩාරනායකත් හිටියා.
cd3ae4302e	සාමාන්‍ය ගිහි ජනයාට
cd3af6888c	සිදුකළ යුතු බැව් කියැවුණි.
cd3b3a8f0b	පෝස්ට් එකක්
cd3b55b1e8	හරියටම පින පව හඳුනාගන්න මිනුම් දණ්ඩක්.
cd3b62c2e7	බෞද්ධයන්ගේ තියෙන ඉවසීම නිවට කමක් කියලා.
cd3b6611c1	එයාල දන්නවා
cd3c0697b1	ඒත් මේ සමාගම
cd3c6e07fe	මොරවක ප්‍රදේශයේ මෙම පදනම මගින් පිහිටුවා තිබෙන
cd3cb71328	නිර්ණය වේ.
cd3cce4c89	ඇති කරගන්න ඕනේ.
cd3d6a9876	මෝඩ මිනිස්සු
cd3d6b1538	එහි පරමාණුක ඒකකය
cd3d9696a0	ඉන්දියන් කාරයින්ගේ වචනවලින්
cd3daa006d	මෙහි විහාර මන්දිරයේ නිර්මාණය කර තිබෙන
cd3e5d3db0	හඳුන්වන්නේ පත්තිරිප්පුවයි.
cd3e94854a	මේ විධියට බුදුරජාණන් වහන්සේ නිසා
cd3e96964b	එහෙත් කිසිවෙකු විශ්ලේෂණය කර
cd3f34f48f	ඒ අම්මාට චතුරාර්ය සත්‍යය ධර්මය දේශනා කරන්නට පටන් ගත්තා.
cd402d0cdc	මටත් කිව්වා
cd41977d69	කිසිම වැඩකට නැති වැඩක්.
cd41c390dc	happy christmas santa
cd41dc07ca	බොහෝවිට මෙය ප්‍රයෝජනයට ගෙන
cd42279e98	එම නිසා මෙම ගැටළුව
cd425dc543	මේ කියවෙන හිමිනම
cd43227824	ඔන්න බා ගත්තා
cd439f16fb	අවශ්‍ය වෙර වීරිය ලැබෙනු ඇත.
cd44045c6d	ඔබෙත් සැමියාගෙත්
cd4530afaf	තවමත් ඉස්සර තරමටම ඉන්නවා කියලා
