cf21acab35	එකල කලා ශිල්පීහු
cf21bd5fa4	යකුන් නම් වූ මිනිස් පිරිස ඇදහුයේ මළවුන්ය.
cf228f0e1d	එදා තමයි මම දැනගත්තෙ.
cf231a75c3	අපිට ආරක්ෂාවක් ඕන
cf237767a8	xp pro
cf242f58a6	ඔන්න එක දවසක් වළාකුළු අතරින්
cf248f722f	පිළිබඳ විමසා බැලීමද මෙහිලා වැදගත් වේ.
cf2499c0e6	ඒක ඕනෙම කෙනෙක්ට
cf24d84635	පවතින පාලකයා රකින්න.
cf24dbf854	අප්පේ ගොඩකාලයකට පස්සේ
cf251759b2	මව්පියෝ ද වෛද්‍යවරු ද දරුවන්ට කියති.
cf25629c47	ජයවිරාජ් ප්‍රසාද් ලියපු විදිහ
cf25ab441c	අප සහයෝගය දිය යුතු බවයි.
cf264d20a5	යනුවෙන්ද ඔහු පැවසීය
cf26f41209	නළුවෙක් ලෙසත් අත්දකිනවා..
cf27a5fe1f	මහ දැවැන්ත පුරුෂයෙක් ගාවට දැවැන්ත පක්ෂයක් ගාවට.
cf27db7474	ප්‍රණීත වූ ආහාර පාන
cf27fc9f75	ඒක හරි මචං
cf292e080a	නරඹන්නට හැකියාවක් ඔබට නැහැ.
cf2b090a8a	භාරතයේදී ය.
cf2b53e150	බොහෝ භික්ෂුණි ආරාම
cf2cc09a53	දෙවියන්ට දහම් දෙසීම සඳහාය
cf2d4e00f9	පොලිස් නිලධාරියෙකුත් මිය යනවා.
cf2d81144c	කොටුවූ මනුස්‌සයා හිරේ වැටුණේය
cf2db5d5e0	ඒත් මොහු ගේ කැමැත්ත වූයේ
cf2dbefea0	එහි පළමුවැන්න යි
cf3007f133	ඔබ තවමත් එතැනම බවයි.
cf30d2d7c9	දල්වන්න වගේම බිඳ දමන්නේත්
cf31d28ca8	බොහෝ දුක් සහිත වන අතර
cf327bc2fd	මට වැඩක් නෑ කියලා.
cf32a5f482	කාරණය සාකච්ඡා කිරීමට පෙර
cf332005d9	දේශනා කරනවා.
cf338f26a3	මේ දෙදෙනා මුල් කොට ගත යුතුයි.
cf34785e12	මංජුටත් තෙරුවන් සරණයි.
cf34cc0839	මුලින්ම තියෙන්නෙ කාන්තාවක් පැහරගන්නා සිදුවීමක්.
cf34e3881d	එය නොවන බව පැහැදිලියි.
cf3616dfa7	ගහන්න ඒවා නැතිවෙනකොට
cf363ff8ae	තැන්පත් කර ඇති බව සැළකේ.
cf36b596b3	හැබැයි මේ උපමාවට කැමති නෑ.
cf3707d494	ඉංග්‍රීසියෙන් ඉගෙන ගත්තට
cf3718d56d	තමා යෝජනා කරන බව
cf374bcfad	ඔවුනට අමතකව ඇත්තා සේ ය.
cf377e50d3	ඉහතින් උපුටා දක්වා ඇත්තේ
cf37bab8bf	මියගිය මවුපියන් වෙනුවෙන්
cf37cbc564	ඔන්න ඔය අභියෝගවලට මුහුනදීල
cf37f5339c	ඒක කියන්න බැරි වුණේ
cf38f1603d	කුළු හරක් ඉන්න පැත්තට තුවක්කුව ඉලක්ක කළා
cf38f82636	කලු හරකා යනකොට සුදු හරකත් යනවා
cf391c4056	එහිදී වෛද්‍ය නිර්දේශ
cf39843ca2	කාගේ හෝ නිර්මාණයක්
cf39da7c49	අන්න කෙස් බලන්න කිව්ව
cf3a01cc0a	උදේ හවස දුම්රියෙන් රැකියාවට යන එන පිරිස්
cf3a3276db	ගොඩනැඟෙන සමාජ සම්බන්ධතා මෙන්ම හිතවත්කම් ද
cf3b7386c3	අතිජාත දරුවන් ලෙසයි.
cf3b7eb89b	වෙනත් සතුරෙක් නැත.
cf3b9ca757	රාශියක් යට වී යයි.
cf3bf90caa	ලෝකයේ ඕනෑම ජන සමාජයකට සංස්කෘතියක් තිබෙනවා.
cf3c210774	මේ ස්වාමීන් වහන්සේලා දැකගත් පින්වතුන් මහත් සේ පැහැදුනා
cf3c29c07e	විශේෂ පලක් නොමැති අතර
cf3c2e4681	නමුත් දැන් ඔහුට මතක් වෙන්නේ
cf3c9d2014	පුරුදු පුහුණු කරගත යුතු කරුණු අතරෙන් තුනක්
cf3cabf4e1	nice
cf3cfddd28	එම රෝහලට පැමිණ සිටියාය.
cf3d3ac235	මේ සියලු පූජාවන් සිදු කරනුයේ
cf3d814bb6	එන්නේ ගෙදර නම්,
cf3da120e5	මෙහි දුර්ලභ ගණයේ ලිපි ලේඛන
cf3e200631	ඔය අතරේ බුදුරජාණන් වහන්සේලා
cf3e91c899	නමුත් පොර ටෝක් දෙන විට
cf3ed8f2f9	කියන ගමන්ම මාත් ගියා
cf4026b645	තණකොල පෙත්ත දුෂ්ඨය වුණත්
cf4097a32f	ඊට පසුව වෙන දේවල්
cf40d7f4a5	ඒත් බලෙන්
cf41d6cabf	ඔබගේ අන්තිම ඡේදයන්
cf422299ef	මිහිඳු හිමියෝ එහි දී
cf42a635d7	එකම රගපෑම තමයි
cf42b5a2e3	මෙරට සිංහල බෞද්ධ පදනම පිළිගන්නේ
cf42dfe679	ඉහළ මට්ටමෙන් යුත් අධ්‍යාපනයක්
