48001ea8fb	නමුත් එය ජාවාරම්කාරයින්
48007d435b	පරිපාලන නීතිය වගේ දිශාවන්ට විහිදුනු ව්‍යූහමය එකක්.
4800a1465c	අප අවශ්‍ය දෙයට මෙන්ම
4800f7737b	වගේ අහක බලා ගත්තා.
4801128eb6	බුදුන් වහන්සේට
48016f2204	ගම්වැසියන් නිදා සිටිද්දී
4801ae0e23	ඊට පස්සේ ඉතිරිවෙන මිනිස්සු
4801cd1bc1	එම අයට සිය කුසලතා වැඩිකර ගනිමින්
4801e47b22	බෞද්ධ සාහිත්‍යයේ දැක්වෙන පරිදි
4802000d2c	මම ඔබව ගෙනියන්න හදන්නේ.
48022b8d1d	සිංදුවකට හොඳ පද ටිකක්
480350106b	එහෙමත් නැත්නම් ඔක්කොවම අන්දවලා
4803de0cca	තැනකින් ඔය ඇත්තන්ට
48043b71de	පොත ලියලා තියෙන්නෙත්
4804829850	වතුර එකතු නොවීම
4804d00034	ඉන්දියාවේ අලිපුර්දුවාර් ප්‍රදේශයේ
48052efbb3	කුඩා කල සිට කල්ගෙවීය
48055efad9	දේශපාලන වාසි ගැනීමත් සිදු නොවිය යුතුයි.
48056b6d8f	ආසාවට හිටියේ නෑනේ
4805a5c487	අද වෙනකොට අපේ හිත මීට වඩා
480713f370	play vice city game
48071a641b	හාමුදුරුවො දේශනා කලා වගේ
48078eb981	එන අතරමගදී වෙන අනතුරු සහිත බව
4807bc505e	මොකද මේ චිත්‍රපටය රූගතකරලා තියෙන්නෙ
4807c66142	ජීවිතයේ අවසාන කාලයේ
48083bd0d4	පළමුවෙන්ම මේ සිත ජය අරගෙන
48084b324a	සිදු වූ දිනයක් නිසා නවම් පොහොය
4808677178	එය නාට්‍ය නැරඹීමට පෙර
480889d092	ගැටලූ සහිත ය
4808b34b88	moter bicycle
4808f96dae	ඒත් අපිට බලන්න
480915d6de	හාල් ටික ගරලා ලිපේ තිබ්බා.
48099400f4	ඒවා සුදු පැහැයට හුරු
48099b8376	වෙඩි තියපු හැටි
480a4bac2e	බෞද්ධ වූ අපට එය සාමාන්‍ය දෙයකි.
480a5e7d2a	මෙය ඉපැයීම් මාර්ග ශක්තිමත් කර ගැනීමට
480af79f7b	බුදුරජාණන් වහන්සේ නියම කළ සේක් ද?
480ba7c3ab	මත පණ බේරගන්න
480ba96e70	මරණාසන්න තැනැත්තාට හෝ තැනැත්තියට
480be6014a	අඳුරට ඉඩදී
480c4ab1fb	තමන්ගේ ස්‌වාමියාට පේන්න විතරයි කියල.
480c4dc1d8	උපසිරැසිය අවසන් කලා.
480c70f174	වෙන් වීමේ ශික්‍ෂා පදය සමාදන් වෙමි.
480d188244	කාලෙත් එක්ක.
480d1fa02b	ඔය සන්නිවේදන කුළුණු වලින්
480daac7de	ලොව පහළ වූ දිනය අදයි.
480db9f2dd	රටේ දියුණුවට බාධාවෙයි.
480df4ba79	පෙරළී ඇතැයි පොලීසිය කියයි
480e3a4267	එයට අමතරව මෙම ජීවීන් පිළිබඳ
480e48685b	එම ඖෂධ වර්ග දෙක වූයේ
480e5d8e75	සුපරික්ෂාකාරි විය යුතුයි.
480ef837cc	ඔයාට ඕන හෝටලයකින් කන්න පුළුවන්
480f0f6800	මිනිසාගේ ආත්මය සිරුරින් පිටවී
480f310636	අනෙක් අතට ඇමරිකාවේ
480ffd3ae3	ඒත් පස්සේ කාලෙක තේරුණා
481004c5c7	ඇය මෝහන නිද්‍රාවෙන් අවදි කෙරිණි.
481048f297	දැහැටිකූරු අනුමත කිරීමේදි
4810915cd4	තණ්හාව මුලින්ම උදුරා දමා පිරිනිවන් පෑවා.
4810fb2fd4	බොහොම ලස්සනට අර මිනී ඔළුව පිටි අල්ලෙන් මතුවෙනවා
481105af9e	හැබැයි අර රට පුරා ශාඛා තියන
48111f92a6	අපි ඔබට සුබ පතන්නෙමු අනේ සුදූ.
4811240224	සකල විහාරාංගයන්ගෙන් පරිපුර්ණ වු සිද්ධස්ථානයකි.
481139c2a9	එම පුහුණුව ඉතා වැදගත් වේ
48116c097c	ආසියානු කලාපයේ දියුණු වෙමින් පවතින රටක
4812234c0a	හැබැයි ලේසි නැහැ
481294803b	එවකට සිටි ජනාධිපතිනි චන්ද්‍රිකා බණ්ඩාරනායක මහත්මියගේ නියමයෙන්
48129dd7b5	මෙම ධාර්මික රජතුමා
4812d8cf5e	ඉහත සඳහන් කළ ධුතාංග දහතුන අයිති වෙයි.
4812dd7d79	බලන්න හරියයිද කියල.
481338a270	එතකොට පසුගිය මස සියලුම බිල් ගෙවල තිබුණත්
4813cd8a8d	මෙම අරමුණු ඉටු කර ගැනීම වෙනුවෙන්
4813d49733	සිත පහදවා ගැනීම නැතිවුණොත්
4813fe312d	සිතාසි නිකුත් කරන ලෙස
481435c190	හමුදා පවුල්වල ඝාතන සිදු කරලා
481524dd01	හොදම ක්‍රමය.
4815e16004	මගපෙන්වීම් ආදර්ශ ඕනේ තරම්
4815ec3edf	හිතේ විඤ්ඤාණය හටගන්නවා.
48169f453d	තුප්පහියන් ඉතිහාසයේ කසල ගොඩේ
48170484f6	යන විශ්වාසය නිසා
48172b351e	පිළිතුරු සැපයීමක් ලෙස
481777edf0	ආධිපත්‍යභාවයට පත්වෙලා ඉන්නේ.
4817d1d238	උන්වහන්සේ බුදු කෙනෙක්
4817fe43d8	නමුත් ඔහු මේ කතා එකක් දෙකක්
48183c13c3	ඒ දේවල් ගැන පැහැදිලි අවබෝධයක්
4818af6e1b	විවාහ කටයුතු කෙරෙන් සිතට සතුට දනවන දේ සිදු වේ.
4818c6dc5d	මතකයිමා මෙතෙක් දුටු ලස්සනම දේදුන්නද එයයි.
4819685c5d	හරියට කොමෙන්ටුවක් දාන්න බැරිවීම ගැන
481a667270	මෙවර ගැටබරු ඇසළ මහා මංගල්‍යය නිමාවට පත්වේ
481a96a433	මෙතන නිවැරදි ද කියන්න
481aa5247e	දකින්න තමා උපකරණ නිපදවන්නෙ
481aef10d8	වැඩ සිට ධර්මදේශනා කළ බව
