66001432c6	දමිත් ගුණවර්ධන කියපු කතාවමයි.
6601cb8f4a	හිතන්න පුළුවන්කමින් තමයි මේක වෙන්නෙ.
6601dc0b90	රාගයට ද්වේෂයට හේතුවන නිමිති ගැනීම වළක්වා
660251c1fd	saduni
66026fc004	ඇතැම් විට මහණ වුණත් එවැනි කතා වලින් නිදහස් වෙන්න අමාරුයි.
6602b12ec1	තරිඳුටත් ඒ අය ගැහැව්වා.
6603d0db10	අද මම කණගාටු වෙනවා
66049bfbff	අපේ සීයලා ගේ කාලේ
6604fd22cf	අන්‍ය සංස්කෘතීන්ට අයත් වචන හා
66050005e5	සිංහාසනය ආවරණය කැර තිබුණු
66057ea3cc	දේශීය ඇයට ලබාදීමට නියමිතව ඇත
6605895fa2	උරග උයන.
660609bd1b	ඔයාලට මේක ගැන විස්තරයක් තමා.
6606ff5e00	සඳහන් කරන අය ගැන
6607657912	ඒකෙ බිත්ති වල ලේ පැල්ලම්
66078fdee6	මල් වට්ටි, සුවඳ දුම් බඳුන් පහන්තැටි ආදිය
6607beb66e	එම සිව්වනක් පිරිසට අයත් වේ.
6607c7fe0c	බුද්ධ ධර්මය අනුව
6608211cfc	ගෘහස්ථ ප්‍රචණ්ඩත්වයක් පිළිබඳ සාකච්ඡාවක් කිසිදාක ඇති නොවනු ඇත.
66086d5bbc	මා සමග කියලා තියෙනවා.
6609d612a6	ඒ වෙලාවේ
6609d9f545	ඔය වීඩියෝ වල කියන ටික
660a577a4d	එසේ මෙසේ වෛද්‍යවරයෙක් නොව
660a8c41e2	වෙසක් පොහෝ දිනෙන් නිමාවට පත්වේ.
660ab0a024	ඇමෙරිකාවට පුළුවන් රුසියාව ඉඩ දෙන තැන් වල විතරක් ආණ්ඩු පෙරලන්න.
660ab1605e	පැවැත්ම පිළිබඳව හෝ
660abde522	අපේ සිතුවිලි නිර්මාණයේදී
660b29af28	එම විශ්ව විද්‍යාල නියාමනය පිළිබඳ
660bc06c63	ඉතින් අද එතන ඉදන්
660bd35e68	ඓතිහාසික ග්‍රන්ථවල මැනැවින් විස්තර කර තිබේ.
660cbfa493	මේක සබ් දාල
660cd8eb79	දේපළ මිලට ගැනීමට
660d3258d8	මේ ස්වභාවය
660dd1fd7b	අඳුරු වීමට ඉඩ හැරිය යුතු නොවෙයි.
660de7d179	ඊළඟට උන්වහන්සේ දේශනා කරනවා
660e0b891a	අපට දක්නට ඇත්තේ
660e0bc311	පරිශීලනය කරන විට
660ea8fe66	වනෝද්‍යානයට යන වාහනයක හැපිලා
660eb2293c	නව සෝදිසි මෙහෙයුම් සඳහා
661043fa4c	අන්තිමට බිල ගෙවන්න ගියාම තමයි අවුල හැදුනෙ.
66104e6f8c	එවන් නාට්‍යයක් නූතන වේදිකාව තුළට ගෙන එද්දී
6610c4bf4a	විදේශගත ශ්‍රී ලාංකික ප්‍රජාවද
6610d9fbdf	ඉතින් බැරිම තැන පොඩි ස්වාමීන් වහන්සේ ගිහිල්ලා
661141a66e	විකීපිඩීයා ලින්ක් එකත් ඇති
6611b1fc1d	අර පොඩි බල්ල මැරුන නිසා
6611ec5453	මීට කලින් යාමට නොහැකිවීමයි.
661215babc	ගූගල් මැප්ස් පාවිච්චි කරන්න කියන වෙලේ
66123a4307	අර දකුණෙ කොල්ලෝ
661298208b	වැව් බැම්ම කැඞී ගියා
6612c44fc1	ඉලෙක්ට්‍රොනික තාක්‍ෂණය
66132a6b17	තක්කඩි ක්‍රියාවකි.
661367490b	මවට සැලකීම පිළිබඳව
6613bb8da4	කවුරුත් කරයි කියලා හිතන්න අමාරු දේවල්.
6614cf1f18	අයිය වරදක් කළානම්
6614d0e20d	උඹ සැහෙන මහන්සි වෙනවනේ
6615b73c93	මොනතරම් ශාන්තියක් අප අත්විඳිනවාද?
66160f5aa8	බෞද්ධයන් වන අප,
6616122c62	අකුසල් වලින් සිත මුදවා ගැනීම කළ යුත්තේ
6616236c0a	අනාගතයේදී සිදුවන දෙයක් පෙන්නුම් කර දීමය.
6616a631de	නියමයි සහෝ.
6616d0d158	එවැනි චින්තන හා පිළිවෙත්
6616da7054	paul walker dead
6616ed2063	අභිධර්ම පිටකය තුල පසුකාලීනව ලියවුන දේ
66174897b4	ඔන්න ගොයියෝ කෝරළේ මහත්තය
661763bb2a	අසරණ අහිංසක පවුල් මෙතන
66177205cb	ඒක තමන්ට
6617a5f7e2	එය තිරගත කිරීමේ නිදහස
661848ba32	සිය ලොකු දුවගේ හිස සිප ගත්තේය
661867b532	නිගමනය කළ හැකිය
6618848f68	විනය අපේ රටට වඩා වෙනස්.
