010009989d	හෝටල්වල ගිනි මැල හදනවා.
010062fad4	මරණින් මතු පැවැත්ම
010076d616	මේ සේරම නීති හදල තියෙන්නෙ උඹලගෙන් ඇත්ත හංගන්න
0100bd6d66	ඒකත් මදැයි බං.
01015573b7	අසමත් කොල්ලන්ට තමන් සමත්කම් ඇති
0101917789	කියලනම් හිතන්නවත් බෑ
01022b295f	තෙවන වරට ලක්දිවට වැඩම කළ අවස්ථාවේ
01029e0692	එක වයසේ තමයි ඉඳලා තියෙන්නේ.
0103042ecd	මුදල් ගන්නේ එක විදිහකට.
010319c8ce	දුර රටක ඉන්නකොට
0103649730	ඒ අයගේ ජීවිතයට වධදෙන ප්‍රශ්න
0103acb370	මට දැකගන්නට ලැබුණා
010418d1e8	මොකද මට දවස ගානේ
010431c638	පිළියන්දල ‍පොලීසියට ලද තොරතුරකට අනුව
01044dab35	අර විදෙස් ජාතික තරුණයා
0104bcca30	ඇය නොදැනුවත්වම ඇගේ ඇස් දුන්නේ ඊට වෙනස් පිළිතුරකි
0104cef3d7	බිහිවෙලා ඉන්න හොරු රැල
01054f6435	මෙවැනි මතවාදීමය ගැටලු
0105fc0bb7	සරත් වෙනුවෙන් කතා කලේ
01063ebab7	අයේෂා පිටරට වලට නෙමෙයි
0106c0024a	සමීක්ෂණය කර ඉවරයි
0106ce9422	ගැටලු පැවැතියත්
01074142f9	sri lanka rings
0107927869	එබැවින් කාමයන් බොහෝ දෙනාට සාධාරණ බැවින්
01085e94ed	නසනවා කියන්නේ.
010873c7e7	එවිට සක්දෙවිඳු කියනවා දෙවිවරුනි
0108b3a931	අරාබි රටවල තමයි
010953a3da	අපේ සීයා
0109952583	මග පෙන්වීමේ රාජකාරිය සඳහා සූදානම්ව
010a38908e	ගරු කරන්නැයි ඔහුට බල කිරීමට
010a74d81f	එහි ආකෘතිය අනුව
010a901ab1	එතුමා කියන ආයතනයේ හැටියට
010a9ad78b	අනුන්ට සෙත්පතා කියවන විට
010ac2a6fe	ඊට අමතරව රසල්ගේ ජීවිතය ගැන
010b1fdd84	කාම මිථ්‍යාචාරය සම්පූර්ණ වීම සඳහා
010b4c26e0	නැතිවෙලා යනවා
010b619355	ප්‍රේමය වඩා සංතෘෂ්ටිජනක වන්නේ
010bd3a568	මිල අහල යනව විතරයි
010c27d047	මේ අය අතරින්
010c29d31d	හරකෙක් මැරීම
