1000342f18	මොවුන් හතරදෙනාම
1000aabb59	rivira
1000d94ade	කෝ යකෝ
1001049d3b	ගමනට අවශ්‍ය දේවලූත් තිබුණා.
10010700f3	පිපාසයෙන් බිම වැතිර සිටි රජුට
10011ee213	ශරීරය පිළිබඳ ව
10017c868e	එනම් ධර්මය ඉගෙන ගෙන
100210fdb9	ආදායම් තත්ත්වය යහපත් වන අතර ව්‍යාපාරික කටයුතුවලින් නොසිතූ ලාභ ලබාගත හැකි දවසකි.
1002141673	flower desing gold chain
10021dcff1	අපේ පුරාණයට වැදගත් වන්නේය.
1002e0acde	එයාගේ හොඳ ගතිගුණ නිසා
10030d466d	උඹල ඔහොම දිගටම බටහිර විද්‍යාවට බැන බැන
10032f698a	පැරැණි වේදනාව නැති කිරීම
1003449157	නිපුණතා සංවර්ධනයක් අවශ්‍ය වෙන්නේ.
100369ddfa	නමුත් එම වීඩියෝ වල රහසිගත භාවය
10038b92bf	කරදරයක් වෙලා නැහැ..
1003b17442	තමන්ගෙ කුරුලු හදවත කතාව පුරාම
1003b28561	පරම සත්‍ය ලෙස
1003d4fb79	මේ එක එක ඇඳුම් වෙනුවෙන් නොවේ.
100442e73e	සැරයටියේ පිහිටද ඇතිව
1004ccd92a	ස්වාභාවික දේ කැතයි
1005510246	ඊට පස්සෙ කිවුව දෙවියන්ගෙ දේශයෙන් බුදුන් එලෙව්ව කියල
10068221e3	කාගෙන් හරි කලා
1006fe22fb	බිහි වූ කෘතියක් විය යුතු ය.
1007bb04fc	හමුදා සම්ප්‍රදාය තුළ ඇත
1007c8c5bb	මොවුන් කියනා සන්නද්ධ කණ්‌ඩායම
1007f4fe73	kandy school girls
1007f54621	වැදගත් සිදුවීම් රැසක් වූ නිසා
100802db6a	ශාපලත් යුද්ධය දක්වා
1008414221	මුළු ලෝකයම ගොනාට අන්දමින් ඉතා ඉක්මණින් මේ තුන්වැනි ලෝකයෙන් චුත වී
10087acc1e	මේ ගැන ලිපියක් පළ කෙරුවා
1008bb31c5	අපේ සිංහල අවමංගල චාරිත්‍ර වාරිත්‍ර කෙරෙහි ය.
1008dab05d	අනුන්ගේ කාර් එකක්
1009fa03eb	එහි අනෙක් ප්‍රතිඵලය
100a0e7d59	මෘදුකාංග මැණික් හා ස්වර්ණාභරණ අත්කම් භාණ්ඩ හා ආහාර නිෂ්පාදන
100a4acbe5	අභිමානවත් බවද සංයමයද මැනවින් මුසුව ඇත.
100b3adb52	එයා දකිනවා අනිත්‍ය වූ සමාධියක්
100bae9685	නමුත් ගැහැණු මැදපෙරදිග වහල් සේවයට යවා
100be38e8c	එහි එන නෑ යකුන් නැටීම
100bf809e4	එය ශ්‍රවණය කිරීමට පැමිණි
100c4e8633	පිහිටුවන ලද්දේ වසරේදීය.
100c777719	යටපත් කිරීමයි.
100c778c6d	ඔප්පු කර පෙන්විය යුතු ය.
100c896d5e	දැව උපයෝගි කරගෙන ඉදිකොට තිබෙන්නෙට ඇත
100ce05149	සම්බුද්ධ රාජමාලිගය ඉදිකර තිබේ
100d2a0c98	අපිත් පිනක්‌ කරගත්තා කියලා
100d41a3bc	අධිපති සුසමාදර්ශය සමග හොඳින් සමරූපී වේ.
100d48387c	ඒ විදිහට කොච්චර වෙනස් වෙනවද?
100d5901f6	ලියාගන්නවලු
100e059120	ඊට කලින් ඔහු අනෙක් අයට ඔප්පු කරලා පෙන්වනවා
100e1779fd	යහපත් ලෙස රැස් කරගත් ධර්මය තමයි
100e24b636	පූර්වාදර්ශයට ගෙන ඇත්තේ
100e86c1ef	ඔයාලට බයිස්කෝප් එකක් තමයි
100ec43d30	නැත්තම් ආඩම්බර වැඩ කාරයාද?
100eca976d	විල්පත්තු උද්‍යානයේ පිවිසුම් දොරටුවට
100f897126	ඕනි නැහැ.
100fbebdbf	එයින් දරු පවුල් පොහොසත්වන
