ba692ec9ea	තුන්වෙනි ධ්‍යානය පුරුදු කරන්න.
ba693aa478	සිංදුවක් ගැන මොනව හරි ලියන්න
ba695c0a61	හදවත් රෝග වලට ගොදුරු වෙන අයට
ba69e6b151	දැන ගන්න නොලැබෙන එක.
ba69f2b3fe	තේරුම් ගැනීමටත්ය.
ba6a15553b	ඊට පසු දින පොලිසිය
ba6ad83468	ඉතිං මම හිතුවා
ba6af0c7a0	කිසිදු බලපෑමක් නැති අයිතියක්.
ba6bebd597	සිටුවරයාගේ අදහස්වලට අනුරූපව
ba6c07363f	අනාවරණය කැරිණි
ba6c6ed96c	උතුරු ප්‍රදේශයට පැමිණ ඇතැයි පිළිගැනේ
ba6c93f742	හෙදියන් ඒ පිළිබඳව ඉගෙන ගෙන
ba6d1686cd	මෙම සිද්ධිවලට වගකිවයුතුයි
ba6e44c2a8	අනිවාර්යයෙන්ම තියන්න ඕන
ba6e7e3318	දිනක වහ බවට පත් වේ
ba6ea24696	නිර්වාණ සැපත ලැබෙන්නේ
ba6ef0d337	සුවිශේෂී දක්ෂතා දැක්වීමට ද
ba6f070403	මේ මූලික අවබෝධය නිසා
ba7075a64d	එම නිසා වෙසක් මහිම යන්නෙහි
ba7167a6f5	එකවරම අම්මාට දකින්නට ලැබුනා
ba71c58c94	මෙතැනින් තරමක් එහා බැලුම්ගල නම් සුවිශේෂ ගලකුත් තියෙනවා.
ba71d0d7b3	පසුගිය සැප්තැම්බර්
ba71d10bda	නුවරක් වෙයි.
ba71e98df9	හැමදාම වගේ අදත් කරන අයට
ba7276bfe7	විනාශ වන්නට ඉඩ තිබුණි.
ba7277d797	මම ඒ යාළුකම අතඇරියා.
ba727c456e	කිසිදු තාර්කික භාවයක් නැත
ba7363bd15	අතට හසුවන ඕනෑම දෙයක්
ba7366cb17	අදාල නිළධාරින් විසිනි.
ba743b2816	පිරිසුදු වෙන්න බලාපොරොත්තු වෙන අයෙකුට
ba7457586f	ජනාධිපති පූතින් අවධාරණය කළේ
ba7458e72a	මාටින් නමැති බ්‍රිතාන්‍ය තරුණයෙකි.
ba74810194	උපාධිය අවසන් කර නීති විද්‍යාලයට ඇතුළත් විය හැකියි
ba74e2c111	එතුමා අශෝකමාලා චිත්‍රපටියට සංගීතය සපයන්න ඇවිත්
ba75818573	එයාල හැමදාම මිනිස්සුන්ට ප්‍රතිපල පෙන්නන්න
ba76137c51	හෙවත් ලංකාව තුළ මාක්ස්වාදී නැමියාවක්
ba76185e06	අනගි ප්‍රතිඵලයක් වශයෙන්
ba763af5de	skype download for windows 7
ba76a4f4f1	අලංකාර වලින් පිරි ප්‍රේමයක් තුල
ba76f786eb	මුස්ලිම් රාජ්‍ය පාලනයක් යටතේ
ba76fdd94b	ඉහල නායකයින්ට මේ ආකාරයට පහල නායකයින් යටත් කර ගැනීම
ba77f81589	එයාට උදව් කරන්නේ කවුද?
ba786f3c31	ස්වයං හික්මීම ජනිත වන්නේය.
ba78a22b9f	ගාල්ල කොටු පවුර දෙසට පැමිණෙන දෙස් විදේශ සංචාරකයන්ට
ba799923a4	බිම් මහලට වැටී තිබුණු අන්දමයි.
ba7a1ea927	නියම රූපලාවන්‍ය කරණය යි
ba7a441f85	ස්වදේශිකයින් කෲර වද හිංසාවලට ලක් කොට
ba7a58ffaa	lady gaga
ba7b73cd51	ආරක්ෂක වැටක් ඉදි කරමින් පවති
ba7ba420be	ඔහු සතුව පැවැති භූත කොටස්
ba7c07c46f	අරූ ඉතින් මේ ගොන් නාම්බෝ ඉන්නකම්
ba7cbc4e7e	බුදු කෙනෙක් පහළ වූහ.
ba7d3d152a	වඳුරඹ සිද්ධාර්ථ ස්වාමීන් වහන්සේ ය.
ba7e085837	ඉතින් ඊට පස්සෙ වෙන්නෙ මොකද කියල ඔයාලම බලන්න
ba7e220f4e	sinhala cards ayubowan
ba7e4ad076	උත්සවශ්‍රීයෙන් පිණ්ඩපාත චාරිකාවල යෙදුණු බවක්
ba7e685738	දුෂ්කර කඳුකර මාර්ගයකි.
ba7ef994d4	එනිසා ඉපදීම දුකක් වන්නේ
ba7f5fe111	වෙනද වගේම කියන්න වචන නැහැ
ba801ae0a5	අපිට මුලින් කිව්වා
ba802cf749	කළුකුමා තේරීමේ විශේෂ චාරිත්‍රයට
ba806596d0	ඊ ළඟ වතාවේ හැදුනොත් බලමු.
ba80782904	ඊට අමතරව විදෙස් පුවත් සම්බන්ධ
ba808ebd5b	කුඩා කාලේ ඉඳලම හොඳ
ba80b14655	එමෙන්ම මෙම දුප්පත් අධ්‍යාපනය විසින්
ba80d18a84	ජනතාව ඇමති තුමාගේ අම්මා මතක් කිරීම නිසා
ba818d1e8c	එසේ පාවඩ මත පෙරහරේ ගමන් කරන ඇතා
ba81bc2a68	අප සභාවක කතා කරන්නේ නැහැනේ
ba8222972e	මොකද කිත්තට තිබුණු බර බාගේ
ba82764d8b	අපිට ‍ලේසියෙන් දොට්ට දාන්න බෑ.
ba83126a7e	අන්කල් කෙන්ජිට කලින් මමත් මේල් කටුවක් එවුවා
ba8317b18a	අපට ඒ ගැන පළමුවෙන් ම
ba83422e0b	ගවයාට වන්දනා කරනවා
ba8347043a	එක්කෝ සත්‍යයි
ba8360330c	යථාර්ථවාදය යනු විවිධ රීතීන් අතරින් එකක් නොවේ.
ba842a3905	මට කිසිම බලපෑමක් කරන්න නං ආවෙ නෑ.
ba846dcd7e	කවිය ඉතා සංවේදී එමෙන්ම
ba8478c3bd	අපට විශ්වවිද්‍යාලයන්හි සේවයේ යෙදෙන
ba850aee03	මේ දෙදෙනාට වැටහුනා.
ba85417831	එසේත් නොමැති විවිධාකාර සංකල්ප
ba857c6a35	ගැරීත් දැන ගන්නවා
ba85c3fbce	ඔයාගේ මොළේ පෑදිලා තියෙන්නෙ.
ba85c9a422	අලියා ආසියාවේ හා අප්‍රිකාවේ සිටින
ba861b3e96	බුදුසිරිතේ සඳහන් වේ.
ba863c0c22	එහෙත් කුමන ක්‍රමයකින්
ba866f01e0	gold and silver jewellery
ba8672ba65	හැබැයි ඒ වෙනුවට
ba86a9d6d9	news on 6
ba87136d56	දැන් පෙම්වතුන් හෝ පෙම්වතියන් ලෙස
ba874327ad	අර දිනපොතට බ්ලොග් එකක්.
ba87fb5a46	මහත් ඵලමනානිසංස වන්නේ ය.
ba87ff4e12	මොකක්ද මේ වේරලියද්ද පවු‍ලේ ඇති වුණ ප්‍රශ්නය?
ba880a57d1	එය හෙට දවසක නගරයේ ආකර්ෂණීයත්ව
ba8819189b	ඉදිරියෙදිත් ලස්සන සින්හල සබ් එකක්
ba88334f95	ආරම්භ කරන්න
ba8841a806	උබ ගහපු අනික් ඒවත් කියපන්කො
ba88589b29	short films
ba88d4ab8f	තමන් කෙරෙහි පහදවාගෙන
ba89397f04	අර කියපු මුද්‍රණ දෝෂ එක්ක
ba89ed3eda	එම නිසා වාචික සංවරය සේම
ba89f4fc88	ඒත් මම එලියට එනකොට
ba8a7b4130	ධ්‍යාන කියන වචනය ඇහෙන කොට
ba8aa8312b	බුදු දහමේ කොතනද
ba8c224f8a	පෑලියගොඩ ‍පොලීසියට පැමිණිලි කර තිබේ.
ba8c4e950e	රජතුමා යක්ෂපති, සූර්යපති, මිහිපති යන නම් වලින් හැඳින්වූවා.
ba8c878034	ඔය මුල්පෙලේ අයට වඩා
ba8cca8fd6	අපි දිගටම අපේ මහ ගෙදර
ba8d283cff	අනුරපුරයේ බොහෝ ශ්‍රමණයින් සිටි බැව් පිළිගැනීමට පුළුවන
ba8d5c9c2f	ඔබගේ සියළු කටයුතු
ba8dad2bf6	ධාතු ගර්භ ඉදිකිරීම ඇරඹී ඇත්තේ
ba8de3e7e1	අවසාන වන තුරුත්
ba8e2c7085	හිරවෙලා පීඩනයක් දාගන්න එපා කියල.
ba8e9b50fb	ජෙනරාල් තුමා පාවිච්චි කරලා පරද්දන්න හැදුවා වගෙ
ba8ece45fc	අනික තමා මෙවැනි සරල රසවින්දනයක්
ba8f0728ee	ඊට පස්සේ ඒ බවක් නොකියා
ba906a55cd	ඇසළ පෙරහර සඳහා
ba90b33937	ආර්ය ශ්‍රාවකයා හැඳින ගත හැකියි
ba90fced0a	උපාසිකාව යනු
ba912db044	තව දුරටත් වනසන බවනම් සත්‍යයක්
ba91827723	යන්න ඇරලා තමයි ඇඟට පනින්නේ.
ba91a6c83f	විශාල වියදමක් දරන්න වෙනවා
ba91d1f137	අනෙකුත් මාංශ අනුභව කරමින්
ba91e27a77	මේ බිලට ගහල එවන්න
ba9211d1bb	එම අසනීපය
ba92669841	අපේ ළමා සිත් අයාලේ යානොදී එක තැන කරන්න ඒ රිද්මයන් උදව් වුනා කියල
