f901081414	ඉතා ඉක්මනින් නැති විය
f9010d2150	ඊට පස්සේ තනියම මේක කරගෙන යන්න
f901274ec6	සබ් එහෙනම්! අම්මටහුඩු.
f901299adb	ඉගන ගන්න අයගේ තත්වය
f901a66db5	කෘමි නාශක තහනම් කළා කියලා.
f901b18dae	ඉවසීමෙන් කටයුතු කිරීම
f90213422f	විය යුතුයි.
f90218883a	අර සුපිරි සිර මැදිරියට
f902de64ea	අම්මා මාව හවුල් කර ගත්තා.
f9030b4678	දේශපාලන ගඳ උහුලන්න බැරි ඒකයි ප්‍රශ්නේ.
f903233b82	හඬක් එළියට ආවේ ඔය චිත්‍රපටියෙන්.
f903e63016	බස් ධාවනය නතර කළ යුතුය.
f904067c55	හැබැයි වයසින් මෝරා යත්ම
f904291671	ඉස්කෝල වෙලාවට ගාල්ලෙ වක්වැල්ල පාරෙ බස් වල
f905410f65	අත්හදා බලන්නට නම් ෂාන් වික්‍රමසිංහත්
f9054246ec	මෙය ළමා අපයෝජනයක් නොවන්නට පුළුවන
f90551c9c2	මහාසේන දිව්‍ය රාජයා නමින් තුසිත දෙව්ලොව උපන් බවයි
f9058483f4	ආදී මෙකි නොකී සියලු කාරනා
f9063bbaf9	එසමයෙහි අග්‍රශාවක
f906470fe0	උදාහරණයක් හැටියට එක සිංහල නවකථාවක් තියෙනවද
f90687e394	බුදුන් වහන්සේ බුද්ධත්වයට පත් වුන බවට තිබෙන හොඳම සාක්ෂිය
f906d03b3d	බුදු රජාණන් වහන්සේ ගේ මැදිහත්වීම නිසා සමථයකට පත්විය.
f906f0b1d2	වාර්තා වේ.
f9079ebca1	එවන් ආදර කතාවක්
f907a83f84	ගොඩාක් ඈත අතීතයේනේ.
f908208f5b	රුහුණෙ අය විතරයි
f9085eced5	මළ කඳන් තුනක්
f90868e0fb	කවදත් අපි වගේ
f908c29190	මහරහතුන් විසින් සකස් කොට වදාළ
f908e8a8d9	සූදානම් නැති වග.
f909104390	ඔහු කරන වරද අවබෝධ කර
f9091eb453	කැපෙන සුපර් ස්ටාර්ලාට කියන්නේ.
f90af89856	මගේ බිරිඳ ද පුතා ද
f90b7dadcc	සන්ස් ඔෆ් ටෙම්පරන්ස් නමින් හැඳින්වේ
f90bbf037d	එයට හේතුවන්නේ
f90c6de200	ඉරියව් හැරීම
f90c7b1a64	මම ඉහලින්ම අගය කරනවා
f90c8b85a0	එයට අදාළ බඳපටි ආදිය තද කොට
f90cf53298	අවලෝකනය කිරීම.
f90d91d2a8	පැවසූ පද්මසිරි මහතා
f90e047ddb	අවාසනාවකට ඒ විනාසය ගේන්නෙ
f90e59879f	අපි එළියට බැහැල බැලූවම කවුරුවත් නැහැ.
f90e64d501	මම ස්ටීමර් එක සෙට් කරද්දි
f90fa1c490	හරියට සංවිධානය උනොත් සැලසුම් හැදුවොත් කියල.
f91188b9fb	අවසානම අවස්‌ථාව වාර්තා කිරීමට
f913d15393	කතාව තේරුම් නොගෙන
f913f3c345	එකම ත්‍රිත්වය ඇතුළේ න් එකක් වගේම
f914033500	තමන්ගේ පල්ලිය ඉදිරියෙන් පෙරහැර නොයා යුතුයි
f914185119	සිංහල ක්‍රමයට දෙතිස් පැයක පමණ කාලයකුත්
f91461528f	දෙසැම්බර් මසකේ.ඩී.
f91562f2dd	ගෝටා වග කියන්න ඕනෙ.
f9169853a0	වන අතර මෙවන් අවස්ථාවකදී
f91700a1f8	අරක්කු බෝතලයක් බීමත් එක සමාන පව්ද?
f9176c3e98	කැමැති වූයේ නැත.
f917d7717c	මහමෙවුනා ආයතනය ව්‍යාප්ත වුණා.
f918bf333b	මෑත කාලයේදී සැලකිය යුතු අලි සංඛ්‍යාවක්
f91949e73f	එත් පරක්කු වෙලා හරි
f9199b066e	අතිශයින්ම දිළිදු ඇගේ ජීවිතය කරදරවලින් බහුලයි
f919cb245f	කරවන ලද සෑයක් නොවේ.
f919d06f2b	පුදුම කලබලයකින්නෙ දෙවැනි පොත ලිව්වෙ
f91a8d3e6c	එතකොට ඔබ ඒ තුළ
f91aa78fda	ඇත්තටම මේ ප්‍රොටැගොනිස්ට් සිටුවරයා කියන්නෙ කවුද?
f91acc137f	මෝඩ කතා ලියලා අපේ වෙලාව නාස්ති කරන්න එපා.
f91ae2d029	වසඟ කරවා හදවත පහන් කිරීමට සමත්
f91bfeb253	දක්වා තිබේ.
f91c4b2a1e	අහුබුදු ගෝලයගෙ එම ඓතිහාසික පරීක්ෂණය
f91caaa9ad	පැවති උත්සවයකදීය.
f91cbf08f3	අධ්‍යාත්මික ජීවිතය සංවර්ධනය කර ගැනීම
f91d68c0f6	ඒනං තුන්වෙනි
f91db65691	බුද්ධ ඝෝෂ හිමි විසින්
f91dffcaf0	වැඩිම මිනිස් ජීවිත ප්‍රමාණයක් විනාශ වූ අවස්ථා
f91eb30981	මේ වැඩේදි ඔයාගේ මූලිකත්වය වගේම
f91ec24725	මොකද රාම් දවසක් තමන්ගේ නාට්‍යය ඉවරවෙලා ගෙදර එනකොට
f91f0ffe99	ඒ අවශ්‍යතාව සපිරෙන්නේ නැත.
f91f32d73a	එම ලිපිය කියවී දැයි ගම්ලතුන් විමසීය.
f91f524528	එහෙමනම් අපේ සිංහල සබ් දෙන පිරිස
f91f5497d5	මෙතන කවුරු හරි ඉන්නවද
f91f6f2c30	එම බිත්තරය දිනකාලයක් කුස
f91fa4ecc3	අනතුරුව
f9201f5c5f	ඇ‍යි උඹ හිතන්නේ
f920927f38	කථාවේ හොඳම වැඩ ටික එන්නේ.
f921032b3d	හැමවිටම පිරිමි ආත්ම භාවයක් තමයි
f9212d6776	රාජ ඓශ්චර්යය ජනතාවට ප්‍රදර්ශනය කිරීමක් වැන්න.
f921302a6a	තියෙන්නේ කුදිරමලේ.
f921f30069	ඒත් පාව්ලික්
f921ff6f0d	මේ ඓතිහාසික සිද්ධිය වඩා විචිත්‍රවත් කරයි.
f9223f078c	ඔය සිද්ධිය වුණු අවස්ථාවේ මමත් එතැන හිටියා.
f922555c56	දරුවාට රිදුනත්,
f922b553e6	වහ උනත් මොකද කියල.
f922b96bbe	විචිත්‍ර බිතුසිතුවම් සහ බුද්ධ ප්‍රතිමාද
f9230cc79c	හැම අත්තක්ම අනිවාර්යයෙන්ම උඩට යන්නේ නැහැ
f924c93c51	බූරු කතා කියන්නෙ.
f924d11f3e	රාගයෙන්, ආශාවෙන් ගිනිගෙන දැවෙන සරාගී ලෝකයේ
f924e954d8	ස්වාමියා සමඟ අමනාප වූ කාන්තාවක්
f9251fc6f9	origami
f9252aaf92	මෙහිදී අප අවබෝධ කරගත යුතු වන්නේ
f925faff84	අනාගතයත් සුබවාදී වෙයි කියලා අපට හිතන්න පුළුවන්.
f92626f0f1	එය නැතිකර ගත්තේ
f9266e42b9	firefox free video
f92688a232	එක්කෙනෙක් වත්ක්‍රෝධ ගින්න මේ සිත තුළ අවුලූවා ගන්න එපා
f9268926ce	නාගරික කටකතාවක්
f927601117	බුද්ධියෙන් දෙන්නා වූ දාන ලෙස හඳුන්වා තිබේ.
f92763312f	කෙනෙකුට තවත් කෙනෙක් අයිති නැහැ
f9276cfa87	අපිට අද පුවත්පත් වගේ මාධ්‍යවලින්
f928a28746	දකුණු අප්‍රිකාව සමඟ ඊයේ පැවති
f92a485ad0	ඉතා ඉක්මනින් විවාහ වලින් වෙන් වීම සිද්ධ වෙන්නේ.
f92a59d1d7	අපහාස රන්නෙ නැහැනෙ
f92aa1f46d	භයෙන් අගතියට යැමත්
f92ad3d725	ගෙදර කෙනෙක් තරමටම
f92b07fa08	එකනේ බන්
f92b0f62ac	ගීත යනු නිරන්තරයෙන්ම එකිනෙකට වෙනස්
f92b5ab27d	එකක් තමයි ලැබෙන්නේ.
f92bfdfa3a	මේ අනුව පුද්ගලයාගේ සහ සමාජයේ
f92c2b0447	දැනගත්තොත් අපිට මීට වැඩිය හොඳ
f92c721f01	මම ඒ පක්‍ෂයට යන්නේ නෑ
f92c7706fb	ඔබ ඉන්පසුව
f92cebb838	වම් පස සන්තුසිත දිව්‍යරාජයා නිරූපණය කොට ඇත
f92d49f167	එහි මධ්‍ය ලක්ෂය
f92d6c9c93	මේ වසරේ තමන් අදහස් කළ අන්දමට
f92d99e9c4	ඔවුන් වසලයන් බවත්
f92ea61459	හැකි ඉක්මණට
f92f823227	සිංහල සමාජය තුළ දී කොටින්ට
f92fc0e121	මට හරි වැදගත්.
f92ff80321	වළක්වා ගැනීමට
f9307479e8	එම ප්‍රදේශය මැලේසියාවට මායිම්ව
f930c82ef5	බලමු මටත්
f930e5794d	ඉහිල ගිය ධනවතා
f930f16f39	මෙම නැරඹුම් මධ්‍යස්ථානයේ ඉහළට ගොඩ වූ විට අවට පරිසරය සිත් සේ නැරඹිය හැක.
f9319b3335	බුදුරජාණන් වහන්සේ අපට පෙන්වා වදාළා.
f931efee15	පළමු එකට සුභ පැතුම් ජය වේවා
f9320460a9	අපි හරවත් යමක් කියන්නේ
f9321a6b51	අපි ටිකක් ඇවිදලා බලමුකෝ
f9322658ef	මේ ස්ථානවල උප්පත්ති ලබන සත්වයින් අතරෙන්
f9322c3ac9	සංවිධානයේ තනතුරුවල
f932784ca7	ඇයට තමන්ගේ ඉඩම්
f93283da40	ඔබ මතු බුදු වන දවසේ
f932a6a5d0	ආගමික මුහුණුවරකින්ය
f932ae7b73	හමුව ඇත.
f9336949f0	කිසිදු අවශ්‍යතාවයක් නොපෙනේ.
f9337f90ee	සඳහන් වෙනවා
f93437acea	මොහු දිය යටින් ගින්දර ගෙනයන ආකාරයේ පුද්ගලයෙකි.
f93457807e	විසින් සිදු කරනු ලබයි.
f934897adc	national
f934a2eca9	අර උඩ කාටූන් එකේ වෙච්ච සිද්දිය
f934ef65e9	ආපහු පල්ලියට යමු.
f934ff4d34	මේ වගේ රටට අපහාස කරලා
f93530d05a	ඊඩිපස් සංකීර්ණයේ දෙවන අවධිය
f935e24271	වගේ මේකා
f9360aef1c	srilanka travel
f9369d2a0a	අනෙක් අතට සිංහල ජාතිය මුල
f936c90baf	කිසිම කෙනෙක් මනෝවෛද්‍ය ප්‍රතිකාර වලට
f9378dad33	ඇහැලියගොඩ ධර්මපාල විද්‍යාලයෙන් ශිෂ්‍යත්ව විභාගය සමත්ව
f937beba7e	ළමයින් ඇතුළත් කිරීමේදී
f937d5a0aa	යුධ කෝළාහලවල පැටලෙනවා.
f93860cece	එසේ ම සන්නිවේදන තාක්‍ෂණයේ ශක්‍යතාව මෙන්ම
f938c1bde6	බැලීමට පුරුදු වේ.
f938ddef53	ඒ නිවැරදි දේමයයි
f9391f5bb4	ආයෝජනය කර තිබී ඇති බවද
f9392e4f77	අපි ආයෙමත් අර රන් රූපය නංවාගෙන
f9398c9d03	අනික බොට කියන්න සබ් කරාට මොකෝ
f939a8710a	ආටෝප ලට පට අතරේ
f93a7b71b7	එහෙයින් ඒ ගැන
f93acb04cc	එබැවින් ඔබටත්
f93b16ad9f	තම දැනුම ප්‍රායෝගිකව යෙදිය යුතුවන අතර
f93b952265	මම වැඩියෙන්ම කැමති
f93b97a63d	පෙන්වීමේ හෝ ගණනය කිරීමේ අවශ්‍යතාවයක් මතුවන්නේද නැත.
f93bf8f646	නමුත්දී එක් වූ විවෘත ආර්ථික ප්‍රතිපත්තියත්
f93cddfbbb	එය පවත්වා ගැනීමට ද විශාල පරිශ්‍රමයක්
f93cf3ca14	උන්වහන්සේ ප්‍රවේශම් විය
f93d6b079e	ගන්න වැඩ ගත්තා
f93e01255d	සොරකම් කිරීමට අවශ්‍ය පුද්ගලයා එය සිදු කරනවාමයි.
f93e99b81f	මොහුව ස්ත්‍රීන් කෙරේ පොළඹවාගන්න
f93f5b2b1f	ඊට බාධාවක් වන අයෙකු හෝ දෙයක් ඇත්නම්
f93f874706	දරැවන්ගේ යහපැවැත්මටත් බලපානවා.
f93fc418c0	මහ බැංකුව මේ ගැන
f940c87ca5	හැඳින්විය හැකිය.
f9417acb44	පාලකයෙකුට තම අරමුණු ඉටුකර ගැනීම උදෙසා
f941c2e7ec	mallika damayanthi
f9422d6358	සංසාරයේ නොගිය පාරේ යන්නයි.
f9424a7b70	ගිරා දැනුම මිස ප්‍රයෝගික දැනුම බහුතරයකට නැත.
f9427a8432	කඩපු අන්ඩය උඹේ උනානම්
f942a1095e	එදින කුඩා ටකරමක් සෙවිලි කළ
f9433ad071	ඔබ කන්න තව කන්න
f943402181	භාරගන්නෙ නැහැ.
f943529443	දායක වනු පිණිස ය.
f94374add0	අධිකාරවාදී රාජ්‍ය හා රාජපක්ෂ පාලනයේ මිතුරන්
f943cd8c67	ඇතැම් මාධ්‍ය මඟින්ද ඒවාට පුළුල් අනුග්‍රහයක් ලැබෙනු පෙනේ.
f944187c64	කාවන්තිස්ස රජතුමා විසිනි.
f9447ee53b	ඔහුට සිතුනේ ඌ නම් රජනයකු නොව
f944b6ccd7	ඔවුන් ඉල්ලා සිටින්නේ
f944d42b90	ඉන්දියාවත් ඉල්ලනවා තමයි
f944d4952e	ඇතමුන් විවෘතව අග්නිදිග ආසියාතික යුද්ධය හෙලා දකින ලදී.
f945a6d904	එක්කෝ සත්‍යයි
f94655abf4	බීජ නිසරුනම්
f94676c8aa	විශ්වගේ පැවති දෙයක් බටහිර චින්තකයකු විසින් සොයාගැනීමකි
f946dc247d	ඉතින් බුදුරජාණන් වහන්සේ දේශනා කළේ මොකක්ද?
f9476931b3	singapore
f948517ec5	පැංචා හිතා ගන්නවා
f9487ba56f	ඉතින් ඒ තුවාලය වණ වෙලා
f948e20312	ඊයේ පැවැති මෙම සාකච්ඡාව
f9490d8517	තීරණය ගන්න පුලුවන්ද කියන ප්‍රශ්නය එනවා.
f94ab0414e	එතකොට බාහිර දේවල් වලට සිත යොමුවෙන්නෙ නැහැ
f94ac89908	ධාතු හෝ මංගල වස්තු
f94b3e6a2f	ඇළට මහ විශාල වානෙ බට ගෙනත් දාලා
f94b8fa5bd	මේ තත්ත්වය ඔබතුමා තේරුම් ගන්න.
f94be64d20	බොහෝ විට නොසිතූ
f94cf5d5f3	ආණ්ඩු පක්ෂයේ සහ විපක්ෂයේ ඇත්තන්ද
f94d29a286	හොරෙන් ගෙදර ගෙනිහිං තිබුණා.
f94d82b8da	වේදනාවෙන් විලාප නොදී
f94d97bbd6	ක්‍රියාමාර්ග රැසක් ගෙන තිබීම
f94da46b78	douglas adams
f94dbc9f55	ජීවිතය කියන්නෙ ඒ ඒ ඉරියව්වවලට අදාළ එකක්
f94dea6d5e	කියන්න කැමතියි
f94ec2c7b1	ව්‍යාපාරිකයෙකු ලෙස පෙනී සිටින පුද්ගලයෙකි
f94f3a168c	මීට අවුරුදු ගණනකට පෙර දිනෙක රාත්‍රියේ හිඟන්නා පාළු පාරකින් ගමන් කරමින් සිටියේ ය.
f94f56f8c3	අන්තර්ජාලය කියන්නේ
f94f739120	ස්තූතියි බලන් උන්නට
f94fa9cd65	විදුහල්පති සැරසිණි
f9500425dc	හරවත් දේශපාලනය කුමක් ද?
f95049e4fd	තාත්තා මේ ක්‍ෂේත්‍රයේ ඉන්න කෙනෙක් නිසා
f950abb951	අපි පොලිසි ගියේ
f951048998	එළකිරි වැඩක් යාලුවා
f9517276c4	තෙර නම බැහැ දකිති.
f951a3dd07	මෙහි ඇති ප්‍රතිමා සමහරක් කැඩී බිඳී ගොසිනි
f951d0e75e	දාලා තියෙන පෝස්ටරේ දැක්කහම
f9521cb208	සංග්‍රහ කරලා තියෙනවා.
f952b212a6	පින් කරන්න හොඳ නැහැ.
f95329ba78	තවමත් අවිශ්වාස තත්ත්වයක පවතින බව
f9532e091a	පෙර සදහන්
