fc003964f1	හැකිවන දවසකි.
fc013912c1	උපාසක චණ්ඩාල සූත්‍රයෙන්,
fc01dee3a7	විනාශ කරමින් සිටී
fc0219ef72	මේ මිනිස් ලෝකයේ උපදින මිනිසුන්ට
fc02360d6d	මගේ දෙවියන් වහන්සේ වුවත්,
fc02f1de2e	කොල්ලන්ට නම්
fc02fdc734	එයට අනුව රජයට තම ප්‍රමුඛතාවයන් පෙළගස්වා
fc03077f36	අපි මේ නියෝජිතයන්ට අද දැනුම් දුන්නා
fc03bb7097	ඉස්සර නිදාගන්න යනකොට හැමදාම
fc03f53e14	මුද්‍රණය වී ඇත.
fc043fb96b	සුයි කින්ග් නමැත්තෙකි.
fc054cff40	පැවති විවාදයේදීය.
fc06854c1d	මෙහිදී පිරිත් පැන් ස්වල්පයක් පානය කිරීම
fc068e2467	අනික සයිට් එකේ වැඩත් එක්ක
fc069910cb	ඒත් ඔහු
fc0708d157	ඔහු තුළ තියෙන ප්‍රඥාව නම් වූ සේඛ බලය.
fc07b0939b	එහි මූළික තේමාව
fc08223c92	ඒ අය
fc08a48790	එමෙන්ම ගැහැණිය යනු
fc08b3f19f	අළුත් චාරිකා සටහනක් ඉක්මනට
fc08c48b29	මාධ්‍යය වලට නිකුත් වේවිද?
fc08daee9c	සංගීතය බලන්න ගිහින් පොලිස් කූඩුවේ නවතී
fc08ddafc7	driver scanner 2012 serial torrent
fc08fca595	ගුරුවරු ශිෂ්‍යයින් ගොවීන් ගණකාධිකාරීන්
fc09165b2a	අනුරාධපුර ජය ශ්‍රී මහා බෝධීන් වහන්සේ යනු
fc092288f0	මේක මිනින්දෝරු දෙපාර්තුමේන්තුවේ දත්ත අනුව වෙල්ලන්කරේ විල.
fc0937466f	දෙමළ පමණක් යන සංකල්පය
fc095a0457	පරක්කු වෙනකොට ඒ ගෙදර අය බයවෙයි කියල.
fc095e5fe3	ඔහුගේ සියලූ ව්‍යර්ථයන්
fc09970364	මහාචාර්ය පට්ටම් දෙකක් තියෙන මිනිහට වඩා
fc099acfb6	එනම් රයිනෝසිරස්ගේ කකුල් සැදී ඇති ආකාරයටමය
fc0a045de0	මෛත්‍රී කරන්නේ
fc0a143793	භෞතික වශයෙන් ගත් කල,
fc0a40e06c	ඉතින් මේ වගේ සිනමා පටයක්
fc0ae447de	ඇතුළත් කර තිබෙන අතර
fc0c204038	අද වෙනතුරු අපේ ආරක්ෂක අංශ
fc0d15744a	dress
fc0d55bdb9	අපට අවශ්‍ය ඔබේ සිරුරේ කොටසක්
fc0d9ce1f9	විස්තර කරන්න තේරෙන්නෙ නැහැ.
fc0e020fdc	මගක් කර ගත හැකියි
fc0e596656	tea party ideas
fc0e677088	පිළිතුරු සැපයීමක් ලෙස
fc0e805c6c	තිබුන නිසා මම අරගෙන
fc0eaeeb63	හරකාගේ ජීවිතය සඳහා හැදෙන උගේ මාංශ පේශීන්
fc0efdf398	එහි තැන්පත් කර තිබේ.
fc0f636f2e	ඉන්න එකාට තව මොන කන්නද
fc11284e36	අපට මරණයට මුහුණ දීම
fc114e3a13	බුදුදහම තුළ පවතින ක්‍රමය වන්නේ
fc1195c449	අදායම් වාර්තා තබමින් තිරගත වුනු
fc121a537d	කෝන් තියල ඒ ඒ පන්දුව යවල
fc12242609	මදුරුවෝ නිසා නින්ද ගියේ නම් නැහැ.
fc12322a86	අප්පේ ඕන්න මං නම් මේක
fc125ee486	මෙයින් කවර භාවනා ක්‍රමයක් තෝරා ගත්තත්
fc12d6345c	එම නිසා ඔබේ කියා ඇති මෙම කාරණා
fc137e451c	එය ස්ත්‍රීන් මෙන්ම පුරුෂයන්ද තෘප්තිය
fc1399f0c2	අද මේ ගායකයාගේ නිර්මාණ අසන්නට නොලැබීම කනගාටුවක්
fc13fa08fc	මොනවා වෙයිද කියලා දෙසැම්බර් හයවෙනිදායින් පස්සේ
fc149363e5	මෙම දේවල් නුවනින් දැක තිබෙනවා
fc14d9ae15	ඒත් කණගාටුවට කාරණාව
fc14e26e60	දරු දැරියන්ට අඛණ්ඩව ලබාදීමට කටයුතු කළ යුතු වෙනවා.
fc152ab3a6	මේ කෑම උවදුර නිසා
fc15553e2d	මුලින් එහෙම ඒවා සිංහලට හැරෙව්වේ දෙතුන් දෙනෙක්.
fc15999aa3	ඒ හා බෙහෙවින් කතාබහට ලක්ව තිබෙන
fc160610d6	රැගෙන යනු ලබන්නකි.
