4500288af2	cool stuff express
450091325c	අන් ශාස්තෘවරුන් තුළ නොවූ
45010cd6a9	පිළිතුරු දෙමින්
45014665cd	නමුත් ගායකයෙක් ලෙස
4501e61815	ඔබ පසුගියදාක ප්‍රකාශ කළා
450217e363	බෞද්ධ ආගමික සංකල්පවල
450220c0e8	නමුත් මේ බෙහෙතක් වැරදුනොත්
450226e00f	ජලය පෙරා ගැනීම සඳහා
4502c1eeef	මෙයද මේ කෘතියෙහි වටිනාකම වැඩිකරන කාරණයකි.
4502f9ed90	එහිදී රණවීර මහතා
4503128cfc	සැලසුමක් නැතිව බඳවා ගත්තවුන්
45031bd0dc	ඒක නිසා මම හිතුවා
450371fba8	පසුකාලීනව එකතු කරන ලද්දකි.
450396fa36	නූතනවාදය හා පශ්චාත් නූතනවාදය කියැවීමට අවශ්‍ය කරන
45039f731c	එමෙන්ම එම දේශනාවේදීම
4503aa3418	මගේම පුතා වෙන්න ඕන.
4503d11f7d	සිනා පොදකුදු නොමැතිවය.
450492122f	අන්න ඒ ටික දෙනා අතරට
4504acb323	අප්‍රමාණ වූ අධිබලැති ගුවන්විදුලි
450586e31d	චිත්‍රපටිය බලලා ඔයාලම හොයාගන්න
4505f795a1	පැවැත්මක් තියේවි.
45069fd10e	එහි සඳහන්.
4506a429cb	මෙම කියන නිවස ඇතුළත
4506e53092	හොදට බැලුවොත්.
4507007507	ගහේ අතුවල
450787d1d1	විශේෂයෙන් සිංහල අලුත් අවුරුද්ද
4507b7a788	පෙරපරිදිම කලුගලින් නිර්මාණය කිරීමටය.
45084732e9	දින ගණනාවක් යාම
4508a8cbee	දුම් නැති ගිනි දළු නැති
45092a85bc	මුලින්ම ඇතිකරගන්න ඕනෙ ශ්‍රද්ධාව
45093469a0	ස්වර්ණමය යුගය බවට පත් වුනා
450936e2ca	මේවා ද මල විකාර වෙයි
4509bdaae0	ඒවා බොන්නේ බේබද්දෝ වෙන්නම ඕනේ කියලයි
4509eacab1	එය අවම කරන්න
450a656926	විවාහය පිළිබඳව අභ්‍යන්තර සබඳතා මනාව හෙළිකරයි.
450a70bec1	උස්මහත් කර සරසවියට එවූ
450ad4b328	ඉන් බියට පත් ගෝල්ඩන් කී තැන්පතුකරුවන්
450b802e8c	අලුත් වේදනාවක් ඇති නොවීම පිණිස
