060084ec4f	ඇති වරද මොකක්ද?
06011de58a	එහෙත් එක් විශේෂ රචනාවක්
0602375286	ඒකෙ සැගවුණු අදුරු රහස් කොයිවගේද?
0603623ee5	ඉරි ටික පේන්නෙ නැතිව
0603a88f32	ප්‍රායෝගිකව ප්‍රයෝජනයක් නැහැ
0604195a33	එසේ අපේක්‍ෂා , රහිතව රැස්වන කුසල්
06044996d9	කියන පුද්ගලයා හා සාකච්ඡා කර
0604759fe0	අවජාතකයිනි ඔබ මරා දැමිය යුත්තේ
0604969acf	දේශනයෙන්ද ප්‍රතිපත්තියම ශ්‍රේෂ්ඨ බව වදාළහ.
0604c9b6c1	හරියට පතුල් සටහනක්
0605eb9d3b	ඔබේ හදවත තුළ තිසරණය නොපිහිටයි.
06068e5595	හරියටම කියන්න බෑ
0606d79412	එකල්හී භාග්‍යවතුන් වහන්සේ ආයුෂ්මත් ආනන්දයන් ඇමතූ සේක
0607a3be0f	ඉදිරි වසර දෙක තුළ
0607b2a6df	online shopping sites in india
0607e85aaf	එමගින් වැඩි වාසි දායක තත්වයක් ද ලබයි.
0608e9739b	බේස් බෝල් සෙල්ලම් කරන කණ්ඩායමක දරුවන්ද
06092d9ff1	සඳහන් කළ යුතුය.
060966b7f9	බුද්ධ ශාසන හා ආගමික කටයුතු අමාත්‍යාංශයේ දී
06097d3a22	හැමෝටම ජය.
0609cec917	නීතිවේදීහු පවසති.
0609d61ef0	ඒක ඔහුගේ රූපයත් එක්කම
060a08c8ad	සිද්ධිය කියා තිබෙනවා.
060a48742f	සැකක් නැති බිසෝ තෙම
060b106faa	එකනේ අර පිල්ලද පිලිද මොකක්ද
060b12ba94	දර මිටිය බඳින වැල් පොට වුණු
060b646d52	හිතේ මේ දුක හේතු කරගෙන
060be1c0d6	ඒ සඳහා සුදුසු තැනක
060c0e847b	කැපවූ සේවයක් සඳහාය
060c6707fd	ප්‍රමාද වෙලා තමයි
060d2a2221	විනාශ කර ගනිමින්
060da2b11a	ඔවුන්ට එම ආසනවල හිඳගැනීමට
060e0c693e	ලී ගනු ලබන්නේ
