98005c5fc7	හොඳ ජොබ් එකක්.
98006e6de5	ඒත් මා මුවින්
98006f1ffc	ඉගෙන ගත යුතු බොහෝ දේ තිබෙනවා
9800b5fa63	එයාව දැක්කේ?
980196a6eb	එයටත් වඩා දේශීය විද්‍යාවක්
980324fff8	nazi
98032a771f	ඕනෑවටත් වඩා තිබෙනවා
98037cfae3	එයට පෙරාතුව
9803be9277	නමුත් ඔක්කොටම කලින්
9803eb9853	ඒකට කෝටියක් වියදම් වුණා.
980492a744	අඩුවෙන තත්ත්වයක් පේන්ඩ නෑ
9805b78136	ඔන්න බලන්න තිබ්බා
9805f97604	එසේ වෙන්නේ ඔහු දක්ෂතා නිසා
98061df4a4	කොහොමද කියල
98063ea8ae	අද එතැන් සිට කතාව
98064732fa	නමුත් එහෙම උනොත්
98067322fb	එම්බා පාලිතයෙනි
9808217fa5	electrical estimate
9808218bd2	පිහිටවනු ලැබේ.
9808e3c6f3	පොලිසිය විසින් පෙන්වන ලදී
98093cdeb6	ප්‍රධානතම පිවිසුම් මංකඩක් වශයෙන් ද ප්‍රසිද්ධ ය
9809aeb820	නෝර්වේ සංචාරයකට ඔබලාට ආරාධනා කිරීමට
9809bc3088	මුස්ලීම් දෙමළ සහ සිංහල ජනතාවට සහෝදරත්වයෙන් යුතුව
980ac3a30a	රුපියලට සාපේක්ෂව යළිත් ඒකම කරන්න
980b051a62	කිසිදෙයක් කරකියා ගත නොහැකිව
980b0fc4cf	අයත් නොවන බවයි
980b631f33	ලංකාවේ සිදුවන මරාදැමීම් වලට එරෙහිව
980bd98dd1	ඉන්දියාවෙන් කාර් ගෙන්වනකොට
980c44b8f2	මේ නිසා ඉන්දියාවේ බොහෝ
980c598877	ඒත් මේ ඔක්කොම
980c6f3c25	අයිතිවාසිකම් භුක්ති විඳිය හැකි මට්ටමේ
980ce7ccd6	ඊට පස්සේ එතැනට භාවනා කිරීමට යෑම
980d604d4c	වඩා හානිදායක වූ අවස්ථා හා හානිදායක නොවූ අවස්ථාද
980e507e86	බුදුන් වහන්සේ ජීවමාන කාලයේදී
980e65964c	ඉහල සමාජයේ උන්න කාළකන්නියා
980e88d377	අද සමාජ ක්‍රමය ටිකක් වෙනස් වෙලා තියෙන නිසා
980fa7a0b0	එනිසාම භික්ෂු විනය පිරිහී
9810d45f2a	කටයුතු කළ ටෝනි
9810d93104	පුරුෂයා
981123bbd0	අම්මා තාත්තව හොඳට බලාගෙන
98118c1a9d	ආදිවාසී ජන කෞතුකාගාරය පිහිටුවීමේ අදහස ඉදිරිපත් කරන ලද්දේ
98120b211e	මේ දිනවල ලැබෙන ප්‍රතිචාර කොහොමද කියමු?
981277110c	නිතර අන්තර්ජාලය බාවිතා කරන්න අපහසුයි.
9812781b4c	මියගිය තැනැත්තාගේ නිවස අසල
981311f7f8	එවැනි පාඩමක් ඉගෙන ගැනීමට අවස්ථාවක් නොලැබෙන්නේ
981406d194	අලූත් පසේ බුදුවරුන්ගෙන් විමසන්නේ.
981414eb75	එයා කෝච්චියට නැග්ගෙ
98147ad2d8	හිතා ගෙන කෙනෙක් ‍තෝරා ගන්නවා.
9814c00d29	උයන්නේ කිහිප වරක් මිරිකා
98150049af	රහත් වූයේ සැප ඇත්තේ වේ.
981505dd93	sujatha diyanee
98150d47bb	එතකොට මිනිහා ආයමත්
98158a28cc	කැමැති අඳුමක් ඇඳගෙන යන්න පුළුවන්.
98160033e9	එහෙම නැත්නම් මැල්බොන් යන්න බැරි දුකට කියන කතාද?
981627ca2a	මුනේ දෙබරු ඉන්නවා.
9816bb1e59	ගී්‍රකයන් අතර පැවැතියේ
981719c0ec	මට බැණ වැදීමට පටන් ගත්තේය.
9817d3e5e6	ඒත් ඒ සේරම වාද විවාද හා
9817de33e3	ඒත් අපේ ගෙදර
981941a1f3	හාමුදුරුවෝ කියන්න
98196e46d7	විස්ලර්ට මැරෙන්න සිද්ද වෙයි කියල
9819f33d65	මේ සම්බන්ධ විග්‍රහයෙන් දක්වන්නේ
981a00b593	එදා අහිංසක බුද්ධිමත් උගතෙක් වුවත්
981a688ea4	දන් දීම කොහෙත්ම සිදු කළ නොහැක.
981a6a48c4	මුලින් මංගල මහා චෛත්‍ය යැයි නම් කර ඇත
981a6aec8c	dogs and babies
981a93e03b	අවසානයට මගේ දුරකතනයට තමයි
981adeffee	එහෙම වුණාම
981bc7ad2e	අන්න හරි ලොකු අයියේ.
981caff191	විහාර කර්මාන්තයෙහි නියැලුණු සිත්තරෙකු විය.
981db6f00e	එහෙත් එවැනි ළමුන්ට
981de84bf2	රූප සැකසී ඇත්තේ මොනවායින් ද යන්න වටහාගත යුතු ය.
981e42f1b1	ඔය වගේ වැඩක් මටත් උනා
981e5299b3	අති විශිෂ්ඨ නිසා.
981f21d31b	මා යටතේ පුහුණුව ලබන අය
981f6476cd	ඉතුරු ටික දාපියෝ
981ff8a80d	පරමාර්ථයක් සපුරා ගන්නට වූ උවමනාවකි.
982066812f	රුවන්වැලි මහා සෑය පිළිබඳව විස්තර
9821449ff1	ඒත් මගෙ දැනුමෙන් සොරා ගත්
98220bfbbb	පෙළ දහමෙහි සඳහන්ව ඇත.
9822d7a3bc	උපරිමයට ගෙන ගියේ අභීත.
98231266f2	පෙරහර කරඬුව වැඩමවාගෙන
98231e3be5	එය මැනවින් ප්‍රකට වනු නියතය.
9823c0a7af	ඇති වැඩකුත් නැහැ
9823deb045	සවන් දෙන්නේ
9823f07805	පදිංචිව සිට ඇත්තේ බදුවත්ත ප්‍රදේශයේය.
9823f2fbfd	චෞර උපායකින් පෙනී සිටියි.
9823f4457c	පුබුදු සුපුන් සහෝදරයා ඊලඟ කොටසෙ ඉදන්
