ab0035e9c5	මේඝදූත පුරාණයට අනුව
ab009bd717	ඉදිරි පරීක්ෂණ හමුවේ
ab01628f57	එයින් අපට තේරෙන්නේ
ab018dc264	මොකද මේ රටේ එවැනි මිලේච්ඡ දඬුවම් දෙන්නෙ නැ.
ab01e19ea0	ප්‍රසිද්ධියට පත් වූවාය.
ab01f6eea4	කවුරුවත් හොයා ගන්න
ab01f85f0e	උත්සාහ ගත යුතුය.
ab02f223cc	හේතු නැතිවීමෙන් නැතිවෙලා යන
ab032adbf0	ග්‍රැන්විල් ධර්මවර්ධන කියන්නේ
ab03a0dadc	ඔහු තම හෘද සාක්ෂියට අවසඟව නොගියේය
ab03a0f12c	මෙතැනදී අපි ස්පර්ශය පාවිච්චි කරන්නේ අවබෝධයක් පිණිසයි.
ab051ba6cf	අතපහු වෙන දෙයක් තමා
ab057871b7	ඔය වාගේ අමනුස්ස ගුණාංග වලින්
ab057b4372	සිතුවත් එය එසේ නොවීය
ab05a703b1	මා ඊට සූදානම්
ab05b5bd6a	අනෙක දූ දරුවො නෑදෑයෝ
ab05c25cfb	දික් උන කියන්නේ එක සැරයක්.
ab0615c32a	වෙන මොනවද කියන්න ඕනේ
ab0630e35b	බිරිඳක් ස්වාමිපුරුෂයාට
ab0665f593	මේ නුවණැති යොවුන් තවුසන් හට අවබෝධ වුනා
ab06a2ccf5	ඒක අහන අය ඉන්නවා
ab07df4908	එයට හේතුව පාන් සෑදීමේ තාක්ෂණය
ab08446e90	පහන දල්වන්නේ
ab08c816f8	එදා සිට මේ දක්වා
ab090ded5f	පුද්ගලයා උත්සාහවන්ත වන්නේ නම්
ab091ebceb	මම සිතමි
ab098eeaa1	මේ නිසා වස් සමාදන්වීමේ පෝය
ab0a254f38	නමුත් අපිත් එයාලට
ab0a2c2e2a	ඒ අයගේ ජීවිතයට වධදෙන ප්‍රශ්න
ab0a76d62b	බුද්ධ දේශනාවල දහම් කරුණු
ab0b02a13f	පස්සේ එළියට ගියේත් නැහැනේ.
ab0b38b6e1	වැදගත් වන්නට ඇති
ab0b6384a9	එබැවින් ඒ පිළිබඳ ව කතා කිරීම
ab0c9c5cfc	දූ ඩිංගට මේක උගන්නලද
ab0d7273ee	ගෞතම බුදුරජාණන් වහන්සේ වදාළ ශ්‍රී සද්ධර්මය
ab0db5c292	ෆ්‍රී වුනා.
ab0e1bb326	එම කටයුතු සිදු වී
ab0e75d3f9	දානය ඇතුළත් වී ඇත.
ab0eef7884	ස්වකීය අනුගාමික භික්‍ෂු පිරිස හමුවේ
ab0f04a8b6	පී්‍රතිය මගින්
ab0f5cd534	හෂිත ටිකක් කලින් පන්සලට ගිහින්
ab0f79778e	සයුරි ට ගියාම
ab1059bb65	විද්‍යාත්මක ක්‍රමය
ab1068b02b	සමහරවිට ඕකෙ ඇඩ්මින් සමලින්ගිකයෙක් වෙන්න ඇති.
ab111851e1	දරුවන්ට ලියල තියෙන දේපළ
ab116bd819	ගොඩක් වැදගත් අපි නොදන්නා ගොඩක් දේවල්
ab116e29e6	ගොඩනැගිල්ලේ සුන්බුන් අතර කෙරෙන සෝදිසි කිරීම්
ab11735906	මගේ සංකල්පය
ab11919971	අනතුරුව ගොයමත් සමගම
ab11a232da	හැබැයි ඔය කියන විදියේ වෛරයක්
ab11a69f92	සිය ගනන් අතර
ab1228d38a	කුරුකුලසිංහම් සිතුවේ නැත.
ab123f1d60	මෙසේ පෙන්වා දෙන සේක
ab12cdda95	තම කුසලතා පිරිහී යනවා.
ab12d211d8	selena gomez dress
ab12d2b115	මොකද අපේ අල්ලපු ගෙදර අයට
ab131e19a1	එබැවින් එවැනි චරිත
ab134be3ac	රාත්‍රියේ ද විවෘතව ඇත.
ab13834936	හැමෝම හිතුවේ
ab144bf9d8	ප්‍රධාන වශයෙන්ම
ab159528b7	පූජා පැවැත්වූවාහු ය
ab16860fc2	දෙව් මිනිසුන්ගේ හිත වැඩ පිණිස ද
ab16bc6536	කලිසම් කමිස ඇඳලා ඉන්න එකා
ab17484556	ඔබ කොහෙන්ද
ab175408d0	ඔය දෙකේම
ab17e0c3a8	ධර්මය පෙන්වා දෙයි.
ab1839cb2b	ගල්ගුහාවට බසින්න පැවතියේ
ab18850f02	අවදානම් විය හැකි බවයි
ab18ce5215	පළඟක් බැඳගෙන වාඩිවුණාට පස්සේ
ab192701e7	කෝට්ටේ රජ මහා විහාරය
ab1931b404	සිත පහදවා ගන්නට ලැබීම වාසනාවක්.
ab194648b5	සැබෑ සැහිත්‍ය ප්‍රගමනයක් කළ හැක්කේද
ab19a6a768	අනිත් වෙලාවට වතුර බොන ආකාරයට
ab19f84d4b	වයස ඇඟට ගන්න ගිහින් අමාරුවෙ වැටෙනවා.
ab1a481d81	ඊට ඇතුළත් වන අතර,
ab1b297205	දැන් තව දුරටත් ඒ කිසිවක් ගැන
ab1b7c94c2	අනෙක් කවියෙකුට මම සවන් දී නැත්තෙමි.
ab1c32b082	අහිංසක කම රැක ගන්න කියලා
ab1c5d3903	එබැවින් ජයමංගල ගාථා පිළිබඳව
ab1d5bbfd8	එන්න වෙන්නේ නැහැ.
ab1d800c50	ලංකාවේ බහුතරයක් දන්නවා.
ab1d87e6bd	ඉදල්ගස්හින්න දුම්රිය ස්ථානය අතර
ab1e4cbcd1	අපි මේ ජීවිතය අවබෝධ කරගන්න
ab1e83cd62	එත් මීට අවුරුදු කට කට විතර පෙර
ab1ee31423	හැබැයි හොඳ වෙලාවට
ab1f65aa76	දෙවනුව පාරිසරික විනාශය මගින්
ab2004c594	යනවා තව අවුරුදු කීපයකින්.
ab204e7d50	මේ හේතුව නිසා
ab20beb8fe	එකපාරටම හරකගේ බෙල්ලටම පැනලා තියෙනවා මරාගන්න.
ab213e490c	හේතු ගණනාවක් පැවතිය හැකිය.
ab223aa543	පසු විපරම් කිරීම මැනවි.
ab2388a65a	ඒකනේ කතන්දර ලියන්න පටන් ගත්තේ
ab238a981a	දැනුම ලබාදීම සඳහා
ab238fc1fb	යෑමට අද සිදු වී ඇත.
ab23fc2250	සිංදුවක් ගැන මොනව හරි ලියන්න
ab243d9e0d	ඇත්තෙන්ම පසේබුදුවරු කියා කොටසක් මිනිස් ලොව වැඩසිටිය බවට
ab24ed4945	ලිඳට වැටුන මේ අතරෙ.
ab25b76e2b	නිවැරදි ලක්ෂණය හඳුනා නොගෙන ජීවත්වන්නෙමු.
ab25e88a64	මන්නාරම් බොක්කේ තෙල් සංචිතයෙහි ප්‍රමාණය පිළිබඳව
ab26f5496f	මියගිය බවයි
ab2763c839	අනේ සුගත්
ab27b25be8	එළ! එළ! දිගටම සබ් දෙන්න ඕනේ
ab284b9ac0	එයට එක හේතුවක් වුයේ
ab284cba47	ඔබලාගෙයි මුස්ලිම් වරුන්ගෙයි
ab2896ce53	doll birthday cakes
ab294a479b	මල්ල රජදරුවන් විසින්
ab29cb0425	hiru tv live
ab29e9fde3	මේෂ අමතර ආදායම් මාර්ග යෙදෙන අද දින
ab2a0feebd	එතනදි අවශ්‍ය දෙය වෙන්නේ
ab2a3c7cb0	තවත් සත්තු මේ නිරයේ ඉන්නවා කියලා.
ab2a46b6a7	එයාලා මට කීවා
ab2aeb395e	ඉඳලා වත්තේ බඩු හොරකම් කරනවා කියලා.
ab2b436dc6	මනසක් තිබිල
ab2c58cf39	තවත් මෙවන් නිර්මාණ
ab2cb997db	එම චෝදනා පිළිබඳව විමසීම පිණිස
ab2d1b874d	උපරිම දඩුවම් දිය යුතු අතර
ab2d5ee3cc	තුන් මසකට පෙර
ab2d6cbb79	එහෙත් ඔබතුමන්ලා යොදන්න
ab2dcd7c8c	සැබවින්ම අගය කල යුතුයි.
ab2df38eaa	එම පැනයට පිළිතුර
ab2eb78138	අම්පාර දැයට කිරුළින්
ab2efffe09	උගතුන් අතර වාද විවාද
