de000f37f0	ඒ හැම එකකටම වඩා
de0038b66e	වන සෙනසුනේ ඉඳීමට මං මනාපයි.
de0058ea21	එයා ඒ පාරේ ගිහිල්ලා
de008479ae	එම කථාව අනුව
de00a515fa	අපිට යමක් ලැබිල තියෙනව
de010db3a9	උපසිරැසි ගොණුව නියමිත පරිදි පිහිටුවා ගැනීම
de01768db3	ලෝක විනාශයෙන් බේරෙන්න කතරගමට එති
de01db69e0	දිවා කාලය විවේක සුවයෙන් ගත කළ ස්ථානය නිසා
de025adf0b	එය මහා සන්නිවේදන උපක්‍රමයක් ලෙසද ප්‍රයෝජනවත් වේ.
de03261261	ෆේස් බුක් ට්විටර් වැනි මාධ්‍ය වල ඇති විශාල බලය පිළිබඳවයි
de03c1a5b2	තමන්ටත් අනුන්ටත් දුක ලබාදෙන ක්‍රියාවකි.
de03e25c32	කාටූන් චිත්‍රපටියක් තමයි මේක
de03f6d525	ණයගන්නේ හුඟක් කාල ටිකක් සංවර්ධනය කරන්න.
de045625ef	හිතේ ගැඹුරටම වැදුණොත්
de04dd28b8	අප නිගමනය කළ යුත්තේ
de0519b2c2	මෙම චිත්‍රපටිය සමත් වෙලා තියෙනවා.
de051c00fb	රජරට වකුගඩු රෝගය
de05311868	පත්තර වල තිබුණා.
de05a32a45	එම පරම්පරාවේ සිට ෂරියා නීතියට
de05d72b43	සිංහල යෙදූ අයට අයිති නෑ කියල.
de05f62b32	බාහිරින් දකින දේ බලලා කිසිවක් තීරණය කරන්න එපා.
de0745f8e9	කරපු පව් කැපෙන්නැ‍.
de08600b58	පැය ක කාලයක් රඳවා තබා ගැනීමේ නියෝග මත
de088575be	සෑම කියන්නෙ තායි කට්ටියගෙ
de08bec657	එහෙත් මේ රට
de08d6bd86	ඇය මගේත් හිත් ගත්ත ගායිකාවක්
de09473db3	නරසිහ ගාථා සංගීතය සමඟ
de09adb331	namitha
de0a113fed	ඒ වෙත යොමු කරවීම හැකි ඉක්මනින්
de0a142e15	පෙර හැකියාව ගැන හිතන්න ඕනේ
de0a4646fd	හොරකං කරන එක
de0a7a7621	දෙස් විදෙස් සංචාරකයන්ට මහත් අඩුවකි.
de0ac2a497	මහාකාය ශක්තිය එහි ප්‍රතිඵලයකි.
de0b3ed7f7	බුද්ධ ප්‍රතිමාව නිර්මාණය කිරීම
de0b65b71b	වෙළෙඳ ව්‍යාපාරිකයන්ට වාසි
de0ba6acb7	sinhala love photo
de0bd83a8a	පුද්ගලික වශයෙන් පුද්ගලයා සංවර්ධනයට පැමිණේ.
de0bfbe6ed	යුද්ධයෙන් පසු රට හදල තියෙනවා.
de0c44d39d	අර වඳුරා මරා උගේ මස් කෑමටයි.
de0c468ee8	එයින් තිදෙනකු ඔවුන්ට එරෙහි චෝදනාවලින්
de0d76f321	ලොකු ගැස්සීමක් හට ගැනීමට ඉඩ තිබිණි.
de0dad0510	එක එකාට ඇඟිල්ල දික් කර කර ඉන්න
de0dbd697c	මහා සෑය නම් විය.
de0f3dd3f6	license keys for limbo
de0f502096	රජයට ශක්තිය දෙමින් සිටිනවා.
de0fca8175	බලන්නද බං යන්නෙ?
de10e2c547	මිනිහෙක් ඔය තනතුරට පත්කලේ කව්ද?
de11042251	බටහිර ගීත නේද?
de113b528d	එහි ඉදිරි ආරක්ෂක වළල්ලේ ඉන්නකොට
de1140cfd9	අරුන් හිතන්නෙ
de1208cfdf	රිටිගල කඳුවැටියේ තිබෙනවා
de12a15825	විටෙක අපට සාර්ථක විය නොහැකිය.
de1403ee42	මට කතා කරන්න දෙයක් තිබුණෙ නෑ.
de15610c1c	උගේ සම්මුතියේ සිටිමින් පමණි
de16a5862b	මෙහි භාව යනුවෙන් හැඳින්වෙන්නේ
de16b59b93	අපිත් එක්ක එකතු වෙලා ඉන්න
de16c5109f	එතකොට අපි යන්නේ
