7d007d8e23	ඇති අපි බහිමු කතාවට.
7d007e3f99	ඒ සාරාංශය එක්ක
7d009d25a2	කේක් විතරද ගෙනාවේ?
7d00f20fb7	ශ්‍රී ලංකාවේ ඉතාමත්ම කලාත්මක මුරගල ලෙස දැක්විය හැක්කේ
7d016716c4	ජනතාවට විදුලිය පැත්තෙන් ක්ෂණිකව සහන දෙන්න
7d019a68a9	අපි වෙන කරන්නේ කුමක්ද?
7d01a1d05e	කමෙන්ට් ගොඩක් හිතට වැදුනා.
7d01dc2433	කොහාටද යන්නේ කියලා.
7d02082865	එමෙන්ම බොහෝ පුද්ගලයෝ
7d02574d94	මෙන්න මේ විදියට වික්ටෝරියානු සංස්කෘතිකාංග අපේ සමාජයේ මුල්බැස ගත්තා.
7d0271a527	එවිට බුදුරජාණන් වහන්සේ විසින්
7d027bbe2d	මේවා ගැන හැඟීමක් අපට නොවිය.
7d0306ac66	මල් පෙරහර යනු
7d03d43f8d	මෙය ද බුදුරජාණන් වහන්සේ කෙරෙහි
7d04a820d4	ධනය මුල් තැන්හිලා සැලකීම
7d04af4faa	එන එන මහේශාක්‍යය දෙවිවරුන්ට
7d04c37d17	අහන්න එපා ! අහන්න එපා
7d04e2a848	ඒක ලොකු අඩුවක්නේ.
7d05be8ede	පැරණි මාධ්‍යයක ඔස්සේම
7d0628f5ee	ඒක වෙලා තියෙන්නෙ මෙහෙමයි.
7d063f1ee8	කුඩා ප්‍රමාණයේ දාගැබ් ද ඒ අතර වේ.
7d067deae5	එබැවින් විදේශ ණය මෙන්ම
7d0682aace	බිතුසිතුවම් ඇඳීම සඳහා
7d06ee2da4	ඊට අමතරව වතාවක්
7d06fb004d	බුද්ධි ගෝචර ක්‍රියාවක් වෙන්නේ නැහැ.
7d077fab92	තිබීම කණගාටුවට කරුණකි.
7d07880a25	අනාඝාතාත්මක ගී වශයෙනි.
7d07fa7f55	ඔහු තීරණය කරනවා
7d0833e8fc	ඉක්මනින්ම පහදා ගන්නට තරම් වාසනාවන්ත වුනි.
7d084f45a4	මෙයින් පැහැදිලි වේ.
7d0892bca6	එම ස්ථානයට යවන ලද අතර
7d08a5de73	උන්වහන්සේගේ පිරිසිදු දහම තුළ තිබෙන්නේ
7d08acd0cf	ඉතා ගුණවත් ආදර්ශවත් මහ තෙර නමක්.
7d08c8b07f	සිංහල උපසිරැසිය වෙනුවෙන්.
7d09171eb5	මහත්තයෝ කිසි දෙයකට බයවෙන්න එපා.
7d091e5108	කලක් ගත වූ පසුවය.
7d0a73413b	නීතිමය පිළිගැනීමක් තියෙනවා.
7d0a890645	බලපෑම් කරන්නට අවශ්‍ය නොවන බව
7d0af54ea8	හරබර ලිපියක් පුංචි කවි පන්තියක්
7d0b1a7ea2	එය ඒ කාව්‍යයෙහි
7d0b2e60a9	තිරිසනෙක් වෙලා විඳවන්න තියෙන පව
7d0b8355e9	ඉඩ ප්‍රස්ථා සැලසේ.
7d0b9e2191	මං හිතන්නේ මං ඒ ෆිල්ම් එක බැලුවා!
7d0bb6a7eb	මට දුන්නේ ලක්‍ෂ පහළොවක්‌ අඩුවෙන්
7d0c807e53	මේකොක තිබුනත්
7d0cd3181e	ඒවාට බලපෑ
7d0cea5c33	පෙන්නන්න බර අඩු කරපු පුංචි වීඩියෝ එකක්.
7d0d0394b2	infolanka news
7d0daf731c	අද හිතෙන්නෙ තවත් දේ කරන්න තිබුණානෙ කියලයි
7d0dc42277	කසුප් බුදුන් වැඩසිටි කල
7d0dcabc03	දීර්ඝ කාලින ගිවිසුම් වලට එළඹීමත්
7d0e060638	එය මුලින්ම පිළිවෙලට තබාගන්නට කටයුතු කර
7d0e0d65f6	හැබැයි ඉතින් අන්තර්ජාලයෙත් තියනවා නේද
7d0e25ad9a	අපේ බුද්ධි අංශයට ටිකක් මහන්සිවෙන්න වුනා
7d0eea0941	ඕනෑම උසස් තනතුරකට අවශ්‍යතා සපුරා ගත් කාන්තාවකට
7d0f3b52bd	එම වාර්තා පදනම් කරගෙන
7d0f485f96	කලා කෙත වූයේ පන්සලයි
7d0fada840	එවිට සාමණේරයෝ මහා සංඝයා
7d0fff60b9	ඇති විදුලි සංඥා පුවරු ගණන
7d107fe727	ඔය විදහට හඳ රාහු ගිල්ලේ
7d10819624	සැරියුත් මහ රහතන් වහන්සේ පසු පසින් ගමන් කළා.
7d10939a30	උන් මගේ ලිපියක් පළ වුණාම කියවනව
7d10ad906e	දුෂ්කර කටයුත්තක් නොවේ.
7d10f5f148	නමුත් මෙම සැලසුම අතරමගදී
7d1142c76d	ශිෂ්‍යත්ව විභාගය හින්දා.
7d1210c4a4	එයාලාගෙ මාකට් සෙක්ටර්
7d12799ced	එය ස්ත්‍රීන් මෙන්ම පුරුෂයන්ද තෘප්තිය
7d138ec2bf	ලෙසයි අප සලකන්නේ.
7d1448ba9d	මෙය දුටු ජන කවියා
7d14528c3d	ඊළගට කොටස මම අරන් එන්නම් පුළුවන් ඉක්මනින්
7d14665973	ශාවක ශ්‍රාවිකා දෙපිරිසටම අවැඩ කළ බව
7d14c2900e	නෑදැයින් අකමැති වුණා.
7d14c96339	අන්තිමට කොටි සංවිධානය
7d14cd7b06	ඒකගෙ ළමයිත් බැඳල
7d15eaf402	නමුත් එයට ගෙවන වන්දිය
