04009d2312	සම්පූර්ණයෙන් ඉවර වෙනවා
04009ec6ea	මේවායේ අභ්‍යන්තර වෙනස්කම් රහිතව
0400a5e5af	ඉරිදා ටියුෂන් තහනම් කරන්න ගත්ත තීරණයයි.
0401d573bd	ලෙඩ ගැනත් කියලා
0402090b9b	එතකොට නවීන විද්‍යාවේ මහිමය උබට අත්දැකීමෙන්ම තේරෙයි
0402e097dd	එතනින් පාස් වුණාට පස්සේ පළාතෙ සංඝයා පාරට බහිනවා
040313df04	අනේ මේ ගොඩයාගෙන් ඔබට තිබෙන කරදරේ!
04037a3b43	මෙකල සිරිලක පාලකයා විය.
040417cf8c	ස්කන්ධයන් පහළ කරදෙයි.
04046238fa	මෝස්තරයන්ගෙන් අලංකාර කර තිබිණි.
0404fe3186	කතු හිමියන් නිකුත් කළ පණිවුඩයේ මෙසේ දැක්වේ.
040531e17e	කාවන්තිස්ස රජතුමාගේ දියණියන් දෙදෙනෙක්
040584bfb8	ගමන් කරන්න.
0405ace66a	ආසියාවෙ අශ්චර්ය වෙන්න
0406ab8ff6	ඉස්සෙල්ලාම ඒකට සමාව ඉල්ලනවා
040785f76e	අපි මේ වැඩේ කරන්නේ
04079dd9e5	පෙරහැර හොඳින් පවත්වා ගන්නට
0407e15b9e	ඉතිං ඒ මනුස්සය ඉංග්‍රීසියෙන් පුරවගන්න
04084a4b01	අර සෙරෙප්පු නම් වැඩි සනීපයක්
040853cb71	මෙන්න මෙහෙම ඒවත් අහපල්ලා කියලා
040953525d	සිදු වී ඇති හානිය පිළිබඳව
0409c5aad1	මෙතන ප්‍රායෝගික හේතුවක් තියනවා කියලා මට හිතෙන්නේ.
040a63298a	මගේ බිරිඳ ද පුතා ද
040aa14219	දියත් කරලා තියෙන්නේ.
040abba4c3	මිහිඳු මහ රහතන් වහන්සේ
040b320b49	එම තත්ත්වයට පත්වීමට හේතු ගණනාවක් බලපා තිබේ
040c2619f4	ආශ්‍රයට සුදුසු අය නොවේ
040c33e9ac	ඇතැමෙක් අනුමාන කරති.
040c728321	දඩුවම් ලැබියහැකි වරදකි.
040c7a7f78	එයාට කවදා හරි තේරුනොත්
040cc2caf8	ඇත්තටම ඇය ඒ වරද කලත් කෙලෙසකද එය ඔප්පු කරන්නේ.
040cd1fc47	අපි නරකයි
040d130d26	මෙම බෙදීම එම කාල පරිච්ඡේද වඩාත් කළඑළි කළ
040d5b7e2c	එය හොදටම තේරුම් ගන්න ඕනෙනම්
040ecedf87	ඒත් මම කැමතියි
040f4ef49f	රට වටේ යන්න සිදුවුණා.
0410286ab6	මොකද හෙට වෙනකල් හිටියොත්
0410398ebe	එයට හේතු ගම් දියුණුවෙලා
0410441f05	ඒක අවබෝධ වෙන්නේ
0410f0c696	ඔවුන්ගේ ඥාතීහු විලාප තබන්නට වූහ.
04113fefc1	අනික කෙනෙකුගේ මතය
0411bb25ae	මගේ ඌරු කතාවත් දාන්න
0411f43ff7	කුහකයි මිතුර කුහකයි අද සමාජය
041244e445	නිර්මාණ ගයාන්ට ලැබෙනවාද?
04129b490c	නමුත් මට පුද්ගලිකව නම්
0412a20bb2	විවිධ නිර්මාණ හැකියා ඇති අයට
0412a4dbc1	නගරේ හැම සාප්පුවකම හැම හන්දියකම
0413977b77	නමුත් මං හිතන්නේ
0413a772ba	lanka gossip
0413b8282d	චිත්‍රපටයේ දෙබසක් කියලම මම යන්න යන්නම්.
0413c8fa5e	කියන දේ ගැන අවබෝධයක් ලබාගෙනත් නැහැ.
04145e1de8	වැලිඔය ප්‍රදේශයෙන්
041495786a	ඔන්න මමත් බයිස්කෝප් මංසලට
0414fc9372	මා හොඳින්ම දන්නා කාරණයකි.
04150b5994	මේ සදහා දායක වී ඇත.
041591530b	උපාදානස්කන්ධ ශක්ති විශේෂ
0415cc860b	තවත් සාරධර්මයක් නම්
0416831ca0	ඉස්සා කවදාවත් දන්නෙ නෑ
0416abd53e	අළුත උපන් බබෙක් වගේ පරිස්සමට.
04173a3847	අන්ත දෙකක් දක්නට ලැබේ
04173fc9a9	මෙහි මුල් ගාථාවේ දැක්වෙන අන්දමට
0417b104a4	අත්‍යාවශ්‍ය දෙයක් විදියට
0417f73670	එම නිසා ඕකුන්ට මේවා අයත් වීමට පෙර
0418071123	natural disasters
04182563ac	ඔය යානෙ හොයන්න.
041867eb46	අද අරගෙන එන්නෙ
041876eee5	ඔබ යම් ධර්ම දානයක් දෙනවානම්
0418e24d0b	මේකත් හම්බුනා
041950479a	මෙවැනි සුප්‍රසිද්ධ නිර්මාණයක් සිංහලෙන් ගෙනවාට.
041a57ca39	ජයවේවා.බොහෝම ස්තූතියි! පට්ට.
041a74fd1b	ඉස්සෙල්ලා එයාගෙ අත ඇල්ලුවෙ මම
041bc49a42	එම සමාගමේ සභාපතිතුමා සිනහ සී පැවසුවේ
041ca909db	ඒ ඔලිවර් හර්ෂ්බිගෙල්ගේ
041ccdeed6	fb covers
041ceabf14	ඔබ ඔබේ ලොවේ
041d374e95	බුදුරජාණන් වහන්සේ වෙත එන අභයරාජ නම් කුමාරයෙක්
041d786f3a	පරික්ෂක දේපළට අළුත් හෝඩුවාවක් ලැබෙනවා
041e72f74d	හැම එකාම බුදු වෙලා නෑ
041eb5b1ee	එම නිසා ලොව ඕනෑම කෙනෙක්
041eb7f2e2	මගේ යාලුවෝ අහනවා
041ef0f89c	ඉගෙන ගන්න බැරි
041ef9eaf3	ප්‍රේක්ෂකයාට සිතන්නට
041f0ee9c5	මිනිස් සිරුරත් ආත්මයත්
041f14fac7	මහින්ද මහ රහතන් වහන්සේගෙන් ධර්මයට සවන් දී
042047b087	අමතක වූයේ නැත
04204df0ed	රජතුමා සඳහන් කළ පරිදි
04205520d8	ඉන්පසු ඒ ගිලන් ස්වාමීන් වහන්සේව බැහැදකින්න
04213ad64a	බුදුරජාණන් වහන්සේ වෙත පැමිණ මෙසේ කීවේය
0421914432	අපිත් ඉතින් මෙහෙයුම් පද්ධති වලට ආදරෙයි
04219d6f6c	අනික් පැත්තෙන් මේ ආගන්තුකයා
