a05967aa8d	ඔබ ඇසූ පැනය
a05a4d9916	ඉතිහාසය සියුම් ලෙස අධ්‍යනය කිරිම
a05b06af6c	එවිට භාග්‍යවතුන් වහන්සේ භික්ෂු සංඝයා ත් සමඟ
a05b7870f0	මෙතනින් සතයක් දෙකක් හිඟා කන්න
a05bb943a2	බඩට ලොකු පටියක් බැඳගෙන හිටියා.
a05c82a0b4	මරණය සාධාරණ බව
a05c8505d8	අඳුරු විය හැකි විපත් වලින්
a05cb535f8	ඒත් මට ඒ දෙන්නගේ
a05d5ceaca	එළකිරි වගෙ තිබෙන සිංහලකම
a05e510182	මේකරුණු සතර නම්
a05e51a6b9	රාජකාරිවල නිරතව සිටි තරුණ පිරිස
a05e51b0a9	මොකද දේශපාලකයො අපි ලගට එන්නෙ
a05eff2c33	පරණ හමගිය කබායක්
a05f2eb30c	අශ්වයා පැන ගිය
a05f80f8e4	මේ සඳහා නිදසුනක් ලෙස
a05fc3068e	ළමයි ලොකුවෙලා
a05feaf9e9	බිඳවැටෙන අපේක්‍ෂාවන් තුළින්
a060062a4c	විද්‍යාවෙන් බොරු යැයි ඔප්පු කර ඇති කරුණු කිහිපයක් තිබෙන නිසා
a0601a503c	සැරින් සැරේ මේ දරුවෝ
a0603f2362	බොහෝ තැන්හි සඳහන්ව තිබේ.
a0607dd87f	තුවාල සහිත බව ද සඳහන් වෙයි
a061498890	හිතමිතුරන් අතර සුහදතාව
a0617984ed	අනික ඔයා කියන විදියට
a0618fa7c7	ඇත්ත වශයෙන්ම සමාජයේ අපරාධ නැති කරන්න
a061ba26d2	උදා වෙනවා කියලා.
a062661fca	ඇයට එරෙහිව සමාජ මතය ගොඩනංවයි
a062e0b09a	ඉතින් ප්‍රශ්නය නැවතත්
a063119669	එතකොටම අයිෂ් හින්දි සිංදුවක් කිය කියා කාමරේට ආවා
a06383ff08	ස්ථාපනය කර ඇත.
a064cda98d	එම මතවාද පිළිබඳ
a065a601a0	අති සාමාන්‍ය මනුස්සයෙකි
a065c15a8e	හිතවත් හසිත
a065fe64bb	අපි අන්තර්ජාලයේ ගූගල් ජීමේල් ආදියෙන් වගේම
a066147213	සිරිතක් විය.
a06645cce4	මම කවුද
a066c75cbc	ගැඹුරු රහස් ගොනු කිරීමක්.
a066e4380c	මහත් ප්‍රසාදයට පත්ව ඇතැයි පැවසේ.
a06769c192	අධ්‍යාපනය ජනවාරි මුලදී විභාග ජයග්‍රහණ හිමිවෙයි
a0677ad029	බලන් හිටියෙ සහො අනිත් ටිකත්
a067875cea	muslim sinhala
a06789dcd0	ඒත් ටෙලි නාට්‍ය
a067c2dc82	එමෙන්ම එරට දේශපාලන ප්‍රචාරණ වේදිකාව
a068af12fc	ඉගැන්වීම් කරනවා.
a068f8cac7	අපේ රටේ ප්‍රධාන ධාරාවේ කලාකරුවෝ සිතීම
a06a0b5333	හැම දෙයක් දිහාම
a06a26b9be	මෙම වසරේ ද බෙල්ලන්විල ඇසළ උත්සවය ආරම්භ වූයේ
a06a3c70d1	අවතීර්ණය විය නොහැකිය.
a06aea68d9	බටහිර නවීන විද්‍යාවට
a06af3beae	එවන් විටෙක ඔබ රූපවාහිනියෙන්
a06b0fe2e0	බයිස්කෝප් එකේ දෙන ඒවා.
a06b37cbd9	ආත්ම සදාකාලික නැත කියල
a06b6b4d74	බරපතළ බවත් වාර්තා වෙයි.
a06ba979a7	නමුත් මට ඒ පිළිබඳව
a06baa7c54	අප ප්‍රධානියා ලෙස කල යුතු දෑ කිරීමට පෙළඹීමයි
a06bb5b623	ආසාවට හිටියේ නෑනේ
a06bb9342c	ඉල්ලා සිටියාය.
a06cba8e22	ණය ගැනීමේ අවශ්‍යතාවයක් නෑ
a06cbdacf2	කියාදෙන්න මගේ පුතාට
a06cbddd57	එලෙසම ඇළට අනවශ්‍ය ජලය එක්වීමට
a06d16401a	උසස් අධ්‍යාපන අමාත්‍යංශය වැඩකුත් නැහැ
a06d77439a	රනිල් වික්‍රමසිංහ නායකතුමා
a06d81ebc8	බුදුරජාණන් වහන්සේ උපසම්පදා භික්‍ෂූන් වහන්සේට වදාරා ඇත.
a06e406ce7	පුද්ගලයා විශ්වයේ නිර්මාණයක් වුවද
a06e927443	රුවක් මට නැහැ.
a06fe6c2f8	ඝාතකයො නිසා..
a0702056a8	වෙන මොනව කරන්නද
a07043dc44	ධර්මශ්‍රවණයෙන් සහ ධර්ම සාකච්ඡා වලින් ද
a0707765aa	එනම් සිංහල ජන සංගීතයත්, බෞද්ධ සංස්කෘතියත්
a070e127fb	අප නිවසට ඇතුළු වී
a0714bf4ca	මෙහි ඇති ප්‍රතිමා සමහරක් කැඩී බිඳී ගොසිනි
a071542e98	කැඳවනු ලැබ
a071e4a5cf	මිනිස්සු කොහොමත් සොබාවිකවකම කෑදර හන්දා
a0721d24e7	බොහොම ස්තූතියි දිදුල
a072287382	නමුත් ගන්න පඩිය
a0728a7bb6	මිනිස් ලොව ඉන්න පුද්ගලයෙකුට
a0732d69d0	එය දාන කථා, ශීල කථා, ස්වර්ග කථා,
a07383a163	මේ පත්තරේට යම් බලපෑමක්.
a074901652	උඩුගම් බලා යාමකි
a0755fa2cb	තෝමස් ශීත සෘතුවේ හිම වැස්සෙන්
a07581227d	අප දැනුවත් විය යුතුය.
a076013693	වක්කර ගෙන බීපන්.
a076097343	එතන හිටිය කොටි කාන්තාවන් දෙදෙනාට
a0761ea46c	වෙන වෙනම සීලය ආරක්ෂා කරනව
a0766976c2	මා පළමුවෙන් සඳහන් කල පරිගණකයක් මිලදීගැනීමේ ක්‍රියාවලිය ගනිමු.
a0767c2d93	අපි කාගේත් යුතු කමයි.
a076edbecc	දැන් ගොඩක් පහලයි කියලා මට හිතෙන්නේ.
a077cba073	මට කිවුවා දණගහපිය කියලා
a0788fe9fd	ඒත් මං දේශපාලනයෙන්
a0789ec273	අමරසේනයන්ටත් ශ්‍රියාණි අමරසේනයන්ටත්
a078a6d1af	අපි දෙන්නගේ රූපගත කිරීම් තිබුණෙ වෙන වෙනම.
a078b345f6	නුග ගසෙහි පොතු තම්බා ගැනීමෙන්
a078c7ed3e	අවිවාහක පුද්ගලයෙකු වූ ඔහු
a078e8fb08	සෑහෙන ජනප්‍රිය වෙච්ච
a078e9f774	උයං කනඑක විතරයිනෙ.
a0796712c4	දේවතානුස්සති භාවනාව පිළිබඳව
a0797c40a6	gifts for wife
a079e31041	මේක මම ගොඩක් කල් ඉදන් බලාගෙන හිටපු එකක්
a07a0cc393	එක්කෝ අමාත්‍යංශ ලේකම්ල පත්කිරීමේ බලය
a07a41a62a	එබඳු බුද්ධ ප්‍රතිමා ද
a07ad92e58	එයා එයින් නිදහස් වෙනවා.
a07c51f9c8	එවැනි කලා කටයුත්තක් කිරීමට
a07c69e1cb	පුද්ගල බද්ධ හෙවත්
