e20023ae49	මා විසින්
e2006e8b3f	අනික් පැත්තෙන් ලකුණු දා ගැනීමක්
e200c4cc8e	marine engineering general motor knowledge
e200f61205	හැබැයි ඒ නිසාම රාම්ගේ ජීවිතය සම්පූර්ණයෙන්ම වෙනස් වෙනවා.
e20103d3b4	එහෙමනම් අපේ සිංහල සබ් දෙන පිරිස
e201496a9c	මේකත් මේ වගේමයි
e20156faf2	ගැබ්වෙලා තියෙන බව
e2018dfeb0	අවශ්‍ය දේවල් දෙන්න පුළුවන් නම්
e201d645f8	සදාචාරයක් නැතිව කියන එව්වටත්
e201e655db	ada derana
e20350b757	උදව් කළ හස්තය හපා කෑම
e203a886a3	එදා ඒ බැට කාපු අපේ දරුවන්ට.
e204056928	ඒවා වාත සුළඟ
e204216dbc	අපි මේ මාර්ගය හැදුවේ
e20430ce57	කොළඹ ආසන්නයේ රූපලාවණ්‍යායතනයක් කරගෙන යන
e2046d4ca4	හැමෝටම එකසේ ලැබෙතැයි
e204719906	ඇපේ වැඩේදි වුනේ අපිට අවශ්‍ය දේ මොකද්ද කියලා පැහැදිලි කර නොදීම.
e20476349b	ඉතාම සැහැල්ලූවෙන් කාලය ගත කිරීමට හැකි වනු ඇත
e204eaa412	ගලව ගන්න හොඳ
e2050a18ab	අමතක කරන්නේ නැහැ.
e205e5a15e	මාර්ගඵල සිත වනාහී
e205f84932	බබලමින් සිටින බුදුරජාණන් වහන්සේ දැක ගන්නට ලැබුණා.
e20607f407	අද මානව හිමිකම් කොමිසමේ බිලිපූජාව පටන් අරගෙන තියෙනවා
e2062e6907	අද දේශීය කිරිවලින් නිපදවන
e2068ed377	ඕනෑ තරම් විනය පිටකය තුළ දැකිය හැකි ය.
e206a1f907	පොල් අතු සෙවිලි කළ කඩ පෙළකි.
e206fcb7bb	මොනවද කියවන්නේ තාමත් ඉන්නේ
e2070773f0	පරම්පරාවක් නිර්මාණය වීම උදෙසා
e207460bae	අපි දෙනව කියල දන්නවනේ.
e207a1ccc3	මේ දරුවා විසින් කරන ලද කර්මය
e207f80903	මට හිතෙන්නේ.
e20831f753	එය දරන්නට අසමර්ථ වන්නේ යැයි වදාළ සේකැ.
e208863830	ඒ කිව්වේ
e208f533d5	එහෙම වෙන එකක් නම් නැහැ.
e2092baf22	අපේ නර්තන කලාව පිරිහීගෙන යන තත්ත්වයට පත්වෙලා.
e209e3ac7f	ගිහින් ආපසු එන අතරේ
e20a3a1bef	අයිතීන් කප්පාදු වෙනවා
e20a435ce7	අඩාළව පවතින බවය.
e20a5a5dfe	directed electronics ink
e20a5b77ad	සුළු වශයෙන් පැතිරී ඇත.
e20a76a07b	මම බාගත්තා හාමිනේගේ උවමනාවට.
e20aa8dea6	මම දන්න හඳුනන මන්ත්‍රීවරු.
e20ad2760a	දිය සලකුණ දක්නට නොලැබෙන අතර
e20bafbc27	පහතට හෙළීමට ගතවන කාලය
e20bd98e49	ලබා දෙන්න සූදානම්.
e20c160906	මේ වගේ වටින නිර්මාණයකට දායක වුණාට
e20c7b28af	මට තේරුම් ගත නොහැකියි
e20c85e70a	මම ගත්තේ මේ එක
e20c96732d	ලංකාවේ පුරවැසියන් අත්දකින දේවල්ය.
e20ce62c03	ඡායාරූප ශිල්පී වැලිපිටියත්
e20d174907	වැඩිය හිතන්න එපා
e20db9da54	මාවත් නම්මාගන්න පුළුවන්
e20dd97274	එම ගිවිසුම වන්නේ
e20e0eecdf	මක්නිසාද කිවහොත්
e20e4128e4	හොද හුස්මක් ගෙන
e20e665e93	ඔබ මේ පිලිබදව ගුණ දොස් කියන තරමට
e20e7e00c4	උප්පත්තියෙන්ම මම හොඳයි කියලා මවාගෙන ජීවත්වෙන
e20ef054e3	පොතට පසු වදනක් සපයමින්
e20f2f3250	උපසිරැසියට බොහොම තුති මචන්
e20f813357	මං දවසක් කෙල්ලව හම්බවෙන්න ගියා.
e20f8d015b	කන්ටවත් නිදහසක් නැති හැටි.
e21095e1ad	මට සුදුසු මොකක්ද කියලා.
e2112332cb	තවමත් මේ පිළිබඳ පර්යේෂණ කරන කණ්ඩායම් හෙළි නොකිරීම
e21148e767	දිලෙන කළුගඟ මෙයින් හැඳින්වේ.
e211d0c49f	නෑ කියන්නෙ මේ වගේ දේවල් නේ.
e213bb8348	එක දවසක් බුදුරජාණන් වහන්සේ ළඟට තාපසයෙක් ආවා
e213e3bc82	ව්‍යක්ඛ්‍යාන ඇති නිසා
e214af1a0e	එවිට මාරයා නැවත
e214d19327	අපිදු අප්‍රමාදිව කුසල් දහම්හි නිරත වෙමු.
e214d7dfdc	ගුණදාස ලියනගේ
e214e2f2d0	ඊලග එකේදී
e2156d96ce	රථවාහන තදබදයයි
e2160f7f51	ගන්න ඕනේ තීරණයක්.
e2162c81cf	diyaniya
e216493c14	හිතවත් හසිත සුන්දර තැනක් ගැන
e216b2323a	එක තමයි හොඳ.
e216b8beed	උන්ව රට වටේ අරන් යනවා.
e21712048d	රට ජාතිය ගැන උන්වහන්සේ දේශනා කලේ
e21728afbe	සටහනකුත් දැම්මේ .
e217308c84	ඒවා ලියලා තියෙනවනම්
e217484c28	එහෙම එකක් තියෙනවා
e21797e948	මගේ අතු ඉති ප්‍රයෝජනයට අරන්
e21831781c	ලොප්ව ගිය සෙයකි.
e218672c95	තවා දුරු කරගත හැකි බවය.
e218a78c9c	වර්තමාන අර්බුදය
e2190d9ce7	ගුවන් විදුලි ඒකාධිකාරිය කඩා බිද දැමුවේ ඔහුය
e21ac5f3d0	ඓතිහාසික සාක්‍ෂි හමුවී ඇත.
e21b29cf06	අනෙකුත් වැඩිහිටියන්ට පමණයි
e21b4e3d9c	පසු කලෙක සුජාතා අත්තනායක
e21c31adcc	එමෙන්ම මරණයට මොහොතකට හෝ
e21c716e35	ඔහුගෙන් ප්‍රශ්න විචාරීමටත්
e21d3b2f10	ඇමෙරිකාවේම සම්ප්‍රදායික අඹ යහළු රටවල් වන
e21db88555	එය කෙතෙක් සාර්ථකද යන්න
e21ea443e9	මේවා ඇතැම් විට යම් යම් හේතු මත
e21ed67f91	මේ අධ්‍යක්ෂවරයාට සම්බන්ධ කරන්නේ.
e21f36bde9	සම්මා සම්බුද්ධමයි.
e21fd5c385	වක්කඩ දෙකක් පසු කිරීමට සිදු විය.
e2204a6d03	උපමා වලින් විතරයි.
e2207ff694	එවිට බලන්න සෑම කල්හීම
e2208492e6	එහි තැන්පත් කළ බව
e220e740ee	ප්‍රාර්ථනාවක් සඵල වීමට
e221e84990	අපේ රටේ වර්තමාන සංඝ සමාජය දෙස බලන විට
e2228d4372	රහතුන්ට වැඳ නමස්කාර කරමින්
e222f3a42d	ඒත් හේතුවාදියො කියනවද
e223170d6a	අඟහරුගේ අවුරුද්දක් අපේ මාසක්
e223bedd0d	හුදෙකලාවේ බණ භාවනා කිරීම පිණිස කණ්ඩායම් වශයෙන් චාරිකාවේ වඩිනවා.
e223fa9485	photo editing
e2246573f8	මුල් කාලයේ භාවිත කෙරිණ.
e22471f4c0	තම අතේ ඇති මුදල් වියදම් කරමිනි
e2247ef4df	ඔබවහන්සේ අධිපති බව දරන්නේ
e2248a0d04	සෙසු මඟීන් සමග පෝලිමේ සිටි
e224a4a929	හැබැයි මං මේක කලින් බලලා
e224e5f8f9	ඉන්දිකාගේ මේ ඉලක්කය?
e225d16815	රහත්හු ය.
e225da7a15	වැඩිමනක් දායක වෙන්නෙ
e2265452b0	අදාල නෞකාව අත්පත්කර ගැනීමට
e22681501c	තේජෝ ධාතුව මුල් වෙලා.
e22791c6d3	බමුණු සභාවේ බමුණු අධිකරණයේ
e228096271	ස්ථානගත ප්‍රශ්නයක් පැන නැගීමේ
e228a6e153	සුරතල් කරමින් සිටියා.
e228c11665	අවිනිශ්චිත භාවයක් ද
e229d02140	නමුන් එච්චරටම කුහකයි.
e22a56288b	හුදෙකලාවේ බණ භාවනා කිරීම පිණිස කණ්ඩායම් වශයෙන් චාරිකාවේ වඩිනවා.
e22ab107dc	ශතවර්ශ ගණනාවක් තිස්සේ දියුණු වී ආ විද්‍යාවෙන්
e22b050791	බිහිවෙන බිම පෝෂණය කරනවා
e22b843081	අර්ථසාධකය ආණ්ඩුවට ගන්න හදද්දී
e22bca4eb8	දරු දැරියන්ට අඛණ්ඩව ලබාදීමට කටයුතු කළ යුතු වෙනවා.
e22c7e4860	ඒවා ගැන
e22ca95010	අබේ අයියාගේ වියෝව
e22cb117e4	තිරිසන් අපායේ යන්න ඕන නම්
e22d25e334	fmcg central africa
e22dc44770	ඇයි මේ හැම වෙලාවෙම මෙහාට එනවා කියල
e22e59a32a	ඔහු දිහා නො ඉවසිල්ලෙන් බලා ගෙන ඉන්නවා.
e22e6ab777	මාධ්‍ය අල්ලා ගත් විට වසා දැමිය හැකි යැයි
e22ef7fa45	හිමි කර ගැනිණි.
e22f0a0c95	මෙතැනදී වෙනත් අතුරු තර්කයකුත් පැනනගිනවා නේද?
e22f3b07af	සිත පිහිටුවන්න කියලා
e22fd2e8af	සම්පූර්ණ වශයෙන් අවබෝධයක් ලබාගත හැක්කේ
e22fd882e4	ඉතින් එහි වැටුණු ගොඩක් අදහස් වල තිබුනේ
e230107434	මම කිව්වේ
e230504621	ලෝකයේ කිසිම පුද්ගලයකුට ජයග්‍රහණය කළ නොහැකි
e230ddedad	එය ඉතා සුළු ප්‍රතිශතයකි.
