0000f47c22	මහවැලි ගඟට ගොස් ආපසු එන ගමනේදී
be004acfc9	මඳ දිනෙකින්
be004b271c	පාවිච්චි කර නොතිබීම.
be005680ab	ත්‍රිවිධ චෛත්‍යය වන්දනා කර ගැනීමෙන්
be00680076	මේ සිනමා කෘතිය
be00ba6c41	විහාරස්ථානවල මහා සංඝයා වහන්සේ ඇසුරු කරමින්
be0244cd51	අධීක්ෂණ උපදෙස්
be032ccdd4	අපි කියන්නෙ අර පෙති පහේ
be033cc022	ඊට පස්සේ අපේ ලෙඩ රෝග
be04491222	ගොඩක් අය බලන් උන්නේ
be049dc9cf	කැඩුණු කණ්ණාඩියෙන් බලා හිස පීර ගත්තාය
be04acf3eb	එහෙව් අධ්යානපනයකින්
be050dd1b4	එරට පවතින සාගතය තුරන් කිරීමට
be05bdf00b	උන්වහන්සේ සෝවාන් වී නැත
be05e764f7	ගුවන් යානය අතුරුදහන්වීම පිළිබඳව
be05f9183b	අම්මාගේ කල්පනාව අඩුකම නිසාම
be0675c1ec	අපිට ඉන්නවා මීට වැඩ වටිනා
be06f5e871	පරිසරයට හානි කළහොත්
be0709389d	මේවා සුවකිරීමට කකාගේ කොඩියක් එල්ලිය යුතුය
be0780bee1	පැවැතිය යුත්තේ ඉතා සමීප සබඳතාවකි.
be078e5e0f	එළදෙනටත් කිරි එරෙන්නේ
be083b684b	මාලිගාවේ පෙරහර දළදා මාලිගාව සඳහා ගෙවැදීමය.
be08e84cb7	නාට්‍යය කෙළවර විය
be0917b9a9	මොනවගේ දේවල්ද සිද්ධ වෙන්නෙ කියල
be0984b306	අහා එහෙනම් මේක උපසිරැසි එක්කම
be09f02714	අපොස සාමාන්‍ය පෙළ විභාගයෙන් පසු ඔහු නිවසට වී සිට ඇත.
be0ab83529	අනුරාධපුරේ යනවාට සාපේක්ෂව සීමිත පිරිසක්.
be0ada072f	ගත යුතු තීන්දුවක්.
be0b1144e6	මේවා බලන්නට ඉන්න
be0b46df39	සිංහල දෙනකන් බලන් හිටියේ
be0b552545	kandiyan brides
be0b8f276a	peoples bank trainee assistant
be0bfb0af9	පිළිකෙව් කොට
be0c1f6ef1	පරනිම්මිත වසවර්තියේ අධිපතියා වසවර්ති මාරයාය
be0c3c7736	දුරු කළ යුතුය.
be0c60bc0b	බෙරයේ කට හෙවත් බෙර ඇසේ දෙපැත්තම
be0db64fe1	එමනිසා ඔබතුමාගේ තර්කයට අනුව මම අවජාතකයෙක්
be0db80d88	ඔය ස්තුතියි කියන සුළු වචනය
be0dd8c0ad	උණුසුම් සුබ පැතුම්. ජයමවේවා.
be0e719f42	දෙරණ රූපවාහිනිය සමඟ අදහස් පල කලේය.
