af014bbf20	ආස්වාදය සොයමින් වෙහෙසට පත්වන්නේය.
af017162d2	ඔබ මේ පිළිබඳව
af01b64e9e	තහවුරු වෙන්න ඕනි.
af022c2aa2	ඔන්න 'රතුපස්වල සීඩී ඩීවීඩී' කියන තැනම
af023068e2	ඇස සංවර කර ගත හැකිය
af023b0a61	ඒත් මම තාම
af02d24a77	යළි කම්පා වීමක් සිදුනොවේ.
af02e6072f	ඔහු ඉතා මැනවින් නිර්මාණය කර තිබේ.
af030a95c4	අර උජාරුවට සිගරට් එකක් කටේ ගහගෙන
af03568543	narendra modi
af037af422	නීතිඥ වෘත්තියට පිවිසෙන්නේ පසු කාලවලදීයි.
af037da24b	සිංහල දෙනකන් බලන් හිටියේ
af04cce698	තුන්වෙනි සීසන් එක අරන් ආවා.
af04d75224	කොටස් ඉවත් කරමින් සිට ඇත
af05562129	මාරයාගේ වසඟයට හසුවිය
af0598441b	උන් කරන්නේ
af05b59b22	අපි අධිවේගී මාර්ගවල ගාස්තු නිදහස් කරලා
af05d89660	එයාගේ හතුරන්ව මරාගෙන
af05e58a9f	පීටර්ට ඊතන්ගේ බෑග් එක නිසා
af05fa35d7	ඒවගෙත් අර දාර පරතරේ
af063a96de	බුදුරජාණන් වහන්සේව හරියටම දැක්ක නම්
af065ae991	බුදු දහමට අගෞරව කරන අදහසකින් නෙමෙයි නේ.
af06754ac3	ගෙන්වන මට්ටමට පත්වුවහොත්
af069ce92c	උදවුව තමා ශීලයේ පිහිටා
af06f9ca02	inside lanka
af07121483	දැනුම වගේ මිනිස් මනසින් මැකේවි.
af072ef4ed	මෙරට බි්‍රතාන්‍ය අධිරාජ්‍යය යටතේ පාලනය විණි
af0744e819	සනාථ වී ඇත්තේය.
af07caed25	free form
af07dbeab7	අපි අපේ ධර්මයට අනුව
af091f75a3	එම සුන්දරත්වය රසවිඳීමට හැකි මුත්
af097648c7	විශේෂ කාර්ය බළකාය අපොහොසත් විය
af0a0bc2d1	පළමු උපසිරසි ගැන්වීම හින්දා අඩුපාඩු ඇති.
af0a20a804	පරිත්‍යාගශීලී සේවාව අවධාරණය කරයි.
af0b870ce3	මේකට ඇයි කෙලින් උත්තරයක් දෙන්නේ නැතිව
af0b8fbe30	ඒත් මේ විහිළුව
af0b927224	අජාසත්ත කුමරු අවසානයේ දී
af0c2ba809	ඉනන්වද කියලා බැලුවේ නැහැ.
af0c334f44	සේවය කරනවා.
af0c6a9a88	හැබැයි හිත යටින් අපටත් තේරෙනවා
af0c82d82c	පවත්වන ලද මාධ්‍ය හමුවකදීය.
af0d3fd39c	මේක හැමදාමත් කියලා දෙන්න ඕනෙද?
af0e8a8ad2	මානසික රෝගී අවස්ථාවකි.
af0e976c0a	සිදුවූ හානිය ඉතා අවමය.
af0f82b625	කොළඹ ජාතික රෝහලේ ප්‍රකාශකයෙක් පැවසුවේය.
af0f8821b2	මේ චිත්‍රපටයේ කථාවෙන් කියවෙනවා
af0f99cab4	suraj sharma
af0fd834ed	සැබැවින්ම අර හිමිනමට
af0fdd3c02	මොකද ආගම පිළිබඳ ඇත්ත
af100e4565	එය නැවත නැවත මෙනෙහි කිරීම
af105b912e	ලංකාදීප චිරාත් කාලයක් යෙහෙන් වැජඹෙන්නේ
af11cced65	වැදගත් වන්නේ ජය වේවා!
af12001eb5	එයින් භවය සකස් වන අතර
af120a2bf6	අපි මොකක්ද කළ යුත්තේ කියලා
af12af2d7c	අසුරයන් පැරැදී
af12cf0481	අබේවර්ධන බාලසූරිය මහතාගේ මම වඩාත් ප්‍රිය කරන ගීත
af12ee75a8	කැමරාවක් රැවටුණා කියලා?
af13a78d5e	අදටත් වඩා හෙට ඉපදෙන්න ඉන්න දරුවා වෙනුවෙන්.
af13b624d8	මා සිතේ ඉතිරිව තිබුණි
af1402ed66	ගමන් කළ යුතු ය.
af1464a8be	ආරක්‍ෂක තත්ත්වය සැලකිල්ලට ගෙනයි
af154d9bcf	එබැවින් වෙබ් අඩවි තහනම් කිරීමේ ක්‍රමය අසාර්ථකවී ඇත
af15957c14	බුද්ධිමය අවශ්‍යතාවක් නිසා.
af17a5d512	කකා ඉඩ දෙනවා නම්.
af17d82170	බුද්ධ ශාසනයෙහි
af180cb653	හ්යු චියාහ්ට මූණ දෙන්න වෙන්නෙ
af1a934cd1	ඔක්කොම එකතු උනේ නැත්නම්
af1ac1315b	ගායස් කියන්නේ එහෙම කෙනෙක් නෙමෙයි.
af1b8a7658	රජය මේකට විරුද්ධව ක්‍රියාමාර්ග ගනීවි.
af1b950379	මේ මනුස්සයාගේ ඇස් ඇරෙන්නෙ කවදාද?
af1be24ca0	එච්චර වැඩකට ඇති වැඩක් දැයි
af1d060883	මේ ලෝකාපවාදය තරමක් හෝ අඩු කරගත හැකිව තිබින
af1d779836	දුරලා බහුභාණ්ඩික බව
af1dbe710a	වෙනත් ලෝහයක් වෙන්නත් පුළුවන්.
af1dd250ab	i love
af1de5d5c8	පුණ්‍ය ශක්තිය අවසන් වීමෙන් පසු
af1e609ed9	මෝඩ කතා ලියලා අපේ වෙලාව නාස්ති කරන්න එපා.
af1ef035e9	මොවුන්ගේ පහර හේතුවෙන් දරුණු තුවාල සිදුවේ.
af1fd58ccd	සාහිත්‍ය කෘති පිළිබඳ
af208b5489	තමන් එම භූමියේ ජනාවාශ පිහිටුවා ගත්ත
