dd006190d2	වෙනම චරිතයකුත් තියෙනවා නේද?
dd0066f4c9	එම අවස්ථාවෙහි කිණිහිරෙන්
dd010d46a5	මෙලොව ඉපදුණු අප
dd0132d416	ඔබ ඇණයක් වෙන්නයි යන්නේ
dd019cfabf	vijay family
dd025bd39a	වාසිය ලැබෙන්නේ දරුවන්ට.
dd02b268df	යටි පතුල් වළලූකර ආශ්‍රිත ශරීර කොටස්වල රෝග සෑදීමට හේතුයි.
dd034abca0	සරසවි ආචාර්ය මණ්ඩලයද
dd037e91ff	නිරන්තරයෙන් සිදුවන
dd03903c5b	අඩු ගානේ
dd03e4750b	ජයලත්ට ඕනේ විදිහට.
dd03fe404b	සෞඛ්‍යමය කරුණු මතයි.
dd040716f4	ලංකාවෙ සිංහල බෞද්ධ ජනතාව
dd044d5a96	ස්ලෝවැකියාවට යන්න කියලා
dd04b3023f	වැඩ හිඳින මාලිගාවේ උඩුමහල ය.
dd052e599b	එමනිසාවෙනි පනත දෙකට කඩා
dd061c60dc	ඔච්චර පැහැදිලිව පේන්න නම්
dd0641d0dc	සාමාන්‍ය ප්‍රේක්ෂකයාගේ ප්‍රතිචාර ගැන
dd06762667	ඇය මුලින්ම ගැයූ ගීතය
dd06a09515	මැදපෙරදිග පැවතෙන්නේ.
dd06a29a07	එහෙනම් යනගමන්
dd06e59726	නමුත් පවුලක
dd07529ea5	ආයෙමත් දෙවියන් අතර උපදීවි.
dd07543064	රාජ්‍ය මූල්‍ය ශක්තිය
dd079022c3	පිරිත් ස්වරය
dd079dad60	සිංහල උප සිරැසි සමඟින්
dd08b82240	ඒත් මෙයා සම්පූර්ණ ගෞරවය
dd08d11500	ඒ උතුම් සීලය ඉගෙනගෙන
dd0929f6d7	විජේවීරට බයයි නේද?
dd09576f03	ගෙනෙන්නේ නැති කොට.
dd097018df	රෝගය නවතියි කියල
dd09af9f01	ඒකෙත් එල්ලිලා තියෙන්නේ
dd0a5ed352	පවතින බව මිස
dd0ab6c2c8	එම ආරංචි මාර්ග
dd0abe40a8	සංගමයෙන් ඉටුවන වැදගත් ක්‍රියාවකි.
dd0b00aa90	මොකද ඒකේ අයිතිකාරයෙක් මට ඉන්නවා
dd0b2ace14	අපේ පුංචි දූපතට උනත්
dd0ba78c99	උන් වහන්සේ ගෝල රහතුන් සමග
dd0bba9695	වැරදියි කියල හිතෙනවා
dd0bc67621	මට රිමාන්ඩ් ගත වෙන්න වුණා
dd0bfa68ce	පුරුෂයින්ටත් සමානයි.
dd0c2a1da4	wife switch
dd0cb64ca3	පලා නොයන තාක් එය කළ
dd0d661865	එසේ සිදු නොවුනද
dd0d72a18d	අයකුට දුකක් නැති වීමටත්
dd0d7956c8	ඔබතුමා එසේ නොවන බව පෙනේ.
dd0da206fc	කීයක් වටිනවද මම අහනව.
dd0e180a91	කමක් නෑ ඉතින් බාගෙනම බලමුකෝ
dd0f308d7a	මහරජතුමනි, මෙම සිහිනයේ ප්‍රතිඵල දැකගත හැක්කේ
dd0f4a38ee	ලෝකෙට හෙළිදරව් කළා.
dd0fca47a9	ඓතිහාසික උදැල්ලක් නම්
dd105b218d	තරගයයි විතරයි වැඩිවෙලා තියෙන්නේ.
dd10f50e05	අහපු විස්තරෙන් හිතලායි හැදුවේ!
dd1138e408	ඉන්න හොඳම කෙනෙක්
dd11773803	sirasa
dd1189e4c3	එබඳු අවස්ථාවකදී දේශකයන් වහන්සේට
dd127623d1	මිනිය තනි නො කිරීම ද සිදුකෙරෙන්නකි.
dd12a677cb	එවන් සතෙක් මරාගෙන කෑමට
dd12ba954e	නෑගෙනහිර ආසියාවේ කිසිම රටක
dd132eea47	එය මනාව පිළිබිඹු කරන ප්‍රධානම අවස්‌ථාව වූයේ
dd13c4b002	ජීවත්වූ මානවයා තුළින්
dd13dfbf14	කාර්යාල වලින් පැනීම් ගැන ඇත්ත කතා කිහිපයක්
dd144855f7	සිනමාශාලා අයත් ආයතන ප්‍රධානීන් බලාපොරොත්තු වන්නේ
dd158e41ec	ඒක මේ ඉන්න ගොබිලො එක්ක පුළුවන්ද.
dd15fcfbf1	සැදැහැති බෞද්ධයන් බවට පත්විය හැකිය.
dd162f4e38	මෙසේ වන්නේ
dd1643282d	ඔය වගේ මිනිස්සු කට්ටිය එකතු වෙලා
dd16a4b835	තායිලන්තය සියම යන රටවල්හි
dd16a78feb	ඇට්ටකුණා වේ යැයි කියයි.
dd16d9dd1c	හඳුනාගත යුතු ය.
dd16f38c95	ඔහුගේ යටි අරමුණ මනාව පැහැදිලිවේ.
dd173fd465	එක්තරා ව්‍යාපාරිකයෙක් ඉන්නවා
dd18349a27	එම කතා පුවතට අළලා
dd185d8f91	පැපුවා නිව්ගිනියාවේ පදිංචි කරවන අතර
dd186fbbf3	ඇල්මාරියට අහුවීම
dd18cc2de4	ජම්බුකට චතුරාර්ය සත්‍යය දේශනා කළා.
dd191b6ee6	තැනින් තැනින් දුමාර නැගි
dd19449a6f	ඉස්සර ලොරි කාරයෝ
dd195da7f9	වරින්වර ගෙන්වාගෙන පවත්වාගෙන
dd19875db8	ෂඬ් ඓද්‍රියන් භාවිතයෙන් ලබා ගත යුතු දැනුම
dd19cf5cc6	එම ආයතනය
dd1a5fdd17	අන්තිමට කතා රසය නැති වෙලා
dd1ad6bd97	පරිශීලනය කළ කෙනෙක්.
dd1b63dd6a	පින ගැන අවබෝධයක් නැති නිසයි.
dd1b701a71	නොදන්න දේ බොහොමයක් ඉගෙන ගත්ත
dd1b9ef2a4	දැන්නම් අනිවා බලන්න ඕනෙ.
dd1c366eed	බහුතරයක් ඉපදීලා තියෙන්නේ
dd1c54ad3e	අපේ දරුවාට සාධාරණයක් ඉටු වෙනකල්
dd1d918a46	ග්‍රාමීය ආර්ථිකයට රාජ්‍ය අරමුදල්
dd1df5335f	ඒ උරුමය හරියට ගෙන යන්න බැහැ.
dd1e49e1c2	උත්සාහ ගන්නා යකා පසුව
dd1e4a1550	එකල ජීවත් වූ මිනිසාට
dd1e653d79	මුතු බෙල්ලා ආපහු සිප්පි කටුවක් වෙලා පැංචාගේ අතට පැන්නා.
dd1f396850	කතන්දරට කතන්දර යැයි නොකියා
dd1fa020c7	යන්න හිතාගන්න කියාද?
dd1fc8e313	සියලු ප්‍රාර්ථනාව චෛත්‍යයට
dd1ff81b11	එවන් උත්තරීතර නායකත්වයකටය.
dd20644ea8	අරන් එනවා.
dd2147b54e	උනන්දුවෙන් උද්යෝගයෙන් යුතුව කරගෙන යා හැක.
dd218a4cb3	සත්ත්වයාගේ කායික, මානසික, තෘප්තියේ මූලික ලක්ෂණයක් ලෙස
dd219499ba	ඒත් මම ආරාධනා කරනවා
dd21babb3c	මේ කතාව දැන් මතක් උනේ?
dd21bcb28c	ඇය දකුණු ආසියාවේ වයස්ගතම කාන්තාව ලෙස නම් දරා ඇත
dd21caf63d	වටිනාකම පාදාගන්නවා වගේ ක්‍රියාවක්.
dd21dc01f9	මෙය ලංකාවේ ඇති
dd2233977c	ආවරණය වන්නේ ද දුම්බර අඩවියෙනි
dd225f37ba	එතරම් අදාල නොවේ
dd22a6681c	එකී දුබලතාව
dd22f25585	වාසි සැලසෙන අද දින
dd235acc23	අනුගමනය කළ යුතු එකම මඟක් දක්වති.
dd2387fda7	දල ලෝම සහිත පනුවන්
dd23996a0a	නාට්‍යයේ වටිනා තැන් බොහොමයක් ම.
dd23d61f12	සැබෑ ලේඛකයන් නිර්මාණකරුවන් ගැන ඉවක්
dd240856ad	අලුතෙන් ජැකා කරන ෆිල්ම් එකේ
dd242dd6c3	මෙහි නිදන් කර ඇති
