b90009a505	රජතුමා කැමැති විය.
b900f0011f	වල ප්‍රථිපල ඉතා භයානක
b900fc27db	වාකරේ සෑහෙන්න තරමට දියුණු කළා.
b90121fd3a	වැසි ද නොතකා
b9019edf69	මේ තෙත් බිමට ඇත
b902c14030	iron man
b902ff51e1	වෙනත් අය ආයුධ අතට ගැනීම
b903d5231e	බොහෝ දෙනාට හිතසුව පිණිස ද
b9041918f6	කයිල්ට රෙජෙයිනගේ මිණීමැරුම ගැන
b904426ac0	භික්ෂූන් වහන්සේ නමක් වාහනයට නගිනවිට
b905640248	ධර්ම ගෞරවය තිබිය යුතුය
b9057f4947	business office lease
b90617dd1a	ඉඩ හැර අපේ ගමන අපි යමු.
b9061cc3aa	අනික තමා මෙවැනි සරල රසවින්දනයක්
b906394c5f	ඊට පස්සෙ කාලෙක ඉතින්
b9064b3036	යාල කැලෑව තුළද
b9065a90fd	කමතේ තමයි නැටුම් එතකොට සොකරි
b9067e0c7a	ස්මරණයන් ඡායාරූපගත නොකර
b9067e5b89	එක ඇඟිල්ලක් ඔසවා
b9068e4ca0	අතීතයේ භාවිතා වන්නට ඇත්තේ
b907bcb3a3	කථානායකවරයා වෙත භාරදී තිබේ
b907cc4b4c	එකම කරුණ අනවශ්‍ය ලෙස අවධාරණය කරන බව
b907f54113	අස්වැන්නට හානියක් නොවේ.
b907fdd9a6	අපේ රටට මෙවැනි හැදීම වැඩි වැඩියෙන් අවශ්‍යයි.
b9087c04c9	ඒත් මොනවා වෙයිද කියන්න
b90894acda	දුබල මනස් ඇත්තන්ගෙ සිත් වලට
b90937e58b	එතෙක් කාන්තා පක්‍ෂයට ලැබී නොතිබිණි.
b90948740a	ඔවුන්ගේ ශීලය පිළිබඳව
b90a867256	එන ප්‍රධාන චරිතයක්
b90abf05f9	ඇතැම් ලෙන්හි ඇති සෙල්ලිපි
b90b1635c6	එනම් පුද්ගල හෝ ධර්ම හෝ ස්වාධීන
b90b723df9	බුදුරජාණන් වහන්සේට වන්දනා කොට
b90c14ef4a	රටක මොකක්ද මේ කතාව.
b90c569e53	උගේ උදරයෙන් එන වේදනාව නිසා
b90cb23337	ආගමික නායකයන්ගේ ඡායාරූප
b90cf1f222	සැඟවී සිටි බවද කියවේ.
b90d010a3c	බලා හිඳීමට සහෘදයාට සිදුවෙයි.
b90d3c62f6	ඒකමයි සිතිරට කරන්න හැකිද ඇහුවේ
b90da3793f	කිව්වෙ වැඩෙන් ගැලවෙන්නට
b90dba4b89	google image
b90dc3b6aa	මම ශාසනයෙන් ප්‍රයෝජනය ගත්තා කියලා
b90e04496b	fun games at work
b90e66a6ad	භාරගන්නෙ නැහැ.
b90eacfdb0	මම ආයෙමත් පන්සලට ආවෙ
b90eb26bc0	එහෙත් ක්‍රිකට් ක්‍රීඩාවේ අනන්‍යතාවය රැකගැනීම
b90ecdf406	බුදුරජාණන් වහන්සේ වදාළ දේශනාව තමයි
b90f893a1a	දේශපාලන ගැටුම පවතින්නේ.
b90fd618a6	කසකස්ථාන් වලට ගිහින් ඇති කියලා.
b91015dd72	එම සක්වළේ හැර වෙනත් සක්වළකට
b9102e5a2b	එහිදී තෙල් වළඳක් ලිප නොතිබෙන
b910594456	purple colour roes flowers photos
b910a558ac	එම පුණ්‍ය ශක්තිය දුක්විඳින සත්ව කොට්ඨාසයන්ට
b910a8beb8	නවීන සමාජෙයෙන් පෙන්නන්නෙ.
b911025390	වෙදමහතාගේ කුඹුර අස්වද්දා දුන් බව
b9111412eb	එසේ කිරීම පුරුෂත්වයට නිගාවක්
b91141224b	අහක යන නයි සරමෙ දාගත්ත නම්
b9127ff78a	මේවා ඉංග්‍රිසි තේරුමත් සහිතවම දැම්මාට
b912ddaece	පදනම වැටෙන්නේ මුල් යුගයේ ඉඳන්
b913016236	කළ හැකි දෙයක් නොවේ
b913233457	සමාජය තනමින් පුද්ගලයාත්
b91438c849	එයාට පණිවිඩයක් ලැබුනා චාල්ස් කුමාරයත්
b9144d97b2	බෞද්ධයන් බුදුන් වහන්සේ වෙනුවෙන් පවත්වනු ලබන
b914a30f14	මේ කිසිදු දේකින්
b9151571a3	පිටපත් දෙකක්.
b915c78622	ආරක්ෂා වී තිබේ.
b915c8fd2c	ඉෂ්ඨ කරන්න.
b915e3f519	මෙම හේතුව පමණක් සලකා
b916308fb7	මුල් වන ශ්‍රද්ධාව බවට පත්වීම
b91668a7ce	බුද්ධ ධම්ම, සංඝ කියන තෙරුවණ කෙරෙහි
b916819842	රජතුමනි මම පැවිදි වුනේ යනුවෙන් දේශනා කළහ.
b9168fdf19	ඒ මත කපුරු බෝල දමා
b917e6d9e3	අපේ මේ සහෝදර සහෝදරියො කරන වැඩේට
b9181912a4	කුසල් උපදවා ගැනීමටත්
b918c14b0e	denzil aponso
b9190d09ec	තාමත් සිංහලයෝ වැද්දෝ වගේ
b9192bcbf6	ඒවගේම සයිට් එක කරලත්
b9192e3056	මම කියෙව්ව තනිකර අන්ජනමක්.
b919c791a5	ශ්‍රද්ධාව ජනනය කිරීම සදහා
b91a00a422	මොකද අර මැනා
b91a33769e	ඕකුන්ට ඕනේ “සිංහල රට සිංහලයට අහිමි කිරීමට”.
b91a401f5d	ඔවුන් මිලදී ගනු ලබන
b91a77287f	ඔහු කල්පනා කළේ ය.
b91ac581a0	අමතර ආදායම් මාර්ග උදාවිය හැකි
b91ac6aea1	ඔවුන් ලද උතුම් දායාදය එම හැදියාවයි.
b91b5767b5	එක්සත් ජාතින්ගේ සම්මේලනයේ
b91b98ad39	යන්ත්‍රයට තෙල් වාගේ
b91ba3a6f9	තමා තුළ ඇත්නම්
b91bb5aa83	"තිලකරත්න ""දුරාතීතයේ පටන් ම මිනිසා"
b91bbfc530	මර්ධනය කරන බවත්
b91bc1863d	ජනවාරි මැයි අතර කාලයේදීය.
b91bc23d67	අසා තිබු නිසා
b91c0e689d	ඔබට කීමට අවැසි චාර්මියා
b91c233d4d	වෙන්කර ඇත්තේ
b91c3c0504	තමයි මේ සබ් එක කළේ.
b91c4a575e	එය වියලි පොල් කොල වල එකතුවක් බව පෙනේ.
b91d15e7dd	උඹල අරුන්ගේ ඉත්තෝ විතරයි
b91d4c7864	එයට කිසියම් නිදසුනකි.
b91d6029b8	එයාට එයාගේ යාළුවො පවා නැති වෙනවා.
b91d7ce6e2	සම්පූර්ණයෙන්ම වැළකී සිටිය යුතුය.
b91e5f70ae	හෙන ඉල්ලනවා ඇරෙන්න
b91e72be0f	එවන් අවජාතකයින් රැලක්
b91ee31b09	ඔහුට හැකියාව ලබාදෙන්න
b91f36b797	ආයතනික වශයෙන් ලැබූ ගායන ප්‍රතිභාව පිළිබඳ නොවේ.
b91ff138d1	පාර්ලිමේන්තුවට ඉදිරිපත් කරන ලද
b91ff72a64	අද වෙසක් දවසේ කකා කරලා තියෙන්නේ කැත වැඩක්
b920745b83	ඔන්න කුරහන් පිටි ටිකක් එහෙම අරගෙන
b920770c5d	භික්‍ෂූන් නොමැති ප්‍රදේශවල
b921408b8f	ඉස්සෙල්ලා පත්‍රිකා හදලා බෙදුවා
b92349e3f8	බෞද්ධ සංස්කෘතික විපර්යාසයන් රාශියක්
b923942338	එදවස ඒවා දියවෙමින් පැවති
b923a06402	පසු ගිය සීත සමයේදී
b923cdcc0b	පිඟානකට අයින් කළා
b924aaf4ba	සියලු රහතන් වහන්සේලා විසින්
b924eb5b05	හැමෝටම එක වගේ සැප නෑනේ.
b925198747	දැනුවත් කරපු ප්‍රියංගා සහෝදරියට
b925503045	ඔය රෙකෝඩ්‍බාර්වල දාල තියෙන ගෝෂාකාරී ශබ්‍දය නම් නෙවෙයි
b925852c8b	බොහොම පැහැදිලිව පිළිගන්නවා.
b925b3576b	අනුයුක්ත වූ පමණින්
b925dcc154	මම නම් හිතන්නෙ..
b926f115a3	ඉතාම කලාතුරකින් පොතකට හොඳක් කියන රන්ජන් අමරරත්නයන්
b927c794e8	නියම බයිස්කෝප් එකක්.
b927fc3f4c	දෙන්න ඕනි පිරිවෙන් අධ්‍යාපනය
b928367b57	කියා සිටියාය.
b928ee1f5b	සංගීත පන්තිය මෙහෙයවීමට පවා
b9290197cb	ඒවගේ මසහ කියන චිත්‍රපටි වලට පස්සේ
b92975d3e4	සිංහල මිනිසුන් කියපු එක සැබෑවෙන බව.
b929b0cd6c	සීඤ්ඤො කියල නමකුත් දාල දුන්න
b929b41055	මෙහිදී ඇයගේ අවධානය
b929ca3c2a	ලංකා භික්ෂුණින්ට නොයෙක් අවස්ථාවලදී තර්ජන හා දුෂ්කරතා ඇතිවිය.
