bd0066e247	මෙයින් පසුවයි.
bd00765e39	මා රජයට යෝජනා කරනවා
bd0088eef4	ඔප දැමූ හක්ගෙඩියක පෙනුම ඇති
bd00e7c2f4	ඔය එක්දාස් නවසිය බර ගණන්වල
bd01ae409b	අපි සනාථ කරනවා.
bd0205277a	ඒත් මේ සෝමවංශ
bd022b1cfd	මාව පරීක්‍ෂණයෙන් තේරුවා
bd024c20e2	පොළොන්නරුවේ ඇතුළු නගරය කැණීම්කර,
bd02b1d67e	ලක් ඉතිහාසයේ සියලු රජවරු අතරින්
bd02b8f4c8	මේ කතාව එකදිගට බලන්න.
bd02cd6b45	එතකොට මොනව හරි බිස්‌නස්‌ එකක්‌ කරන්න පුළුවන්නේ
bd037e3a26	ඌරු හිසක් සහිත, මිනිස් සිරුරක් ඇති පේ්‍රතයෙකි.
bd03a58971	වහා මැන දෙයි.
bd03d77aae	දොරක් නැති ටොයිලට් එක මෙහා පැත්තේ
bd03d7adf0	තට්ටු කරන සද්දෙ ඇහෙන්නේ නෑ”.
bd03e492f6	එහෙමනම් මේ පොස්ට් එක
bd049b1535	භාර්යාවෝ ටෙලි මාලාවට සමීපව කතා කරන්නට
bd04a552d7	මෙහිදී වැඩි වශයෙන්ම භාවිත වූයේ
bd04bc2366	අවුරුදු තුනෙන් පාඨමාලාව නිමා වෙලා
bd051b7d47	hindi films
bd058ace72	එදා ලංකාව හිටියේ
bd059e8622	ඉතිං අපි කළු පාට අඳිනකොට
bd066e166d	දරණ බව පැහැදිලිය
bd067c1b79	බුදුරදුන් ජල ස්නානය කළ ස්ථානයේ
bd06d23958	උබ උත්තර දුන්නේ නැහැනේ.
bd07f470ac	චිත්‍රපටය නරඹන්නේ නැතුවද?
bd085c653c	ඉන්න බව අහලා තියෙනවා.
bd088d41c4	මෙහි පුළුල් අදහසයි.
bd08d4f108	එක නමක් ඉතාමත් ශ්‍රද්ධාවෙන් වත් පිළිවෙත් කළා
bd094a8fea	උපසිරසට එක් කරලා තියෙන විදිය නිසා
bd0976536a	නෙළුව කඩිහිංගල දංගහහේන ප්‍රදේශයේ පැවැති
bd0a46f50c	ඔක්කොටම එක විදිහට
bd0a55d5f7	උඩ පනින කෙනාට සමට දැනෙන තෙරපීම
bd0b0b97a9	එකත්පස් ව සිටගත්තාහු ය.
bd0bd2cafe	මම සම්පුර්ණයෙන්ම කරලා දෙන්න
bd0be96be2	ඒවායේ විවිධ රටා දක්නට ලැබේ.
bd0c27cf8a	තිසර පෙරේරාගේ අනගි ඉනිමෙන් ගොඩනැගුණු
bd0ce1d613	animations
bd0d5afd6a	දිනන්න බැරිවුනු නිසා
bd0d6e496b	ඒත් ඔහු මට කිව්වා
bd0dbc5a1d	තවත් ඉදිරියට මේක අරං යන්ඩ හිතුවොත්නම්
bd0de0ca9d	ඔය හැටි වර්ණනා කරන්නේ.
bd0e284fe5	මෙවැනි සුන්දර නිමවුමක් රටට දායාද කරපු එක ගැන බොහොම ස්තුතියි
bd0e6333ef	අපි මේ මනුස්ස ලෝකයට කී වතාවක් එන්න ඇද්ද
bd0e8f0288	ගමන් බිමන් නවතා එක් තැන් වී සිටිති.
bd0ebcc8c0	චතුරංග වීර්යය ඉපදවූහ.
bd0eda1be3	පත්තිනි දේවියට පූජාවක් පැවැත්වූවා ය.
bd0f9a679d	මගේ ක්‍රිකට් නවත්තන්න කලින්
bd0f9c65c8	එකී කරුණු කෙසේ වෙතත් ලංකාවේ ආණ්ඩුව විසින්
bd1095934d	පක්ෂය හරහා ගලා එන දැනුමට පමණි
bd1096e91b	මේකට සිංහල දාන්නේ කියලා
bd109b36ec	වතුර දෙන්න එපා කිව්වා
bd10faab78	ක්‍රියාකරන අර තරුණයාට
bd110fb482	හෘදයාබාධයක් වැලදීම හේතුවෙන්
bd113c092b	ඇති බව අනාවරණය වී තිබේ.
bd1154f63f	උන්වහන්සේටත් මතක ඇති..
bd11aedb00	මේකේ සින්දු ටික ඉතාමත් ලස්සනයි
bd11b5c1e4	එළ එළ සහෝ
bd12369d0e	අතවැස්සෝ ඒ වෙත එතුමන්ගේ අඩුම කුඩුම ඔසවාගෙන ගියහ
bd130693f4	ඕක ගත්තේ අපෙන් නෙවෙයි නේද කියලා..
bd1382f656	ප්‍රධාන පෙළේ විහාරස්ථාන රැසක්
bd138ef62f	තමා අවසන් කොටස සඳහා සාධක සපයන්නේ
bd144710de	පරුෂ වචන කිසි විටෙක නො කී සේක.
bd1598c34c	ඒත් උන්ගෙන් සමහරක් .
bd16081c2d	මේ භාවනාව කෙරෙහි
bd162fd07f	කල්පයක් කියන්නේ.
bd171d9e71	ඉල්ලා සිටියාය.
bd17291edd	යන ක්‍රම විමසීමේදී
bd172be119	මින් පසුව බුද්ධාගම ව්‍යාප්ත වූ
bd1795e8bf	තාමනම් ඔය තත්ත්වය උද්ගත වුනේ නෑ
bd17f2f1e4	ස්පාටකස්ගේ පිරිස
bd1800f095	ඒවා පොදු ජනතාව වෙනුවෙන් යෙදවෙනවා.
bd18574ac9	එහෙමයි ජනතාවට ආදරේ නම්
bd1862f323	ආරම්භ කළේ මාධ්‍යවේදියකු ලෙසය.
bd196fe742	ඇය සුපිරි ගායිකාවක්
bd19fb6179	ඉන්ධන මිල අධිකව ඉහළ දැමූ ආණ්ඩුව
bd1a31bb3d	එනම් ඔවුනට අනුව
bd1b523520	බෞද්ධ වූ අප
bd1b6069c3	හිතුමතයට අරුත්දැක්වීම වැරැදිය.
bd1b9f10cc	අභ්‍යන්තර ගැටළුවේ වෙනසක් නෑ
bd1baa1efd	ඔයාගේ මොළේ පෑදිලා තියෙන්නෙ.
bd1bca1f58	සසර ස්වභාව වටහාගත යුතු ස්ථානයෙකි.
bd1bcd7e77	හැකියාව ලැබෙනවා.
bd1beaf70a	හැමදාම හරක් මස්
bd1c2501ab	සිංහ වෙළෙඳාම් ආදියෙන්
bd1c29b70a	විනාශ වෙලා ගිය ජාතියක් හැටියට
bd1c36652b	සම්පත් බොහෝ වාරයක් විඳින ලදහ.
bd1c4628cf	පිළියන්දල ‍පොලීසියට ලද තොරතුරකට අනුව
bd1c79debb	එන්නත දෙන්නා සහ එන්නත ලබන රෝගියා අතර
bd1d5cef24	මල්වතු මහා විහාරයේදී
bd1d61f022	ඔයා දන්නවද
bd1db77386	මතකය මෙනෙහි කිරීමට පවා මා බියවෙමි
bd1dfb217b	අලුත් නාට්‍යයක් එන්නේ කවදාද කියලා තමයි.
bd1e0e986f	රොයිලි කොච්ච‍ර මහන්සි උනාද කියල
bd1e8be0e1	ඒත් තිලකා
bd1f027a4d	අනික මේ උයන පිහන වැඩ වගේම
bd1f89e01b	චමින්ද මහත්තයා කියලා දෙනවා
bd1faaabb1	හසිත කැලනියේ ඉගෙන ගන්නා පොරක් බව
bd1fca8661	හා දළදා මාලිගාව එක්ව
bd1fefeff9	හේ දක්‍ෂයකු වෙයි.
bd1ff0bd83	පිරිස එදින මෙහි සම්ප්‍රාප්ත වීම ය.
bd1ffdadda	බස් රථය යළිත් හම්බන්තොට මාතර මාර්ගයේ වේගයෙන් පැමිණිය
bd201554ec	අන්තිමේදි අර කෙහෙල් ගහ වගේ තමයි
bd2067fa24	සිංහ සිතට සහනදායී තත්ත්වයක්
bd2075a295	එතකොට ඒක ආරම්භයේදී
bd21c3f7d8	හඳුනා ගත්තේ මෑතකය
bd22494e2f	බුද්ධ ප්‍රතිමා අවලෝකය කරන සෑම කෙනෙකුටම
