26000f5bf5	ජනගහන වර්ධන වේගය වැඩි
26003b08b0	ඔබලා අදහන වෑරදි බුදුදහම
26007b5ef0	ලංකාවේ කියවේවිද කියන එක.
26009c5823	සමාජ දේශපාලන සිදුවීම් දෙස
260149f718	ප්‍රකාශ වුවද හෙගලියානු සරල නිශ්චයවාදයම ය.
26023435b0	ඒ අටමහා කුසල් පිළිබඳව
2602d7df22	එය ඒ කාව්‍යයෙහි
2602ed6bdc	මාවල් විශ්වයේ එක වීරයෙක්ගේ කතාවක්.
26036c57d9	එන්නේ නෑ අයියෝ.
26043c62a6	paper quillings
26061d97a4	චන්ද්‍රසේන විජේසිංහට
2606d113cc	බුදුරජාණන් වහන්සේගේ නම
2606f99878	මේවාට රැවටෙන්න එපා
26072d2795	ඉවත් වන ලෙස දැනුම් දී ඇති බව ද කියා සිටියේය.
26078a3e4c	මුලිකම අදහස එයයි.
260834f3db	බේස්ලයින් මාර්ගයේත් කැලණිය පාලම උඩින් දිවෙන
26086ab5dd	මෙම පාලමේ ඇති ඓතිහාසික වැදගත්කම
2609d7a9ad	මස් ඉව්වේ තාත්තාය
260a639551	කිසිම ආකාරයක ප්‍රකෘතියක් එක්ක.
260a83046d	අත්හළ යුතු බව පෙන්වා දී ඇත.
260a9b61c1	සල්ලි සේරම අර ගත්තට පැනලා යද්දි
260ad6f084	ෂෙල්ටන් වීරරත්න සංගීතය
260af8c5d8	ඔබටම හොරකන් කල හැකිද?
260b336a13	බහිරව රූප සහිත මුරගල්
260baa243e	මොහොතකට හිතන්න
260c460d28	කොල්ලු වලට කියන නම
260c544dce	කෙත් වතු වලින් සපිරි
260c8e197f	අප රටේ පවතින ආර්ථික විෂමතාව අනුව
260d751adc	ඉලෙක්ට්‍රොනික ලෝකය බිඳ වැටුණු පසුව
260df3eab2	අන්තිමට බඩ වෙනුවෙන් කල සටනෙ
260ebb6fda	සත්‍ය දහම පවිත්‍ර කොට
260ebd1dcf	මොකද ප්‍රවීණත්වය එන්නේ
260f2a3526	ගැන මොකද හිතන්නේ.
260f8d246d	ඇය සුපිරි ගායිකාවක්
260f9c4180	උන්වහන්සේ අවධාරණය කරති
261010d9bc	එහෙම හිතලා
26110c822d	මොකද්දවත් දන්නේ නැතුව
26119fcd13	එම පාඩම් පොතෙහි සංඥාපනය
261218dfb3	සත්‍යවාදී වීම, අතිශයින් වැදගත්ය.
26122ba5f2	බොහෝ උදෑසන වලදී ව්‍යායාම පිණිස
26124a2e9a	කටයුතු කළ නොහැකි බව ය
26126e061d	නොහැකි වේය යන සිතිවිල්ලය.
2612d4779a	යම රජ්ජුරුවො හිතපු එකක් දේශනා කරනවා
2613c76843	ඔයාගේ බඩු හොරකම් කළා නම්
2614475712	සාමූහික කවි සංග්‍රහයක්
26145db43f	ඒක නෙමෙයි.
2614eb9d54	එය බෞද්ධ ඉතිහාසයෙහි
26152c8266	සමහර විට තව කෙනෙක් ඒකට දොස් කියාවි.
261532cdb8	සබ් එක දෙන්න නතර කරන්නේ නැතුව
261568239e	සිංහළ බීබීසීයේ කෙනෙකු එංගලන්තයට එරෙහිව
261580c798	රටේ යහ පාලනය ඇති කිරීම
2615f10a6e	සිතින් තුරන් කොට ඇත.
2617243343	ඒකාධිපති රෙජිමය කියන ගස
26172f08d3	එනමුත් ඇස, කණ, ආදී පංචේන්ද්‍රිය මෙන්
261779ddbe	මේකේ දිනපතාම සිංහල සබ් දෙන්න
2618835fc5	ඉතින් මේ ගැන හොයන්න
2618c84831	ඒත් ජස්මින්
2618d234f0	දැන් ඒක අතීතයට අයිතියි.
261949209e	ඒ ලෙචාලාගේ
2619f0f668	ඔය හිතනවාවගේ සමහරවිට කාගේ හරි වෙළඳ උපක්‍රමයක්ද දන්නෙත් නැහැ තමයි.
261a850edb	ඇයි මේ නියම කපිටක්
261aba2e6f	අවියෝජනීය සම්බන්ධය සනිටුහන් කරන්නේ
261b129ee1	ඕන දෙයක් කරාවි.
261b14d633	යම් යම් ග්‍රහ බලයන් නිසා
261b471690	නමුත් මෙවර
261baad0d2	දෙවියන් සමග කටයුතු කරන අයට
261bb00a99	ඒත් වරද හදාගන්න
261c506a73	නිතර පාපයට බර වී පවතිනවා.
261c68be80	අවංක අදහසින් මහණ දම් පිරුවා
261c98bcba	ඒ විදියට ලිවීමට කැමති නෑ.
261cd7eeca	ඇය පුවත්පතකට පවසා තිබුනේ
261cee455e	මේක පිලිබඳව යම් දැනුවත් කිරිමක් කලයුතුයි සිතනවා.
261d182ab9	බොහෝ අයගේ කතාව.
261d36c41c	ඔහු විවාහ වී සිටින්නේ
261d3eb556	සහතික ඇත්ත මචෝ
261d66c525	රුවන්වැලි සෑයටත් බසවක්කුළමටත් අතර
261da2288b	අපේ මහාබබාට ජයවේවා
261db8aa19	විටින් විට ඉදිකැර ඇති පියගැටපෙළ
261df0d474	එයාගේ කීම නිසා
261ede586e	අපේ සල්ලි වලින්නෙ
261ef225ba	දාලා තියෙන්නේ.
261f05e37e	එයාලට කණගාටුවෙන් වුවත්
261f14793a	අපේ ගමේ මැණික් ටික
261f1f70e9	ඇයි යකෝ තොපේ හීන වලට අර අහිංසක පෙප්සි එක පලිද?
261f4e51f6	කවුරුත් නැද්ද?
261fd15dc1	රජය බිය විය යුත්තේ
261fd97fb6	කැම්පස් ගිය උන් නෙවෙයිනේ.
261ffa6057	යන්න නොවේ.
2620a00d76	වෛශාලියෙහි දෙවන ධර්ම සංගායනාවක්
2620ea42c3	පිරුණු මිනිසකුට ලොකුබණ්ඩාරයන් තරම්
2620fe3fb9	හැබැයි රටේ ලෝකෙ සිද්ධවෙන දේවල් ගැන
262222a24c	pantry cupboard
262290d4a4	බිත්ති වලට අල්ලන පතුරු ගල් ප්‍රමාණයට වැඩි විය.
2622ace6b5	අමුතුවෙන් කියන්න ඕන නැහැනෙ බොක්කටම වදිනව.
26232ebd4a	අනුමානෙට හිතන ගමන්
2624164acb	මේ විදියට බුදුරජාණන් වහන්සේ දැකීම
2624787cbd	cinema.lk
26249f2ef6	එයින් ඔබට පින් සිදු කරගත හැකි බව
2624c958d9	urethra
26252761f8	භික්‍ෂුණී සමාජය පැවැති බව
2625f65c0e	බුද්ධ දේශිතය නම් වූ රාමුව තුල සිටිමිනි.
2626978e08	ලස්සන කතාවක් වගේ.
2626cf3322	පසුගිය කාලයෙයි.
2626f64525	මහා සංඝයාට දෙන දානයත්
2627336b8e	අනුරාධපුරය යනුවෙන් අපි හඳුන්වන්නේ
262740e1e5	ඒ නිසා නොවේද?
2627ae9c58	අපෝ පිරිමි අයට නම්
2627e692d6	හැබැයි ඒ සිතම යහපතට යෙද වූ විට
2628ae9683	තිරිවානා ගලක් කැපීමක්
26291e332c	එය බොරුවක් බවට කිසිවෙක් ප්‍රකාශ කොට ද නැත
26294321c7	ගුවන් සමාගමේ දිගුකාලීන අභිප්‍රාය හෙවත් අරමුණ වන්නේ
