a600daa7a4	ගණන් නොගෙන ඉන්නවා
a600ede0df	ප්‍රායෝගිකව ධර්මානුධර්ම ප්‍රතිපදාවකින්
a601649f36	ඇතැම් චරිත
a6029d906c	උප්පත්ති ලබන ස්ථාන තිස් එකක් තියෙනවා.
a602b8df9c	ඔබට තරමක ආබාධිත තත්වයක් ඇති
a60302fdc9	ලෝක සත්‍යය නිවන ඔහු
a603d91c70	ත්‍රිපිටකය සරල බසින් ලියා ප්‍රකාශ කිරීමේ කාර්යභාරයේ
a60471751c	පරක්කු වෙනකොට ඒ ගෙදර අය බයවෙයි කියල.
a6048cbff3	යම් ප්‍රගතිශීලි බවක් ද
a604c6324b	ජන වහරට එක් වී ඇත්තේ.
a6072aff58	කොහේවත් නැත
a60773f9e1	පුද්ගලයා තුළ ජනිත වන
a607e9ac66	තොරතුරු පාලනය පිළිබඳ අනාගතයේදී තීරණය වන්නේ
a608b80c80	මුහුදේදි සාමාන්‍ය ජංගම දුරකථන නාද වීමේ
a609a23342	දේපල උරුම වීමේදී
a60a1382c2	බුදුහාමුදුරුවෝ අපට ඉගැන්නුවෙ පොදු ක්‍රමයක්.
a60c48788f	ඔහු ප්‍රකාශ කළේය
a60c59f211	සූත්‍රවල දැක්වෙන රූමත් වීම
a60c7bd062	අනේ අංකල් මට ඇඬෙන්න ලඟයි
a60c8600d2	ඔහු සෙවූ දේ හමු වුණා ද?
a60dfc2818	පක්ෂයේ අනුශාසක ධුරය හිමි විය.
a60e1ce775	දෙල්කඳ පැත්තට වෙන්න නේද?
a60ed24909	එනම් සිත තුළ ඇතිවන මනෝ භාවය
a60f11fd94	gem and jewellery shop names
a60f3cd9ca	යන තත්වයකට පත් නොවේ යැයි
a60f9b0325	වඩින්නේදැයි පරීක්‍ෂා කර බලන ලෙසයි.
a6100cc1dc	මේක විස්තර කළේ
a61040ba08	ඒ ගැන හිතන්න දෙන්නෙ නෑ.
a611126013	මුන් කෑ ගහන්නෙ ඉස්සර කාලෙ හදපු වැව් ටිකකුයි දාගැබ් ටිකකුයි අල්ල ගෙන නෙ.
a613186a3d	ඔන්න මේ රටේ වැඩි හරියක්
a6136147f8	උන් වහන්සේත් මගේ දැනීමේ හැටියට
a613645538	එයා ලඟ නැතුව
a613fb4699	සෑම දෙයක් ගැනම දන්නවා.
a61404d293	සම තැන් නොලැබුණු බව ය.
a6145ab367	වධ වේදනාවට ලක්වෙලා
a6148a2337	වැඩකරනවාද කියල.
a614ba947a	ඒක හරියනවා කියලා.
a614c9ca40	ඒකත් සමහර පත්තරවල
a6150c5fe2	පූගොඩ පොලිස් ස්ථානාධිපති එම්.ඞී.ඞී.
a6152e26e9	එල එල විමා
a6154345f2	බලන්ගොඩ මානවයා සමගත්
a6162776fd	බුදුදහමට කැමැති බවයි.
a6164d115d	එනිසා මෙම මාසය තුළ
a6168dc114	සාමාන්‍ය සංචාරක වීසාව
a6169c5774	සමස්තයක් ගැන හැඟීමක් නොමැති වීමයි.
a616b63085	යමෙකුට යමක් දෙනකොට
a6177eaac5	යහපත් පියකු හා මවක වීම
a6179e5153	නැන්දා කාමරයෙන් එළියට ගියා.
a618917922	අවසන් කටයුතු කරන්න
a618fa83ec	ඇය උපයෝගී කර ගත්හ.
a61a03ec15	ධනවාදී කඳවුරු වල
a61a082108	වශයෙන් සලකන ලදි.
a61a3e14e1	සිංහල බෞද්ධ යයි කියවෙන තැන් වල
a61a764324	application capital one reservation number
a61a9522c4	උදව් වෙයි.
a61b516836	දමිත් ජයතිලක මහතා පැමිණියා.
a61b72f7ae	නීති පැනවිය යුතු ද?
a61b7a9237	නමුත් ඔබ කවියෙක් නම්
a61bb61063	බ්ලොග් එකට එන නිසා
a61bee9a06	අපේ ගණං සර් කිව්වා
a61bf97eb0	ඉතින් දැන් ඔබ මේ ඉගෙන ගන්න
a61c84b914	හැබැයි ඔබත්
a61d09f9af	එල්ල වෙන්නෙත් නෑ.
a61f06f11d	දරුණු ලෙස සිදු වී
a61fcb1659	ඉතින් කියන්න ඕන නැහැනෙ.
a61fe0b54e	මෙසේ ලියා තබමු.
a620cb2610	ආයෙත් ගත්තා හොඳේ
a6215106d8	එවැනි අයට නීති සහන ක්‍රමයක්
a621d804e2	පුන පුනාම කියා තියෙන්නේ ෆේස්බුක් කියන්නේ
a6220bc0f1	නිරය, ප්‍රේත ලෝකය, තිරිසන් ලෝකය,
a623262a62	හැටි බලන්න
a62327acd5	අලංකෘත මල් උයනක් ද නිම වීමෙන්
a623a585a5	අපි හැමෝටම මේ කාන්සිය අඩු වැඩි වශයෙන් තියෙනව.
a623c63b71	අපි ඉතින් හැමවෙලේම
a623feb318	නම් නිතර වෙනස් වන ගතියෙන් යුක්ත වීමය.
a624b31799	අප අඩවිය පිහිටුවා අපි බලාපොරොත්තු වූයේද
a624edfa46	ඒවාද අඩංගු කිරීමේ වරදක් නැත.
a62532b9e1	අනතුරු ගෙන දීමට ඉඩ ඇති දවසකි.
a6255d6187	හොයන්න
a6258fa647	විශේෂ සම්මන්ත්‍රණ වැඩමුළු පැවැත්වීමටත්
a625a74787	උගෙයි අපෙයි වෙලාව කෑමක්
a626289f45	හදවතින්ම ප්‍රාර්ථනා කරනවා දිනිඳු සහෝ
a62683d732	මට නැටුම් පොතක් තිබ්බේ නෑ
a626bcda15	නිර්වානය නිර්වචනය කර ඇත්තේ මෙසේ ය.
a627c2169e	එසේ වීමට හේතුද
a6280434c1	ඉල්ලා සිටියේ
a6281180f1	පිරිකර පූජාවේ ආනිශංස දක්වා
a628264fd9	එයා කාලෙකට කලින් පිරුණු පිළිම
a628d3be11	තෙවරක්ම බ්‍රිතාන්‍යයේ අගමැතිවරිය ලෙස පත්වීමත්
a6293a5691	හිටිය කියන සිදුවීමත් මැකෙනව.
a6294b08dc	දැයේ දූපුතුන්ට කියාදීම පමණි.
a6294bca47	සිතූ ආනන්ද හිමියෝ එය වළක්වන්නට
a629671872	උඹලා ඔක්කෝම නව මාසයක් හිටියෙ.
a62adfc8e5	හම්බන්තොට දිස්ත්‍රික්කයෙන් ආසනක් ද හිමිවිය
a62b1a5588	මම හොඳට දන්නවා
a62b306f5a	එහෙම දුවලා
a62b3bce45	එමෙන්ම වසරේ උඳුවප් පුන් පොහෝ දින
a62b889e89	වාචසික සංවරය නම් වේ.
a62c471d70	නමුත් මෙම කණ්ඩායම
a62cb105f2	ශ්‍රේෂ්ඨ කෘතියක් බව මේ අනුව පෙනීයයි.
a62cfa6876	මෙහි එන ස්ත්‍රී චරිත වල
a62cfdc3aa	ඉවත් කරන්න පුළුවන් දෙයක් නොවේ.
a62de2819e	අදාළ රැකියා ස්‌ථානය තුළ
a62e2a7fed	ධුරයෙන් ඉවත් වීම
a62edb418a	ඔබතුමාලා බොහොම කම්පා වෙන
a62f3db060	වැටෙන් පැනලා ගිහිනුයි.
a62f4baf52	ඔය කියන තරම්
a6301a7be2	එයා හොඳ ආකාරයකට පත්වෙනකම්
a6301df5d8	නපුංසක ග්‍රහයකු ලෙස ප්‍රසිද්ධය.
a6307bfd29	නිවැරදි සිංහලෙන් කීමට
a6309ff957	නුග රුකත් තල් රුකත් පෙන්වා දිය හැකි ය.
a630af2ccb	දැන් සිංහල තරමටම තේරෙනවානේ
a630e2ae9e	ඒවගෙම මෙ කොටසෙදි තව කෙනෙක්
a631112ed0	අයෝමි කඩුවෙල දිසා අධිකරණයේදී
