d4000e4cb5	දන්න ඉටි ගෙඩියකුත් නැහැ
d4003c60a4	එහි වැදගත් කොට නොසලකන සම්මුති ලෝකයෙහි
d401398cf9	car games free online
d40280f966	චාරිත්‍රයක් වශයෙන් සිදුකෙරෙයි.
d403206a3a	අපේ ගුරාගෙ ලිපි ඇරුණු කොට
d403733d7f	බුදුන් වඳිනකොට
d403c867f9	නවසිලන්තය සමඟ තරග වැදී
d403fdd40a	පසු සිදු වූයේ කුමක්ද?
d4043c3e16	අහන්න දකින්න ලැබෙන්නේ ඒක එළිවුණොත්නේ
d4046ad841	උඹ ගැන
d4046c1301	පටන් ගත්තෙ සුපිරිමඑකකින්.
d404955d52	බුදුරජාණන් වහන්සේ සර්වඥතා ඥානයෙන් දුටුසේක.
d4049656d1	ගීතයට සිදුවන හානිය වඩා බරපතල ය.
d4053e3f3f	මේ ආශා නිසයි අපට එහෙම වෙන්නේ.
d405a6d34f	නමුත් මේ වනවිට කලාපීය සුහදත්වය
d405c3e269	බලාගෙන ඉන්න අයට තේරෙනවා
d406079881	කාන්තාව මායාකාරී බව
d4064ff531	ආයුෂ්මත් ආනන්දයන් වහන්සේ ඇමතූ සේක
d40668d734	ඕනෑම දෙයක් සඳහා සුදුසු තැනක්
d407b7beed	අනතුරු හොරකම් ඔව්ව විතරයි
d4083dd67e	මේ‍ක නම එලම එළ ෆිල්ම් එකක්
d408494ee6	ඉඳල තියෙනවා
d4086705a7	ඔබ ඒ චරිතයේ
d408da0709	සැබෑවට ම ගත් කළ
d408e7d82d	ඔය වකුගඩු ලෙඩ්ඩු ටික
d409615718	එහෙත් අඩු වයසින් විවාහ වීම
d40992e026	ඒ නිසා තමයි ඔවුන්ට සසුනින් ඉවත් වෙන්න
d4099e9262	sri lanka newsroom
d409e7b7a9	අන්‍යාගමික ශාස්තෘන් වෙව්ලුවා හළ
d409ee7863	ඔක්කොම එකතු උනේ නැත්නම්
d409f26665	අත්සන් කලේ නැතිනම්
d40a3693b5	ධනාත්මක චින්තනය අනුව
d40a4fd45c	පිළිවෙළින් පන්සියය, තුන්සියය හා දෙසිය වශයෙන්
d40a9be58c	පූර්ණවර්ධන සිටුවරයාට විවාහ කරදීම නිසයි
d40aa48f75	විස්තර වශයෙන් අවබෝධ කර ගැනීමට සමත්ය.
d40ab4e86a	මේ සූත්‍ර දේශනා කියැවිය යුතුය.
d40ac27740	පැවසූ නිසා නැවැත්තුවා
d40b055ec7	ඇතැම්විට ඒ ඒ ප්‍රදේශවල යම් යම් ගති පැවති මිනිසුන්
d40b1bcc3b	ලංකාවේ එකෙක්ට සලකන විදිය
d40b267daa	අං කෙළියට සූදානම් කරන
d40b287328	අනාගත වැදගත් නායකයෙක් වෙන්න සිටින
d40b5e447d	ක්ෂණික ව ආ හැඟීම්වල ප්‍රකාශන වශයෙන්
d40b9dbe0e	සාමාන්‍ය ජීවිතයේ තෙරුවන් වැඳලා
d40bf02265	welcome to facebook
d40c8d9487	අදහස් අපට දැකිය හැක්කේ
d40ca04927	ඒව පෙන්නල දෙනකොට
