3c28612ce7	ඒවා ඉදිරියේ සාක්ෂි දුන්
3c28629585	ලක්දිව භික්‍ෂුණීන්ගෙන් උපසම්පදාව ලබා ඇත
3c28a06b50	සැබැවින්ම ඔහු ගියේ
3c28b02eff	මේ නිසා ම පෙර පැවති බෝධි පූජාව
3c294e1c52	ඔක්කෝටම වඩා අවශ්‍යතාවය ලොකුයි කියනවනෙ.
3c2972266d	ඔයා කියන දේවලුත්
3c2986c631	නිකලස් කේජ් මාමා නම් ඉතිං නොබලා කොහොමද?
3c2a089dba	මේ සෑම පූජාවකටම ප්‍රථම
3c2a4df559	එම සැම ගාථාවකින්
3c2b2fbb8a	ඒක ඔයාට
3c2c5fdaf6	මේකේ කතාව ගැන නොකියා
3c2cc43d90	කෑලි ටිකක්
3c2ce3c930	තාවකාලික ගමනක් හැටියට
3c2d057c92	ඥාති සබඳතා ශක්තිමත් වීම
3c2d419f27	එවැනි තත්ත්වයක් බොහෝ විය
3c2d95b016	එම ලිපිය පූර්ව අශෝක යුගයට අයත් බව
3c2e5bbfcb	ලද දෙයින් සතුටු වී
3c2ea4a0ec	house plan
3c2eb5edef	උප සිරැසි දුන් තරිඳු පෙරේරා සහෝදරයාට පිං.
3c2ed497ee	අරක දිගටම දුන්නට කමක් නෑ
3c2eda7b38	දවසක් දෙකක් ෆ්‍රී වුනා.
3c2f8da846	ප්‍රශ්නයක් නේද?.
3c2fd07339	මොකද මෙතැනදි සිදුවන්නේ
3c30af7886	බුදු කෙනෙකුගේ ලොව පහළ වී ඇති බව
3c30ec9dc1	විදුහල්පති ළමයින්ට සත්තමක් ඇරියේය
3c310541e5	සාමයේත් සංවර්ධනයේත්
3c31eedaa6	ඔයාගේ මූන වෙන්න ඇති නේ?
3c3227f57d	මුල ඉඳන්ම බලන්න පටන් ගත්තා
3c3241585b	ආයතන වලට
3c3309a32d	උඹලගේ පරම්පරාවල් හැදිල තියෙන්නේ
3c332e4ac5	ඈත් කරන්නට පිරිසට සිදුවුණා.
3c338c2c75	ඔන්න ගිය සිකුරාදා උදේ
3c33c4d154	එසේ නින්දට පත්වන කල්හි
3c342b142d	එත් විශේෂ වෙලාවල් කීපයකදී විතරයි
3c34422c2f	මචං දිගටම සබ් දෙන්න
3c344c9a5e	ඒත් ඒතන දැනුත්
3c347aa78a	විශ්වාස කරන ආකාරයට
3c34a8c3ea	එතරම් අදාල නොවේ
3c351aa5ae	මෙම සාමාන්‍ය වචනවලින් සඳහන් කරන්නේ
3c359cda99	Ananda college
3c365c4820	අනෙක් අතට ලෝකයේ රටවල් අතර
3c367d0448	තිස් දෙහැවිරිදි නිලංගා වෘත්තියෙන් මෝස්තර නිරූපිකාවකි.
3c36d09049	සිතට වංචා කර ගැනීමක්.
3c3781ad5d	ඒවා නැරඹිම
3c37fd3940	සාමාන්‍ය විදිහට
3c382ec02b	මෙය බිඳවැටිලා.
3c38bdd8f8	මාවෙල ලෙස අදටත් පවතී.
3c3902d605	මම අහල තියෙන විදිහට
3c39e53e72	ස්තූතියි නෙවෙයි සහෝ පිං
3c39eae80b	ඔය රටවලම තමයි
3c3a04f601	ඉඳහිට මතුව වහා නොපෙනී යයි
3c3a2ef0c0	අද රජය
3c3a95dbed	මේ සඳහා ඉවහල් වන්නේ
3c3ac94ea7	එන්න එන්න වාඩිවෙන්න
3c3b18d772	එමගින් සීග්‍ර ආර්ථික වර්ධන වේගයක්
3c3bf62883	සිත කියවිය හැක්කේ
3c3ccb671c	අත්‍යවශ්‍ය දේ පමණක් රැගෙන එන්න
3c3d0ca0d1	අද පිළිගැනීම තියෙන්නේ
3c3e894a34	සාම හමුදාව ආවත්
3c3ed9499c	ඉපදීමට ඉඩ ඇත.
3c3f00ef40	ඒ ධර්මය කෙරෙහි ශ්‍රද්ධාව ඇතිවුණාම
3c3f04a492	sri lanka uva university
3c3f71b6b0	දැන දැනම ‌නේද?
3c3fa2493d	උදේම අලුත් කෙනෙක් බලන්න
3c4012e46f	ඌට පවුලේ බර දුන්නම
3c40197434	අප සමග බෙදාගන්න
3c4032f7f5	ධර්මය කොට දැක්වීමකි.
3c40394d1d	දැඩි විශ්වාසයෙන් කීවාය.
3c40fb649d	ඒ ගැන ශෝකයට හෝ කෝපයට නොපැමිණිය යුතු ය.
3c41960245	මෙතෙක් ලොව පහළ වූ
3c41fd0600	එම ජවනිකා ද
3c4251779e	අපේ ලෝකේ විශේෂම ස්ථානයක් පෙන්වන්න.
3c42d1ac54	පිළිතුරු වැඩකට ඇති ඒවා දැයි
3c42f9e0c7	අපවත් වූ බවක් දන්නේ නම්
3c434563cc	පිණ්ඩපාතය යනු
3c444f0df9	ඔවුන් ජනප්‍රියත්වය හඹා යන අය නොවන නිසා.
3c4570c48f	happy sinhala new year 2013
3c465f5175	බ්‍රාහ්මණයා එසේ සිතුවේ
3c4768d634	ඔවුන්ගේ ඔලු විකල් කරන්න
3c478a4ac6	ඔබද මමද ඇයද
3c47afdcab	සද්ධර්මය නැමති පොහොරින් එය
3c47c851fc	alice academy
3c47d63e68	දල ලෝම සහිත පනුවන්
3c47e670b5	අනික ඔය වනාන්තර මැද්දේ යන
3c47e7dd33	අමිතාබ් බච්චන් විජයි ලෙසත්
3c4852c5bf	ප්‍රතික්‍ෂේප කිරීමක් දක්වයි
3c488d9f36	අත්දුටුවයි ප්‍රත්‍යක්ෂයි
3c49132b45	එහි දුනුදිය කවර වර්ගයකට අයත් ද?
3c49f9dbe8	ඇතැම් වාර්තා සඳහන් කරයි
3c4a16a457	යන්න ඔහුට වැදගත් නැත.
