54000c2602	මුල් බුද්ධ දේශනා
54005ee35a	අපේ දෙවිවරුන්ගේ අගය
5400658df1	අනේ අපි ලොකු නොවී හැමදාම
540072f5c0	මානසික වෛද්‍යවරයකු හමු වන්නට
5400ab290b	ඉතා කලාතුරකිනි
5402634cf5	එම නිසා කොහෙවත් ඉන්න අමෙරිකාව පසෙක තබ
5402711c6c	දැන් කෝ?
540353af64	හැබැයි ලොකු ලේලි කිව්ව කතාවෙත්
5403d8fc60	වැඩ රාජකාරි වලටමයි.
5404931064	ඔක්කෝම මතක විතරයි.
5404b38594	ගස් බෙනයක් තුළ සැඟවී සිටින
540523202a	මහාවංසයට අනුව
5405704bb8	නිසි පරිදි හැසිරවීම මෙහිදී මූලිකයි
540573441a	එහෙම වෙන එකක් නම් නැහැ.
5406a53304	එය වූ බැවින් රුවන්වැලි සෑය
5406d1d474	සුද්දන්ට බණ කීමේ උන්මාදයෙන්
540723d5f7	කොළඹ පැත්තෙ තරුණයකුත් මිය ගියා.
54072a5efb	ගුරුතුමාට මේ සිසුවා යහමගට ගැනීමට හැකිවේද?
540751dba4	එහි ජීවත් වෙන්න ඕනෑ.
54077402fa	cultural hotel singapore
5407b43883	ඉතින් කියන්න තියෙන්නේ දිගටම මේ වැඩේ කරගෙන යන්න
54086abb71	එම සමුළුව අවසානයේ
5408c35928	tribal woman
540911b26e	මේකෙ පළවෙනි කොටසකුත් ආවා.
540983c0e3	ඒවා බොහොම අපූරු විදිහට
540997e51e	ගවේෂකයා සිය විදුලි පන්දම පසෙකට යොමු කළේය.
5409f622a8	ඔයාලට සෙට් වෙනවා.
540a4f5083	මේ කවුද ඔයාගෙ බාප්පද කියල.
540ad13a92	දොඩම්පේ ගණිතයාත්
540aea81b1	කුරහන් මුං වැනි ධාන්‍ය වර්ග
540afe994d	ශ්‍රී ලංකා පකිස්තාන තරගාවලියේදී.
540b453fb4	නායකත්වයක් පමණි.
540b51ea03	අපිට හිතැති රටවල් වලින් ලැබුන දේන්
540b583c6b	එය භාවිත කරලා
540be8f169	පෙට්ටි විශේෂයකිනි
540c57d85a	රසල් වැඩ පටන් ගන්නවා.
540ca960c7	අවදියෙන් සතුටු වීම
540cdb073f	පාට කරලම ඇති
540d20de31	මෙතුමන් පැවිදි බව ලැබුයේ
540d399784	නමුත් උණ ගොබය
540e14f674	rabbit
