5000251b61	සියලු සූත්‍ර විමර්ශනාත්මකව පිරික්සීමෙන්
50009847ac	තියෙනව නම් පෙන්වන්ඩ කියල
500145cc69	මොනවද උඹලට කරන්න පුළුවන්?
50016f55d7	විවිධ කරුණු කාරණා සම්බන්ධයෙන් සාකච්ඡා කිරීම
5001862920	නමුත් මම කියන්නේ
500229ce8a	යම්කිසි කරදරයකට පත්ව වස් එළඹීමට නො හැකි වූ භික්ෂූන්ට
5002d815f9	ඔබේ බිරිඳ සූදු පිටියට
5003349eb9	මොවුන් දෙදෙනාගෙන් කාටද
500363d90d	විභවතාව පුද්ගල මනස තුළ
50037b6c60	විවිධත්වයක් උසුලයි.
5003ccd1db	බුදුන් මෙහි උපන් බව
5004010057	අනතුරුව ඔහු ශිෂ්ටයෙකු වූ පසු
50042e4e99	අද සාලයේ මෑද බොත්තමක් එබූ පමණින්
500451efed	නමුත් මට කියන්න ඕනෑ උනේ
5004c1392e	මත්ද්‍රව්‍ය නාශක කාර්යාංශය හෙරොයින් සොය
5004f43719	අර උඩ කමෙන්ට් එකක තිබබා වගෙ
50050c387a	කතා කළේ නැත්තෙ කියල
50052c6eb0	අත්අඩංගුවට ගැනීමට නියමිතය
50053d6c44	siyalla
5006314495	කතා කළා නම් එය
50064205ce	ධර්මදේශනා කිරීමට සූදානම් වූ රජතුමාට
5006b15320	මහාවංශාදී ඓතිහාසික ග්‍රන්ථවලින් දක්නට පුළුවන.
5006c0c7fa	නොයෙකුත් අනතුරු නිසාවෙන්
5007200b27	මේ මිථ්‍යා විශ්වාස නොමැතිව
500732268a	ඕගොල්ලන්ගෙ හීන් නූලෙ වැඩ අගේට
50074e7e62	එල ප්‍රසන්නයෝ.
500849a34d	පිළිගත් බවට සලකනු ලැබේ
500942b690	අපේ අම්මගේ මේ කුඩු එක
5009ae3628	බුදු හාමුදුරුවන්ගෙ කාලෙත් ඕක තිබිල තියනව.
500a40cdf7	බුද්ධිමත් ජනතාවගේ ලක්‍ෂණයයි.
500ab44948	බොරුව මොකද්ද කියල.
500abc611c	පිළිසරණ ධර්මය ම යි.
500af5096b	එමනිසා මෙය ජේතවනාරාමය ලෙස
500b397bad	ඒ ගනුදෙනුව කොහොමවුණත්
500bc9e6da	මොනා වුණත් දැන් තුන් සරණේ කවිත්
500c21ca42	ඊට පිටතින් මිරිසවැටි චෛත්‍යය ඉදිකර තිබේ.
500c52c0b8	මේ හැඳින්වීම කරයි.
500c9b37a2	අධ්‍යාපනයේ යෙදෙන මීන ලග්න හිමි දරු දැරියන්ට
500cc6e334	ඒ ක්‍රම තුන සඳහන් වෙනවා.
500da1a620	මගේ ප්‍රථම සහ අවසාන ප්‍රේමය.
500e0bbd50	වෛද්‍යවරුන් නිර්දේශ කළ පරිදි
500ed8e867	එයාව පලවෙනි බැල්මෙන්ම කැමති කරගන්න පුළුවන්
500eda4ffb	අමරදේවගේ මේ ගීතය ගැන
500f6acc13	අපි ගල් ගුහාවක් ළඟට ගියහම
500f985b7f	ඉතාමත් ක්‍රමාණුකූල ලෙස හොඳින් සකස් කොට
500fbd1e01	හෙළ දස්කම් ගල් කුලකට සීමා නොකර
501123a13a	හරිහැටි දැන අවබෝධ කර ගැනීම
50115cc735	අඩවියෙන්ම විස්තර අරගෙන
5011818efa	ප්‍රධානත්වය ඉසිලූ මහා කාශ්‍යප මහරහතන් වහන්සේ
5011d61c6d	ඇය වන්නියක් ලැබීමට අපද එතරම් පෙරුම් පිරිය යුතුයි
50124f398a	පිරිනිවන් පෑ කළ
5012b9c42d	මෙම සියල්ලෙහි ප්‍රතිඵල, ආදීනව ඉතා භයානක විය හැකිය.
5012d827d7	එකක් තියෙනවාද නැද්ද
5012f32656	ඩොලර් පහට වැඩිය
5013096b73	කියල තියනවා නේද?
501323c7af	විශේෂිත ගල් වර්ගයක් අතුරා
5014b7cb41	ඒ ඒ පුද්ගලයා පිළිබඳ මනාව වටහා ගත් හෙයින්
50158893cf	සරල සිංහලයෙන් ගත්තම පබාවතිය යනු රන් තල් කඳකි.
5015b24276	අවසන් වන්නේ මෛත්‍රිය කරුණාව පුරුදු කරමිනි.
501604921e	වටහා ගෙන සිටි නිසාය.
501631b9de	ඒත් කාගේ
50167fe4fb	ඊශ්‍රායලය යනුවෙන් ‍රටක් නොපවතින
50176248a3	අහවල් එහෙකට නම අහන්න ගියාද
50176f5f8f	ඔබ නගන පැන මට ගෝචර වීමත්
50177a2bb5	නගරාධිපතිතුමා කථාකරනවායැයි කියමින්
5017cac235	bird love bird
5017e76db3	ජලය නැතිවම බැහැ.
501829ccd1	ඔහු අපේ ගමට අල්ලපු ගමේ කෙනෙක් කියලා
501838a27e	කාර්යාලයෙන් එළියට තල්ලු කර දමා ඇත
501840d6db	ඇඳ සිටි නිල ඇඳුම හැර අන් කිසිත් නැති අමිල
50184b3281	ඒත් මට මේ වෙලාවෙ
5019166eb4	තාපසතුමාට වන්දනා කරවීමට යොමු කළහ.
5019a29e78	ශ්‍රමදායකත්වය ගත්කළ ශ්‍රමය වගුරවන තැනැත්තන්ගේ
5019fe7277	ඔයගොල්ලෝ දැනුවත් කිරීමයි.
501a34ef36	මම බලාපොරොත්තු වෙනවා.
501a601382	බඩ පැලෙන්න හිනා
501a7fb96d	ඇයි කියලා අහන්න එපා
501ae7cb67	ymail
501af6c22f	අපූරු නිපැයුමක් කලා
501af97cf7	තමාගේ දකුණත මැනවින්
501b251af3	එහි නම් තැනක් නැති.
501c403a4d	මේවා ගැන කිසිදු සොයාබැලීමක් නැතිව
501c9bcbaf	කතන්දර බ්ලොග් එකට එන්න ඉඩ තියෙන
501cfb07e6	ඉතින් මොනවා කරන්න ද?
501d54419c	මීට පස්සේ මට දින අමතක උන කියල
501d9f1b9f	එපමණකින්ම සිත සංසුන් කරගන්ට
501dc54fc2	හැමදෙනෙකුම භාවිතාකර තියෙනව.
501e4cdc3f	ගඩොල් බැන්දේ
501e92ea78	ඒත් ඒක බුදුන් අනුදැන වදාළ
501f21a5f6	මෙය හැම විටම ඉටුවී තිබේ යැයි සිතිය නොහැකිය.
501f742e82	විවිධ විග්‍රහ කිරීම් යටතේ ද ව්‍යාප්තව පවතී.
501fab8a18	මේ මේ මම කියලා.
50202d9b4f	ඊට පහුවෙනිදා උදේ කබඩ් එකක්
50202f283c	බැන වැදීමට කිසිවෙකුට බාධාවක් නැත.
5021316463	ඒ වටා යාග හෝමාදි බාහිර පූජා චාරිත්‍ර
5021779df8	බුරුමයේ බෞද්ධ උරුමය වනසන
5021ccc363	රැස්ව සිටි පිරිස
5021d627b4	මිනිස් සිතක පහළ විය හැකි
50223b7775	marine engineering general motor knowledge
5022e95997	ගුණාත්මක බවින් වැඩි නිර්මාණයක්
5022ff9a09	මම හරියටම දන්නේ නැති නිසා.
5023536751	කල්‍යාණ මිත්‍රතාව මත පවතින බව
50236af540	ජීවත්වන කාලය බැව්
5023923b62	සිංහල විතරක් දන්න කෙනෙකුට
5023ae5c09	බුදුරජාණන් වහන්සේලාගේ පහළවීම
5023bbcb7f	අපි මේ අනුගමනය කරන ධර්මය
5023e0e004	සාංචි ස්ථූපයේ ප්‍රාකාරයේ ඇති
502475eab8	සමාජය තනමින් පුද්ගලයාත්
5024be8e54	දරුවන්ට හඳුන්වා දුන්නේ නම්
5024e0d58b	මෙලෙස ඉන්දියාවේ ගොඩ ගැසී තිබෙ
502567cb0d	doors
50266093ee	රස විින්නට අප සූදානම්
502683b7ce	තවත් ශ්‍රේෂ්ඨ මාතාවක්.
5026ba3f0d	ඇය අපත් සමග සමීපව කටයුතු කළ අවස්ථා තිබුණේ කීපයක් පමණයි.
5026e26c4a	honey bunny
5027385d1d	ඔතන අමුතු කතන්දරයක් නෑ නේ
5029c93798	තරුණ තරුණියන්ට දැන් වරප්‍රසාද හිමිවී තිබෙනවා.
502ace0890	ඒ කතාව නෙවෙයි.
502b31092d	කර්මාන්ත සමාජසේවා හා
502b584d44	එක එක කාලයේදී
502b660e1e	අයවැය පරාජය කිරිමේ ක්‍රියාව මගින්
502b75ba33	ඇය සැමියාට මතක් කර දුන්නාය.
502c5513c3	කියනවා වෙනුවට
502c867939	ඒත් මාස තුන හතර යනකොට
502c97112b	මගේ පියාගේ ගම කොග්ගල නිසා
502ca1eefd	මෙලෙස අතිශය දරුණු චරිතයක් බවට පත්ව සිටි
502cdfba67	රජයක වගකීම
502d517674	එනම් කොත්මලේ නටබුන්
502df6ffea	කතු හිමියන් පිළිබඳ හැදින්වීමක් කරයි.
502f2baf2c	වැඩිපුර දකින්නට නොලැබෙන්නේ ඇයි?
502f46382a	මෙහි නම සදහන් නැති
502f767b41	ඉවරයි ටික ටික
502f8cdbfa	එයා දැන් කන්නේ
502fccd369	ඉතිරි ටික ඔක්කෝම ශ්‍රාවකයා ඇතුළට එන්න ඕන ඒවා
503000a83f	ඒකයි මේ විදියට පිලිතුරු බඳින්න පුළුවන් වුනේ
50304428f1	එදා සෙනසුරු තුලාවට ගිය
503065aded	commercial office space
50309335a4	කොකෙකු මතුවී ඇත
5030aeef0f	සාමාන්‍යයෙන් මෙය සිදුවීමට වසරක් වත් යනවා.
5031a8c7f8	එහෙම වෙලා තියෙන්නෙ
50322c514d	උඹගේ ආගම මාරු කරන්න.
50329cac42	එහෙව් කෙනෙක් මෙවෑනි ප්‍රයෝජනයක් නෑති දෙයක් කරාවිද?
5033b55a24	කියන බලා‍පොරොත්තුව තියෙනවා.
5033c31749	මෙම ශිෂ්‍යාවට තමන් කැමති ඇදුමක් ඇදීමේ නිදහස සම්පූර්ණයෙන්ම තිබිය යුතුය.
5033d5b48b	obama
50340e084e	nayana kumari
5034c8add5	හකුරු පලතුරු හත් මාළුව
5035214d20	football world cup
50352c28ae	යකඩ පාලම් එංගලන්තයේ ඉඳන් හදාගෙනයි ආවේ.
5035f24c68	පැරැණි යුදෙව් මතය වන්නේ
50364764c3	මැරුණා කියා රාවයක් එවකට තිබුණා
5036558554	පිං කරලා තියනවාද බලන්න
5036d80163	මුළු පලාතෙම අය මේ විදියට
5037846a34	සේවාවේ විකාශනය වෙන්නේ
5038690be3	2012 වසර වන විට
50389339f2	මෙම ප්‍රතික්‍ෂේප කිරීම තුළින් පැහැදිලි වන්නේ
5038985d5f	පුළුවන් කෙනෙක් හොයනවා.
5039429604	මේ මගින් වර්තමානයේ අධ්‍යාපන රටාවෙන්
5039ac28e5	හිරු මෙගා බ්ලාස්ට් ප්‍රංසගයට
5039b1d504	සිටි කෙනකු බව තහවුරු වෙයි.
5039cc8e6c	කිව්වත් වරදක් නෑ
503a428115	ආර්ථික ඝාතකයන් එලවා දමා
503abc838d	ඒත් මචෝ මේකට
503af5ab2f	ඒත් විලි වැහෙන ඇඳුමක් ඇඳලා
503b2c17f9	නිර්මාණාත්මකව තවත් දේ එකතු කළ යුතුයි
503b4ae787	අප මේ නිලධාරීන්ගෙන් ඉල්ලා සිටින්නේ
503b9348e6	මේ සාධක තුන හඳුනාගෙන
503c0b94ef	එල එල නියමයි
503c8d36df	ගේට්ටුව වසා තිබූ හෙයින්
503c92858a	ආභාෂය ලැබිය යුතුයි.
503cdb04da	action games online
503dbc051a	ඊට පස්සේ ඒ කවුරුහරි ධර්මයට විරුද්ධව
503dd3b5b6	මෙහිදී පැන නගින ප්‍රශ්නය වන්නේ
503dd87c94	අභියෝග බාරගත නොහැකිව
503df90dba	පක්ෂයේ ප්‍රබලයින් රැසක්
503e4a6cd7	හිත විසිරෙන්න පටන් ගන්නව.
503e93fe90	වහලයට පොල් අතු බැඳපු ස්ථානයකි.
503ee6bd2a	එම කුහරය සම්බන්ධයෙන්
