4900150e6c	ඒත් උන්වහන්සේ .
49001c8018	ඉදිරිපත් කරමින් ඇමෙරිකානු රාජ්‍ය දෙපාර්තමේන්තුව
4900d30f66	කෙනෙකු මත්ද්‍රව්‍ය පාවිච්චිය සඳහා
490157eb80	අපි මේ නියෝජිතයන්ට අද දැනුම් දුන්නා
4901609519	එබැවින් තියුණු සටනක්
4901720d20	අමිලගේ චුටි පුතාට
49017323a0	මහ පාරට වාහනයක්‌ යා හැකි ස්‌ථානයකට ගෙන ඒමට
4902663fd6	රගපෑමේදී තිබෙන ලොකුම අභියෝගය තමයි
490290405d	මැදින් මස අව අටවක පෝය
4902b7dff2	ඔයා වෙනත් සජාතීය ජන සමූහයකට
4902c51c91	එකම ශ්‍රාවකයන් වහන්සේ උන්වහන්සේයි.
4902fd0f33	වියනක් වගේ උඩින් වැවෙන මල් වැට
49031663b6	මුන්ට වහගෙන ඉන්න ඕනේ නම් ගෙදරට වෙලා ඉන්න තියෙන්නේ.
490341163e	අල්පමාත්‍ර හෝ දැනීමක් ඇත්නම්
4903c7dab4	සයිකල් පදිනවාට
4903f12073	අඳුරෙන් ආලෝකයත් මිත්‍යාවෙන් සත්‍යයත්
4904387d35	එක්වරම සුදුපිරුවටය අතරින් ජංගම දුරකථනය බිමට වැටුනේය
4904ad448d	මේ ඇත්තෝ මං ගැච්චුවෙ
4904b88b0d	ධාර්මික සත් ගුණවත් පුද්ගලයන්ද
4904de4433	මෙහි ඇති බෞද්ධ සිතුවම්
49051fe24e	ඉන්නවා පුංචි මදුරුවෙක්
4905fbf6b1	ඉන්දියාවෙ තනිවෙවි.
4906205947	එකට බුදියන්නේ එකට
4906fa0c1a	කුසල් රැස් කළ යුතුය.
49078e73a8	එයාව මරලා
4907a02b89	ඇතාරියොත් බෙල්ල කපනවනේ
4907bc72d5	එහෙම කරන්න පුලුවන්ද කියන එකත් ප්‍රශ්නයක්.
4907f16d7f	ඇඟට දැනෙන්නේ නෑ නේ ද?
4908874434	අවස්ථාවක් නැති උනාම තමයි
4908a982a4	සාමාන්‍ය ලෝකයේ බැඳීමක් ගත් කළ
4908c41313	මොන හේතුවක් නිසා එහෙම කළාද කියන්න
4908e4f0df	ගී කියවමු
4908e60fd7	හෂාන්ට ඉන්ටර්විව් එකකට එන්න කියලා
4909259312	එතකොට කවුද කීවා
490a08945b	sale in srilanka
490a0a3251	ශ්‍රී මහා බෝධිය රෝපණය කොට තිබේ.
